cache_generated_at_utc,cache_domain,cache_summary_token,cache_combine_systems,cache_combination_key,Region,Province,Product,Species,System,Functional_unit,Normalized_product_output_kg,ch4_enteric_kg_per_kg_product,ch4_manure_kg_per_kg_product,n2o_direct_kg_per_kg_product,total_direct_gas_kg_per_kg_product,water_l_per_kg_product,electricity_kwh_per_kg_product,area_ha_per_kg_product,total_feed_kg_per_kg_product,supplement_feed_kg_per_kg_product,pasture_feed_kg_per_kg_product,unmatched_pasture_feed_kg_per_kg_product,nh3_total_kg_per_kg_product,nh3_housing_kg_per_kg_product,nh3_grazing_kg_per_kg_product,nox_as_no2_kg_per_kg_product,animals_total_live_weight_kg_per_kg_product
2026-06-03T14:52:18.423666+00:00,livestock,province,False,province__combine_false,(unknown),ZONA NO DELIMITADA,cattle_meat,cattle,dairy,1 kg product,1.0,0.21233043089404607,0.01930276644491324,0.0011581659866947455,0.23279136332565412,43.43122450105488,0.5790829933473983,0.006686688616004784,9.65138322245664,3.8605532889826564,5.790829933473984,0.8686244900210975,0.002547965170728507,0.0017835756195099303,0.0007643895512185183,0.00046326639467787485,1.0
2026-06-03T14:52:18.423666+00:00,livestock,province,False,province__combine_false,(unknown),ZONA NO DELIMITADA,milk,cattle,dairy,1 kg FPCM,1.0,0.023624276240044335,0.0021476614763676367,0.0001288596885820116,0.02590079740499407,4.8322383218272575,0.06442984429103006,0.0008634785053757909,1.073830738183835,0.42953229527353404,0.644298442910301,0.09664476643654511,0.0002834913148804988,0.00019844392041632456,8.504739446414913e-05,5.154387543282334e-05,0.14710010112107327
2026-06-03T14:52:18.423666+00:00,livestock,province,False,province__combine_false,(unknown),ZONA NO DELIMITADA,other_livestock_live,other,(all holdings),1 kg product,1.0,0.02773143245720251,0.006932858114300593,0.000346642905714973,0.035010933477218176,16.638859474321528,0.013865716228601211,0.016604086178491018,2.773143245720254,1.386571622860127,1.386571622860127,0.20798574342901907,0.0007626143925730071,0.0005338300748010881,0.00022878431777191777,0.00013865716228595189,1.0
2026-06-03T14:52:18.423666+00:00,livestock,province,False,province__combine_false,(unknown),ZONA NO DELIMITADA,ovine_live,ovine,(all ovine),1 kg live weight equivalent,1.0,0.2640604002156949,0.035208053362092616,0.0017604026681045917,0.3010288562458921,66.89530138797603,0.0880201334052316,0.014669403987795024,10.562416008627794,2.112483201725559,8.449932806902238,1.2674899210353352,0.0038728858698301185,0.0027110201088810983,0.0011618657609489855,0.0007041610672417817,1.0
2026-06-03T14:52:18.423666+00:00,livestock,province,False,province__combine_false,(unknown),ZONA NO DELIMITADA,swine_live,swine,(all swine),1 kg live weight equivalent,1.0,0.045625000000000006,0.0684375,0.00136875,0.11543124999999993,31.937500000000004,0.136875,0.001176732876962533,10.0375,7.02625,0.0,0.0,0.00301125,0.002107875,0.0009033749999999204,0.0005474999999999796,1.0
2026-06-03T14:52:18.423666+00:00,livestock,province,False,province__combine_false,Costa,EL ORO,cattle_meat,cattle,(unknown),1 kg product,1.0,0.19241399150071015,0.017492181045519056,0.0010495308627310911,0.2109557034089604,39.35740735241799,0.5247654313655732,3.756751073709094e-05,8.746090522759554,3.4984362091038212,5.247654313655732,0.7871481470483598,0.0023089678980084756,0.001616277528605913,0.0006926903694024924,0.00041981234509241546,1.0
2026-06-03T14:52:18.423666+00:00,livestock,province,False,province__combine_false,Costa,EL ORO,cattle_meat,cattle,beef,1 kg product,1.0,0.2079240270303507,0.01890218427548638,0.0011341310565291377,0.22796034236236637,42.52991461984447,0.5670655282645929,0.000369430629951327,9.451092137743215,3.780436855097286,5.67065528264593,0.8505982923968894,0.0024950883243641574,0.0017465618270548974,0.0007485264973092143,0.0004536524226116255,1.0
2026-06-03T14:52:18.423666+00:00,livestock,province,False,province__combine_false,Costa,EL ORO,cattle_meat,cattle,dairy,1 kg product,1.0,0.20993302577404227,0.019084820524912883,0.0011450892314947185,0.23016293553045006,42.94084618105412,0.5725446157473881,0.0005170288377936197,9.54241026245647,3.816964104982588,5.725446157473883,0.8588169236210822,0.002519196309288457,0.0017634374165019179,0.0007557588927865064,0.00045803569259785534,1.0
2026-06-03T14:52:18.423666+00:00,livestock,province,False,province__combine_false,Costa,EL ORO,cattle_meat,cattle,dual-purpose,1 kg product,1.0,0.2101675682094801,0.019106142564498146,0.001146368553869839,0.2304200793278482,42.98882077012094,0.5731842769349459,0.00047918578169764463,9.553071282249098,3.8212285128996393,5.731842769349459,0.8597764154024189,0.0025220108185137133,0.0017654075729595863,0.0007566032455540826,0.00045854742154790564,1.0
2026-06-03T14:52:18.423666+00:00,livestock,province,False,province__combine_false,Costa,EL ORO,eggs,poultry,layers,1 kg shell eggs,1.0,0.0,0.0047031987630587,0.0007054798144588,0.0054086785775175,6.466898299205747,0.11757996907646809,2.3424910085737505e-06,1.5990875794399666,1.5990875794399666,0.0,0.0,0.0015520555918093,0.0010864389142665,0.00046561667754280005,0.0002821919257835,0.1224120226001586
