Region,Province,Crop,Category,count__minValue,count__maxValue,Cycle_length_months__minValue,Cycle_length_months__maxValue,Area_ha__minValue,Area_ha__maxValue,Yield_kgha__minValue,Yield_kgha__maxValue,Irrig_m3__minValue,Irrig_m3__maxValue,Fuel_ha__minValue,Fuel_ha__maxValue,NPK_kgha__minValue,NPK_kgha__maxValue,AN_kgha__minValue,AN_kgha__maxValue,AP_kgha__minValue,AP_kgha__maxValue,AS_kgha__minValue,AS_kgha__maxValue,Total_fert_min_kgha__minValue,Total_fert_min_kgha__maxValue,Total_fert_org_kgha__minValue,Total_fert_org_kgha__maxValue,Insecticide_kgha__minValue,Insecticide_kgha__maxValue,Herbicide_kgha__minValue,Herbicide_kgha__maxValue,Fungicide_kgha__minValue,Fungicide_kgha__maxValue,Total_pesticides_kgha__minValue,Total_pesticides_kgha__maxValue,Seed_kgha__minValue,Seed_kgha__maxValue,Organic_estiercol_kgha__minValue,Organic_estiercol_kgha__maxValue,Organic_fermentado_kgha__minValue,Organic_fermentado_kgha__maxValue,Organic_liquido_kgha__minValue,Organic_liquido_kgha__maxValue,N_min__minValue,N_min__maxValue,P_min__minValue,P_min__maxValue,K_min__minValue,K_min__maxValue,N_orga__minValue,N_orga__maxValue,P_orga__minValue,P_orga__maxValue,K_orga__minValue,K_orga__maxValue,N_tot__minValue,N_tot__maxValue,P_tot__minValue,P_tot__maxValue,K_tot__minValue,K_tot__maxValue,kgNH3N_ha__minValue,kgNH3N_ha__maxValue,kgNOxN_ha__minValue,kgNOxN_ha__maxValue,kgNO3N_ha__minValue,kgNO3N_ha__maxValue,kgN2ON_ha_direct__minValue,kgN2ON_ha_direct__maxValue,kgN2ON_ha_indirect__minValue,kgN2ON_ha_indirect__maxValue,kgN2ON_ha__minValue,kgN2ON_ha__maxValue,kgCO2urea_ha__minValue,kgCO2urea_ha__maxValue,kgCO2limestone_ha__minValue,kgCO2limestone_ha__maxValue,kgCO2_fert_ha__minValue,kgCO2_fert_ha__maxValue,soil_erosion_tha__minValue,soil_erosion_tha__maxValue,kgP_ha_erosion__minValue,kgP_ha_erosion__maxValue,kgP_ha_runoff__minValue,kgP_ha_runoff__maxValue,kgP_ha_leaching__minValue,kgP_ha_leaching__maxValue,kgP_ha_drainage__minValue,kgP_ha_drainage__maxValue,kgP_total__minValue,kgP_total__maxValue,Cd_kg_ha__minValue,Cd_kg_ha__maxValue,Cu_kg_ha__minValue,Cu_kg_ha__maxValue,Zn_kg_ha__minValue,Zn_kg_ha__maxValue,Pb_kg_ha__minValue,Pb_kg_ha__maxValue,Ni_kg_ha__minValue,Ni_kg_ha__maxValue,Cr_kg_ha__minValue,Cr_kg_ha__maxValue,Hg_kg_ha__minValue,Hg_kg_ha__maxValue,trace_metals_from_organic__minValue,trace_metals_from_organic__maxValue
costa,(all provinces confounded),ARROZ (EN CÁSCARA),transitory,1.0,1.0,4.0,4.0,0.5,0.5,1704.5454545454538,1704.5454545454538,0.0,0.0,1653.741,4514.9985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8851659999999995,2.8851659999999995,1.0196176644,1.0196176644,0.175,0.175,0.0735,0.0735,0.44099999999999995,0.44099999999999995,1.7091176644,1.7091176644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False
costa,(all provinces confounded),ARVEJA SECA (GRANO SECO),transitory,1.0,1.0,8.0,8.0,0.15,0.15,227.2727272727273,227.2727272727273,0.0,0.0,1653.741,3993.762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,2.2727272727272734,2.2727272727272734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8851659999999995,2.8851659999999995,1.0196176644,1.0196176644,0.175,0.175,0.0735,0.0735,0.44099999999999995,0.44099999999999995,1.7091176644,1.7091176644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False
costa,(all provinces confounded),BANANO (FRUTA FRESCA),permanent,19.0,19.0,11.0,11.0,0.0,5.0,436.3636363636367,16363.6363636364,0.0,26153.846153846152,2294.5065000000004,8375.2513,0.7142857142857143,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,641.0,0.5,0.5,0.6,2.6666666666666665,,,0.0,2.6666666666666665,0.0,0.0,0.0,640.0,0.0,0.0,0.0,1.0,0.10714285714285714,7.5,0.04675714285714286,3.273,0.0889392857142857,6.22575,0.0,5.539450000000001,0.0,1.9644423791128405,0.0,6.851837453198557,0.10714285714285714,13.039450000000002,0.04675714285714286,5.23744237911284,0.0889392857142857,13.077587453198557,0.0021198529411764703,0.558093944882353,0.006073069373401534,0.7217479805785423,0.03321428571428571,4.0422295,0.0005357142857142857,0.06519725000000001,0.00042321428571428566,0.057986984,0.0009589285714285714,0.123184234,0.0,0.0,0.0,0.0,0.0,0.0,2.8851659999999995,2.8851659999999995,1.0196176644,1.0196176644,0.17502045624999998,0.17815125416297375,0.0735,0.07350012028274999,0.44099999999999995,0.44100072169649995,1.7091381206499996,1.7122697605422237,0.0,9.284239999999999e-05,0.0,0.025235300000000002,0.0,0.11345939999999999,0.0,0.0009685456,0.0,0.0020763279999999997,0.0,0.003023948,0.0,4.8205000000000003e-05,False,True
costa,(all provinces confounded),CACAO (ALMENDRA SECA),permanent,352.0,352.0,11.0,11.0,0.05,33.0,32.46753246753257,2500.0,0.0,15652.17391304348,3851.9916,6864.0084,0.5,1100.0,0.0,510.2040816326531,120.95796533333332,120.95796533333332,111.11111111111111,272.155422,0.0,1100.0,0.0,3023.949133333333,0.03,18.33333333333333,0.025025025025025,26.3578125,0.2,17.857142857142858,0.0,53.882408942743766,0.0,0.0,0.0,3023.949133333333,0.0,135.13513513513513,0.0,12.0,0.075,338.46938775510205,23.786455232159998,95.75972523216,55.4022575,272.51622948132,0.0,27.191803246576576,0.0,9.722801765281165,0.0,33.46004477509979,0.075,365.6611910016786,23.786455232159998,105.48252699744116,55.4022575,305.9762742564198,0.0014838970588235292,8.707854145028184,0.004251148561381074,20.641214696493265,0.02325,113.35496921052037,0.000375,1.828305955008393,0.00029625,1.476176114255125,0.00067125,3.304482069263518,0.0,0.0,0.0,0.0,0.0,0.0,2.8851659999999995,2.8851659999999995,1.0196176644,1.0196176644,0.18540657416407,0.22502580659315047,0.0735,0.073501443393,0.44099999999999995,0.44100866035799996,1.7195242385640697,1.7591535747441502,0.0,0.0004869050952975945,0.0,0.12961230376888289,0.0,0.5679712632678648,0.0,0.005717774502243711,0.0,0.011098122652655496,0.0,0.016460315473282968,0.0,0.00023248166703729726,False,True
costa,(all provinces confounded),CAFÉ (GRANO ORO),permanent,21.0,21.0,11.0,11.0,0.02,19.98,38.1818181818182,896.8883465527784,0.0,15652.17391304348,3851.9916,6864.0084,150.0,150.0,0.0,510.2040816326531,0.0,0.0,0.0,0.0,0.0,510.2040816326531,0.0,0.0,0.3333333333333333,0.5102040816326531,0.025025025025025,2.6666666666666665,,,0.0,2.6666666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.5,195.96938775510205,9.819,9.819,18.677249999999997,18.677249999999997,0.0,0.0,0.0,0.0,0.0,0.0,22.5,195.96938775510205,9.819,9.819,18.677249999999997,18.677249999999997,0.44516911764705874,3.877311974789916,1.2753445684143223,11.107933077731094,6.975,60.750510204081635,0.1125,0.9798469387755102,0.08887499999999998,0.774079081632653,0.20137499999999997,1.7539260204081633,0.0,0.0,0.0,0.0,0.0,0.0,2.8851659999999995,2.8851659999999995,1.0196176644,1.0196176644,0.17929581249999998,0.17929581249999998,0.0735,0.0735,0.44099999999999995,0.44099999999999995,1.7134134768999996,1.7134134768999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False
costa,(all provinces confounded),FREJOL SECO (GRANO SECO),transitory,18.0,18.0,6.0,9.0,0.05,6.0,196.3636363636364,1363.6363636363633,0.0,6153.846153846153,1653.741,3993.762,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,1457.975475,0.5,0.5,,,0.5,0.5,0.0,1.0,0.6493506493506489,6.363636363636361,0.0,1457.975475,0.0,0.0,0.0,0.0,7.5,7.5,3.273,3.273,6.22575,6.22575,0.0,12.611487858750001,0.0,4.473678781330061,0.0,15.604352034133536,7.5,20.111487858750003,3.273,7.746678781330061,6.22575,21.830102034133535,0.14838970588235295,1.0811501849600427,0.4251148561381074,1.1004499611365501,2.325,6.2345612362125005,0.0375,0.10055743929375002,0.029625,0.0941958178368,0.06712499999999999,0.19475325713055003,0.0,0.0,0.0,0.0,0.0,0.0,2.8851659999999995,2.8851659999999995,1.0196176644,1.0196176644,0.1764319375,0.1803464064336638,0.0735,0.0735,0.44099999999999995,0.44099999999999995,1.7105496019,1.7144640708336634,0.0,0.00021036399141037497,0.0,0.05710889935575,0.0,0.25629021887287495,0.0,0.0022023302740065,0.0,0.004709552379345,0.0,0.00685897272336375,0.0,0.0001097855532675,False,True
costa,(all provinces confounded),FREJOL TIERNO (VAINA),transitory,23.0,23.0,3.0,9.0,0.07,7.0,389.6103896103899,4227.27272727273,0.0,6956.521739130435,1653.741,3993.762,17.445860384615386,126.66666666666669,0.0,116.66666666666669,0.0,0.0,50.0,66.66666666666667,0.0,200.0,0.0,1209.5796533333337,0.1666666666666666,2.142857142857143,0.3333333333333333,9.0,0.1714285714285714,0.5714285714285714,0.0,11.0,3.146853146853146,21.5909090909091,0.0,1209.5796533333337,0.0,0.0,0.0,1.4285714285714286,2.6168790576923078,58.666666666666686,1.1420060207769234,8.291600000000003,27.075271305790384,48.9759,0.0,10.46779257276191,0.0,3.712431613293935,0.0,12.94879744154571,2.6168790576923078,69.1344592394286,1.1420060207769234,12.004031613293938,27.075271305790384,61.92469744154571,0.0517757218267534,1.9349475086335175,0.14832988855222554,3.8858848087807587,0.8112325078846154,21.431682364222866,0.01308439528846154,0.34567229619714296,0.010336672277884614,0.2853284313058744,0.023421067566346154,0.6310007275030174,0.0,0.0,0.0,0.0,0.0,0.0,2.8851659999999995,2.8851659999999995,1.0196176644,1.0196176644,0.1754996276340899,0.18187656634913218,0.0735,0.07350017183249999,0.44099999999999995,0.44100103099499993,1.7096172920340895,1.7159954335766319,0.0,0.00017523848599548578,0.0,0.047617092163923826,0.0,0.2139931022183429,0.0,0.0018296898781175624,0.0,0.003920041339054477,0.0,0.005709121285838287,0.0,9.109991932457146e-05,False,True
costa,(all provinces confounded),HABA SECA (GRANO SECO),transitory,7.0,7.0,6.0,8.0,0.05,0.42,151.51515151515144,545.454545454544,0.0,10434.782608695654,1653.741,3993.762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,181.436948,,,8.0,8.0,,,0.0,8.0,0.3787878787878786,4.54545454545456,0.0,181.436948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5694296002000003,0.0,0.5567244705655187,0.0,1.9418749198032845,0.0,1.5694296002000003,0.0,0.5567244705655187,0.0,1.9418749198032845,0.0,0.11607685961855695,0.0,0.08404170195536173,0.0,0.4865231760620001,0.0,0.007847148001000002,0.0,0.008035479553024001,0.0,0.015882627554024004,0.0,0.0,0.0,0.0,0.0,0.0,2.8851659999999995,2.8851659999999995,1.0196176644,1.0196176644,0.175,0.17548713391174484,0.0735,0.0735,0.44099999999999995,0.44099999999999995,1.7091176644,1.7096047983117444,0.0,2.617863004218e-05,0.0,0.00710688525316,0.0,0.03189389390418,0.0,0.00027406776743192,0.0,0.0005860776294296,0.0,0.0008535610500185998,0.0,1.36622021844e-05,False,True
costa,(all provinces confounded),HABA TIERNA (VAINA),transitory,3.0,3.0,5.0,7.0,0.2,0.75,681.8181818181799,1018.1818181818186,0.0,7500.0,1653.741,3993.762,0.0,0.0,0.0,226.796185,0.0,0.0,0.0,0.0,0.0,226.796185,0.0,0.0,0.3333333333333333,2.5,2.5,2.5,,,0.3333333333333333,8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.1107029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.1107029,0.0,0.0,0.0,0.0,0.0,1.525657936495,0.0,4.370787382672247,0.0,23.904317899000002,0.0,0.3855535145,0.0,0.304587276455,0.0,0.690140790955,0.0,0.0,0.0,0.0,0.0,0.0,2.8851659999999995,2.8851659999999995,1.0196176644,1.0196176644,0.175,0.175,0.0735,0.0735,0.44099999999999995,0.44099999999999995,1.7091176644,1.7091176644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False
costa,(all provinces confounded),LIMÓN (FRUTA FRESCA),permanent,22.0,22.0,11.0,11.0,0.2,19.74,1200.0,19418.181818181834,0.0,18260.869565217392,3851.9916,8855.9988,37.925783444816055,204.08163265306123,0.0,272.155422,120.95796533333332,120.95796533333332,50.0,272.155422,0.0,665.2688093333334,0.0,75.0,0.9375,2.083333333333333,0.1666666666666666,2.4242424242424243,0.5050505050505051,0.5050505050505051,0.0,10.03344481605351,0.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0,5.688867516722408,123.14508837795918,26.236347016457657,37.11290890562938,29.62532892563127,160.9609539711159,0.0,0.55125,0.0,0.242093991,0.0,0.5941606770000002,5.688867516722408,123.69633837795918,26.236347016457657,37.35500289662938,29.62532892563127,161.5551146481159,0.11255591701468129,2.477232891230975,0.32245627946135985,7.009626534667328,1.7635489301839464,38.345864897167345,0.02844433758361204,0.618481691889796,0.02247102669105351,0.4892454990929387,0.05091536427466555,1.1077271909827346,0.0,0.0,0.0,0.0,0.0,0.0,2.8851659999999995,2.8851659999999995,1.0196176644,1.0196176644,0.1864784018197002,0.19123689764621285,0.0735,0.0735,0.44099999999999995,0.44099999999999995,1.7205960662197,1.7253545620462125,0.0,2.475e-05,0.0,0.005087250000000001,0.0,0.0138319125,0.0,0.00062625,0.0,0.0006783000000000001,0.0,0.001152789375,0.0,2.565375e-06,False,True
