Region,Province,Product,Species,System,Functional_unit,Normalized_product_output_kg,ch4_enteric_kg_per_kg_product,ch4_manure_kg_per_kg_product,n2o_direct_kg_per_kg_product,total_direct_gas_kg_per_kg_product,water_l_per_kg_product,electricity_kwh_per_kg_product,area_ha_per_kg_product,total_feed_kg_per_kg_product,supplement_feed_kg_per_kg_product,pasture_feed_kg_per_kg_product,unmatched_pasture_feed_kg_per_kg_product,nh3_total_kg_per_kg_product,nh3_housing_kg_per_kg_product,nh3_grazing_kg_per_kg_product,nox_as_no2_kg_per_kg_product,animals_total_live_weight_kg_per_kg_product
(unknown),ZONA NO DELIMITADA,cattle_meat,cattle,v2_integrated,1 kg product,1.0,0.212330430894046,0.0193027664449132,0.0011581659866947,0.2327913633256541,43.43122450105488,0.5790829933473983,0.0066866886160047,9.65138322245664,3.860553288982656,5.790829933473984,0.8686244900210975,0.0025479651707285,0.0017835756195099,0.0007643895512185,0.0004632663946778,1.0
(unknown),ZONA NO DELIMITADA,milk,cattle,v2_integrated,1 kg FPCM,1.0,0.0236242762400443,0.0021476614763676,0.000128859688582,0.025900797404994,4.8322383218272575,0.06442984429103,0.0008634785053757,1.073830738183835,0.429532295273534,0.644298442910301,0.0966447664365451,0.0002834913148804,0.0001984439204163,8.504739446414913e-05,5.154387543282334e-05,0.1471001011210732
(unknown),ZONA NO DELIMITADA,other_livestock_live,other,v2_integrated,1 kg product,1.0,0.0277314324572025,0.0069328581143005,0.0003466429057149,0.0350109334772181,16.638859474321528,0.0138657162286012,0.016604086178491,2.773143245720254,1.386571622860127,1.386571622860127,0.207985743429019,0.000762614392573,0.000533830074801,0.0002287843177719,0.0001386571622859,1.0
(unknown),ZONA NO DELIMITADA,ovine_live,ovine,v2_integrated,1 kg live weight equivalent,1.0,0.2640604002156949,0.0352080533620926,0.0017604026681045,0.3010288562458921,66.89530138797603,0.0880201334052316,0.014669403987795,10.562416008627794,2.112483201725559,8.449932806902238,1.2674899210353352,0.0038728858698301,0.002711020108881,0.0011618657609489,0.0007041610672417,1.0
(unknown),ZONA NO DELIMITADA,swine_live,swine,v2_integrated,1 kg live weight equivalent,1.0,0.045625,0.0684375,0.00136875,0.1154312499999999,31.937500000000004,0.136875,0.0011767328769625,10.0375,7.02625,0.0,0.0,0.00301125,0.002107875,0.0009033749999999,0.0005474999999999,1.0
Costa,EL ORO,cattle_meat,cattle,v2_integrated,1 kg product,1.0,0.2084263397539778,0.0189478490685433,0.0011368709441125,0.2285110597666338,42.63266040422274,0.5684354720563031,0.000408427537833,9.47392453427172,3.7895698137086886,5.684354720563031,0.8526532080844547,0.0025011160770476,0.0017507812539333,0.0007503348231142,0.0004547483776449,1.0
Costa,EL ORO,eggs,poultry,v2_integrated,1 kg shell eggs,1.0,0.0,0.0047031987630587,0.0007054798144588,0.0054086785775175,6.466898299205747,0.117579969076468,2.3424910085737505e-06,1.5990875794399666,1.5990875794399666,0.0,0.0,0.0015520555918093,0.0010864389142665,0.0004656166775428,0.0002821919257835,0.1224120226001586
Costa,EL ORO,meat_poultry,poultry,v2_integrated,1 kg meat product,1.0,0.0,0.0109798771015512,0.0016469815652326,0.0126268586667839,15.097331014633024,0.2744969275387822,1.898031728006385e-05,3.733158214527439,3.733158214527439,0.0,0.0,0.0036233594435118,0.0025363516104582,0.0010870078330535,0.000658792626093,1.0
Costa,EL ORO,milk,cattle,v2_integrated,1 kg FPCM,1.0,0.0340770983994858,0.0030979180363168,0.0001858750821789,0.0373608915179817,6.970315581713011,0.0929375410895067,7.773604639963869e-05,1.548959018158447,0.6195836072633788,0.929375410895068,0.1394063116342601,0.0004089251807937,0.0002862476265556,0.0001226775542381,7.435003287159738e-05,0.21218616687102
Costa,EL ORO,other_livestock_live,other,v2_integrated,1 kg product,1.0,0.033974301631331,0.0084935754078327,0.0004246787703915,0.0428925558095554,20.38458097879864,0.0169871508156654,0.001256141787072,3.397430163133107,1.6987150815665537,1.6987150815665537,0.254807262234983,0.0009342932948615,0.000654005306403,0.0002802879884584,0.0001698715081565,1.0
