count,Region,Province,Crop,Category,Area_ha,Yield_kgha,Irrig_m3,Irrig_equipment,Packaging_type1,Packaging_type2,Fuel_type,Fuel_unit,Fuel_ha,NPK_kgha,AN_kgha,AP_kgha,AS_kgha,Total_fert_min_kgha,Total_fert_org_kgha,Insecticide_kgha,Herbicide_kgha,Fungicide_kgha,Total_pesticides_kgha,Seed_kgha,Organic_estiercol_kgha,Organic_fermentado_kgha,Organic_liquido_kgha,Irrig_lake_m3,Irrig_river_m3,Irrig_well_m3,Irrigation_source,Source_module,Output_basis,Yield_data_status,Yield_basis_note
4288,costa,(all provinces confounded),CACAO (ALMENDRA SECA),permanent,2.0,579.6995430264841,15652.17391304348,sin riego,QUINTAL,ALMENDRA SECA,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,4871.9952,150.0,125.0,79.16666666666667,100.0,100.0,0.0,1.0,1.342281879194631,1.0,0.24548192771084337,,216.2535051984127,93.60842144773628,3.0060240963855422,0.0,0.0,0.0,river,cpnac,observed harvested product,direct_espac_output,Yield_kgha is reconstructed from direct ESPAC harvested production variables.
610,oriente,(all provinces confounded),CACAO (ALMENDRA SECA),permanent,1.0,397.6284584980237,15652.17391304348,sin riego,QUINTAL,ALMENDRA SECA,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,4871.9952,60.40268456375839,30.239491333333334,,1.5,0.0,0.0,1.0,1.5,1.1,0.0,21.818181818181802,181.436948,190.71847400000001,5.5,0.0,0.0,0.0,river,cpnac,observed harvested product,direct_espac_output,Yield_kgha is reconstructed from direct ESPAC harvested production variables.
730,sierra,(all provinces confounded),CACAO (ALMENDRA SECA),permanent,2.0,644.1970727685012,15652.17391304348,sin riego,QUINTAL,ALMENDRA SECA,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,4871.9952,150.0,116.38185092445744,28.34467120181406,70.86167800453515,50.0,0.0,1.0,1.417233560090703,1.0101010101010102,0.8716525706688962,,217.7243376,283.25,10.0,0.0,0.0,0.0,river,cpnac,observed harvested product,direct_espac_output,Yield_kgha is reconstructed from direct ESPAC harvested production variables.
