Region,Province,Crop,Category,count__minValue,count__maxValue,Cycle_length_months__minValue,Cycle_length_months__maxValue,Area_ha__minValue,Area_ha__maxValue,Yield_kgha__minValue,Yield_kgha__maxValue,Irrig_m3__minValue,Irrig_m3__maxValue,Fuel_ha__minValue,Fuel_ha__maxValue,NPK_kgha__minValue,NPK_kgha__maxValue,AN_kgha__minValue,AN_kgha__maxValue,AP_kgha__minValue,AP_kgha__maxValue,AS_kgha__minValue,AS_kgha__maxValue,Total_fert_min_kgha__minValue,Total_fert_min_kgha__maxValue,Total_fert_org_kgha__minValue,Total_fert_org_kgha__maxValue,Insecticide_kgha__minValue,Insecticide_kgha__maxValue,Herbicide_kgha__minValue,Herbicide_kgha__maxValue,Fungicide_kgha__minValue,Fungicide_kgha__maxValue,Total_pesticides_kgha__minValue,Total_pesticides_kgha__maxValue,Seed_kgha__minValue,Seed_kgha__maxValue,Organic_estiercol_kgha__minValue,Organic_estiercol_kgha__maxValue,Organic_fermentado_kgha__minValue,Organic_fermentado_kgha__maxValue,Organic_liquido_kgha__minValue,Organic_liquido_kgha__maxValue,Irrig_lake_m3__minValue,Irrig_lake_m3__maxValue,Irrig_river_m3__minValue,Irrig_river_m3__maxValue,Irrig_well_m3__minValue,Irrig_well_m3__maxValue,N_min__minValue,N_min__maxValue,P_min__minValue,P_min__maxValue,K_min__minValue,K_min__maxValue,N_orga__minValue,N_orga__maxValue,P_orga__minValue,P_orga__maxValue,K_orga__minValue,K_orga__maxValue,N_tot__minValue,N_tot__maxValue,P_tot__minValue,P_tot__maxValue,K_tot__minValue,K_tot__maxValue,kgNH3N_ha__minValue,kgNH3N_ha__maxValue,kgNOxN_ha__minValue,kgNOxN_ha__maxValue,kgNO3N_ha__minValue,kgNO3N_ha__maxValue,kgN2ON_ha_direct__minValue,kgN2ON_ha_direct__maxValue,kgN2ON_ha_indirect__minValue,kgN2ON_ha_indirect__maxValue,kgN2ON_ha__minValue,kgN2ON_ha__maxValue,kgCO2urea_ha__minValue,kgCO2urea_ha__maxValue,kgCO2limestone_ha__minValue,kgCO2limestone_ha__maxValue,kgCO2_fert_ha__minValue,kgCO2_fert_ha__maxValue,soil_erosion_tha__minValue,soil_erosion_tha__maxValue,kgP_ha_erosion__minValue,kgP_ha_erosion__maxValue,kgP_ha_runoff__minValue,kgP_ha_runoff__maxValue,kgP_ha_leaching__minValue,kgP_ha_leaching__maxValue,kgP_ha_drainage__minValue,kgP_ha_drainage__maxValue,kgP_total__minValue,kgP_total__maxValue,Cd_kg_ha__minValue,Cd_kg_ha__maxValue,Cu_kg_ha__minValue,Cu_kg_ha__maxValue,Zn_kg_ha__minValue,Zn_kg_ha__maxValue,Pb_kg_ha__minValue,Pb_kg_ha__maxValue,Ni_kg_ha__minValue,Ni_kg_ha__maxValue,Cr_kg_ha__minValue,Cr_kg_ha__maxValue,Hg_kg_ha__minValue,Hg_kg_ha__maxValue,trace_metals_from_organic__minValue,trace_metals_from_organic__maxValue,SOC_mean_rate_kgChayr__minValue,SOC_mean_rate_kgChayr__maxValue,SOC_mean_rate_kgChayr__minValue__minValue,SOC_mean_rate_kgChayr__minValue__maxValue,SOC_mean_rate_kgChayr__maxValue__minValue,SOC_mean_rate_kgChayr__maxValue__maxValue,Crop_group
(all regions confounded),(all provinces confounded),(all crops in group),cereals,8601.0,8601.0,1.0,11.0,0.01,1600.0,35.88516746411484,29545.454545454504,0.0,11304.347826086958,1537.4895,3993.762,0.1984126984126984,56699.04625,0.0,56699.04625,0.0018899682083333,1172.093023255814,0.1181027966742252,695.5083006666667,0.0,113398.0925,0.0,90718.474,0.0074055897142857,150.0,0.0227364596491228,2000.0,0.0142857142857142,97.198365,0.0,2150.0,0.0,10227.27272727273,0.0,90718.474,0.0,6803.88555,0.0,800.0,0.0,11304.347826086958,0.0,11304.347826086958,0.0,11304.347826086958,0.02976190476190476,27782.5326625,0.013359247194847731,3941.695195431977,0.08352763605442173,7406.286608048789,0.0,837.4833588925002,0.0,300.8483127108491,0.0,1026.4990098298892,0.02976190476190476,28620.0160213925,0.013359247194847731,4242.543508142826,0.08352763605442173,8432.785617878679,0.0005888480392156863,611.6268345589278,0.0016869637148337596,1619.6155486299413,0.009226190476190476,8872.204966631676,0.0001488095238095238,143.1000801069625,0.0001175595238095238,114.0289188144046,0.0002663690476190476,257.1289989213671,0.0,0.0,0.0,0.0,0.0,0.0,2.8851659999999995,2.8851659999999995,1.0196176644,1.0196176644,0.17500584467064775,2.143860488873904,0.0735,0.07359622619999999,0.44099999999999995,0.4415773571999999,1.7091235090706474,3.678651736673904,0.0,0.01573459725259,0.0,4.148150183436501,0.0,17.967356946591526,0.0,0.19528632805845997,0.0,0.361773155629,0.0,0.5418398179527137,0.0,0.00707422799743775,False,True,0.0,0.0,0.0,0.0,0.0,0.0,cereals
(all regions confounded),(all provinces confounded),(all crops in group),forages_pastures,14458.0,14458.0,11.0,11.0,0.01,1918.5,12000.0,25000.0,173.9130434782609,10434.782608695654,0.0,2475.7000000000003,0.025,816.466266,0.0,850.48569375,0.9991097042239588,720.0,0.8113590263691685,600.0,0.0,850.48569375,0.0,1417476.15625,0.0010001250156269,22.7027027027027,0.0045359237,105.42962572482868,0.0137931034482758,15.384615384615383,0.0,215.9963666666667,0.0,0.0,0.0,1417476.15625,0.0,11339.80925,0.0,48780.48780487805,0.0,10434.782608695654,0.0,10434.782608695654,0.0,10434.782608695654,0.00375,411.635075775,0.19784166371550105,194.83948177236,0.407218351673428,400.49829711098994,0.0,12512.80903247683,0.0,4417.94562932367,0.0,15361.965101493977,0.00375,12924.444108251831,0.19784166371550105,4612.78511109603,0.407218351673428,15762.463398604967,7.419485294117646e-05,933.6063980371374,0.0002125574280690537,693.383224112415,0.0011625,4006.5776735580675,1.875e-05,64.62222054125915,1.4812499999999998e-05,65.69154079559262,3.3562499999999996e-05,130.31376133685177,0.0,0.0,0.0,0.0,0.0,0.0,2.8851659999999995,2.8851659999999995,1.0196176644,1.0196176644,0.17508655572787554,4.114871385611151,0.0735,0.07936745121951219,0.44099999999999995,0.47620470731707315,1.7092042201278752,5.6900612085477364,0.0,0.23265292815947025,0.0,64.4136715212522,0.0,297.94532294651043,0.0,2.3236467183481557,0.0,5.120313105019652,0.0,7.48176891508657,0.0,0.10775797908248468,False,True,150.0,500.0,150.0,150.0,500.0,500.0,forages_pastures
(all regions confounded),(all provinces confounded),(all crops in group),fruits,5571.0,5571.0,0.0,11.0,0.0,1660.0,7.575757575757567,119506.49350649344,0.0,29565.21739130435,3851.9916,8375.2513,0.15,13325.04258943782,0.0,1632.932532,1.0,648.0,0.4724920520833334,2400.0,0.0,13325.04258943782,0.0,120957.96533333334,0.0161290322580645,66.66666666666667,0.024,400.0,0.0666666666666666,600.0,0.0,808.3506963146705,3.636363636363636,9090.909090909085,0.0,60478.98266666667,0.0,75296.33342,0.0,3333.333333333333,0.0,29565.21739130435,0.0,29565.21739130435,0.0,29565.21739130435,0.0225,2553.953449295673,0.206199,999.5115279045998,0.254006641460625,2854.5116780238495,0.0,1088.0712507036667,0.0,430.80735505936593,0.0,1250.717412473694,0.0225,3642.0246999993396,0.206199,1430.3188829639657,0.254006641460625,4105.229090497543,0.0004451691176470588,131.00574994296161,0.0012753445684143224,203.02848711195577,0.006974999999999999,1129.0276569997952,0.0001125,18.210123499996698,8.887499999999999e-05,15.659040928320682,0.000201375,33.869164428317376,0.0,0.0,0.0,0.0,0.0,0.0,2.8851659999999995,2.8851659999999995,1.0196176644,1.0196176644,0.17509021206249997,0.778005451539872,0.0735,0.0739009425,0.44099999999999995,0.44340565499999995,1.7092078764624996,2.314929713439872,0.0,0.035240666709326664,0.0,8.031312046931934,0.0,27.70786190721021,0.0,0.7260803065343066,0.0,0.9063392492603467,0.0,1.485531191913312,0.0,0.007172911812764434,False,True,150.0,900.0,0.0,0.0,0.0,0.0,fruits
(all regions confounded),(all provinces confounded),(all crops in group),industrial_cash,7350.0,7350.0,2.0,7.0,0.0,8607.25,3.18181818181818,120000.0,0.0,34782.608695652176,3851.9916,6864.0084,0.024,127005.8636,0.0,127005.8636,0.6666666666666666,405.12820512820514,0.024,800.0,0.0,254011.7272,0.0,100788.224614,0.0158772161947605,50.0,0.0044444444444444,80.8080808080808,0.0083720930232558,50.0,0.0,6000.8,0.2681818181818179,197.01818181818203,0.0,36000.0,0.0,100788.224614,0.0,100000.0,0.0,15652.17391304348,0.0,34782.608695652176,0.0,34782.608695652176,0.0036,62232.873164000004,0.13249103999999998,8393.362908179077,0.014941799999999998,16212.583106153998,0.0,1397.1934509129,0.0,501.25937647653325,0.0,1391.282787533683,0.0036,63630.0666149129,0.13249103999999998,8894.62228465561,0.014941799999999998,17603.86589368768,7.122705882352941e-05,1334.633770722484,0.00020405513094629157,3602.3011166423157,0.001116,19725.320650622998,1.8e-05,318.1503330745645,1.422e-05,252.97347946647403,3.222e-05,571.1238125410385,0.0,0.0,0.0,0.0,0.0,0.0,2.8851659999999995,2.8851659999999995,1.0196176644,1.0196176644,0.17505796483,4.043987077081556,0.0735,0.085528275,0.44099999999999995,0.51316965,1.7091756292299998,5.662302666481556,0.0,0.08845437412262,0.0,24.89658527556762,0.0,120.61617871854925,0.0,1.0759611155269,0.0,1.9278159034090159,0.0,3.028528126135102,0.0,0.00745826122292187,False,True,0.0,1800.0,0.0,0.0,0.0,0.0,industrial_cash
(all regions confounded),(all provinces confounded),(all crops in group),pulses_oilseeds,2888.0,2888.0,0.0,11.0,0.01,300.0,39.77272727272725,22727.2727272727,0.0,10434.782608695654,1653.741,3993.762,0.4166666666666667,666.6666666666667,0.0,725.747792,2.1433164249482037,302.39491333333336,0.4,181.436948,0.0,729.747792,0.0,56699.04625,0.0302394913333333,72.0,0.0151197456666666,50.0,0.0142857142857142,39.689332375,0.0,166.66666666666669,0.0,555.5555555555555,0.0,56699.04625,0.0,6803.88555,0.0,400.0,0.0,6956.521739130435,0.0,10434.782608695654,0.0,10434.782608695654,0.0625,346.75424928,0.44817947953132825,103.02431308040002,0.25110525,173.37648632088,0.0,541.8353088550001,0.0,196.2006344798143,0.0,661.5673623667733,0.0625,888.5895581350001,0.44817947953132825,299.22494756021433,0.25110525,834.9438486876533,0.0012365808823529413,46.935411704769045,0.003542623801150895,48.669565858791614,0.019375,275.46276302185004,0.0003125,4.442947790675,0.00024687499999999997,4.1438760659936005,0.000559375,8.586823856668602,0.0,0.0,0.0,0.0,0.0,0.0,2.8851659999999995,2.8851659999999995,1.0196176644,1.0196176644,0.17519607852229493,0.372703426892934,0.0735,0.0735481131,0.44099999999999995,0.44128867860000004,1.7093137429222947,1.907157882992934,0.0,0.01062610411968125,0.0,2.7490091984690004,0.0,11.604451839557772,0.0,0.143178621664975,0.0,0.24828360011094996,0.0,0.37655712107422623,0.0,0.00450736508786275,False,True,0.0,0.0,0.0,0.0,0.0,0.0,pulses_oilseeds
(all regions confounded),(all provinces confounded),(all crops in group),roots_tubers,1259.0,1259.0,0.0,11.0,0.0,89.74,84.0,81818.1818181818,0.0,10434.782608695654,1653.741,5272.5,0.0725747792,2500.0,0.0,1295.9782000000002,0.75,150.0,0.75,500.0,0.0,2500.0,0.0,36287.3896,0.0302394913333333,144.0,0.0555555555555555,56.69904625,0.0251995761111111,64.28571428571429,0.0,144.0,0.0,63636.3636363636,0.0,36287.3896,0.0,10000.0,0.0,1578.9473684210527,0.0,0.0,0.0,10434.782608695654,0.0,10434.782608695654,0.010886216879999999,815.6325880000002,0.152035745046432,193.107,0.38258164863208793,560.3174999999999,0.0,392.83328846105275,0.0,144.65767186047216,0.0,470.87311808697274,0.010886216879999999,1208.4658764610529,0.152035745046432,337.76467186047216,0.38258164863208793,1031.1906180869726,0.00021538700279929407,45.19194281690706,0.0006170523363772581,67.26757964116146,0.0033747272327999994,374.6244217029264,5.44310844e-05,6.042329382305264,4.3000556675999996e-05,5.23305515952059,9.7431641076e-05,11.275384541825854,0.0,0.0,0.0,0.0,0.0,0.0,2.8851659999999995,2.8851659999999995,1.0196176644,1.0196176644,0.1750665156384578,0.3584937626121237,0.0735,0.07368992013157895,0.44099999999999995,0.4421395207894737,1.7091841800384575,1.8939408679331762,0.0,0.009325199692646526,0.0,2.3625717874741055,0.0,9.734086412414946,0.0,0.1411556587495419,0.0,0.2218660522017095,0.0,0.34510167053003576,0.0,0.0030950167526694744,False,True,0.0,0.0,0.0,0.0,0.0,0.0,roots_tubers
(all regions confounded),(all provinces confounded),(all crops in group),vegetables,2143.0,2143.0,0.0,11.0,0.0,170.0,22.7272727272725,112500.0,0.0,10434.782608695654,1653.741,3993.762,0.888888888888889,9071.8474,0.0,1814.36948,1.7094017094017095,266.6666666666667,1.133980925,604.7898266666667,0.0,9071.8474,0.0,136077.711,0.0285714285714285,125.0,0.125,25.0,0.0335994348148148,69.78344153846155,0.0,312.5,0.454545454545455,6969.696969696977,0.0,136077.711,0.0,22679.6185,0.0,1200.0,0.0,10434.782608695654,0.0,10434.782608695654,0.0,10434.782608695654,0.13333333333333333,1977.6627332,0.3938789743589744,646.2111308040002,0.6754705395054998,1430.8027000806,0.0,1347.9073961250003,0.0,491.5368643511048,0.0,1638.567656279953,0.13333333333333333,3325.5701293250004,0.3938789743589744,1137.747995155105,0.6754705395054998,3069.370356360553,0.0026380392156862744,138.82145563268398,0.0075575974424552435,184.27720591351223,0.04133333333333333,1030.9267400907502,0.0006666666666666666,16.627850646625003,0.0005266666666666666,14.713053664300002,0.0011933333333333331,31.340904310925005,0.0,0.0,0.0,0.0,0.0,0.0,2.8851659999999995,2.8851659999999995,1.0196176644,1.0196176644,0.17517232205128203,0.8242706310353716,0.0735,0.07364433929999999,0.44099999999999995,0.44186603579999995,1.7092899864512816,2.3593986705353713,0.0,0.027718246636635,0.0,7.068322462725,0.0,29.251520409806748,0.0,0.39708564004894,0.0,0.6554726917862,0.0,1.0044884306586626,0.0,0.0110380079890925,False,True,0.0,0.0,0.0,0.0,0.0,0.0,vegetables
