count,Region,Province,Crop,Category,Area_ha,Yield_kgha,Irrig_m3,Irrig_equipment,Packaging_type1,Packaging_type2,Fuel_type,Fuel_unit,Fuel_ha,NPK_kgha,AN_kgha,AP_kgha,AS_kgha,Total_fert_min_kgha,Total_fert_org_kgha,Insecticide_kgha,Herbicide_kgha,Fungicide_kgha,Total_pesticides_kgha,Organic_estiercol_kgha,Organic_fermentado_kgha,Organic_liquido_kgha,Irrig_lake_m3,Irrig_river_m3,Irrig_well_m3,Irrigation_source,Source_module,Output_basis,Yield_data_status,Yield_basis_note
58,(all regions confounded),(all provinces confounded),MANZANA,permanent,0.25,3340.90909090909,15652.17391304348,aspersi?n,CAJA,FRUTA FRESCA,Diesel (estimated irrigation/mechanisation proxy),MJ/ha,2475.7000000000003,600.0,118.75,55.6875,90.718474,0.0,292.9450722916667,6.0,8.0,15.384615384615383,2.25,503.9915222222222,58876.289626,20.0,0.0,0.0,0.0,river,cpnac,observed harvested product,direct_espac_output,Yield_kgha is reconstructed from direct ESPAC harvested production variables.
243,(all regions confounded),(all provinces confounded),MORA,permanent,0.16,5461.38072453862,15652.17391304348,surcos,CAJA,FRUTA FRESCA,Diesel (estimated irrigation/mechanisation proxy),MJ/ha,2475.7000000000003,272.155422,118.75,13.333333333333334,100.0,216.91973969631238,170.71847400000001,4.166666666666667,2.5,4.583333333333334,2.5,1852.1688441666668,5769.904625,80.0,0.0,0.0,0.0,river,cpnac,observed harvested product,direct_espac_output,Yield_kgha is reconstructed from direct ESPAC harvested production variables.
74,(all regions confounded),(all provinces confounded),NARANJILLA,permanent,0.5,5227.272727272727,11250.0,sin riego,CAJA,FRUTA FRESCA,Diesel (estimated irrigation/mechanisation proxy),MJ/ha,0.0,403.19321777777776,158.33333333333334,,,137.5,0.0,6.333333333333334,2.5,3.25,0.0,1179.340162,120.0,80.0,0.0,0.0,0.0,river,cpnac,observed harvested product,direct_espac_output,Yield_kgha is reconstructed from direct ESPAC harvested production variables.
1899,(all regions confounded),(all provinces confounded),OTROS PERMANENTES,permanent,0.5,5269.69696969697,11250.0,sin riego,CAJA,FRUTA FRESCA,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,4871.9952,226.79618499999998,133.33333333333334,52.66666666666667,126.26373626373626,100.0,0.0,4.285714285714286,2.6674761562500002,4.166666666666667,0.0,1511.9745666666668,1133.980925,62.666666666666664,0.0,0.0,0.0,river,cpnac,observed harvested product,direct_espac_output,Yield_kgha is reconstructed from direct ESPAC harvested production variables.
6,(all regions confounded),(all provinces confounded),PAJA TOQUILLA,permanent,2.0,2290.90909090909,,sin riego,,,,,0.0,,,,,0.0,0.0,,,,0.0,,,,0.0,0.0,0.0,river,cpnac,observed harvested product,direct_espac_output,Yield_kgha is reconstructed from direct ESPAC harvested production variables.
46,(all regions confounded),(all provinces confounded),PAPAYA,permanent,1.0,10909.090909090904,0.0,sin riego,CAJA,FRUTA FRESCA,Diesel (estimated irrigation/mechanisation proxy),MJ/ha,0.0,200.0,82.5,45.359237,440.0,200.0,0.0,0.9,1.6666666666666665,0.5,0.0,,20000.0,,0.0,0.0,0.0,river,cpnac,observed harvested product,direct_espac_output,Yield_kgha is reconstructed from direct ESPAC harvested production variables.
6,(all regions confounded),(all provinces confounded),PEPINO DULCE,permanent,0.1,9090.909090909088,15652.17391304348,surcos,QUINTAL,FRUTA FRESCA,Diesel (estimated irrigation/mechanisation proxy),MJ/ha,1237.8500000000001,453.59236999999996,,,,453.59236999999996,0.0,6.0,2.0,8.0,0.0,2494.7580350000003,,,0.0,0.0,0.0,river,cpnac,observed harvested product,direct_espac_output,Yield_kgha is reconstructed from direct ESPAC harvested production variables.
24,(all regions confounded),(all provinces confounded),PERA,permanent,0.12,3409.09090909091,15652.17391304348,surcos,CAJA,FRUTA FRESCA,Diesel (estimated irrigation/mechanisation proxy),MJ/ha,2475.7000000000003,239.39597305555554,,,,0.0,337.9072961111111,2.5,0.9375,1.5865384615384615,0.0,1628.2803025641026,45.35923700000001,,0.0,15652.17391304348,0.0,river,cpnac,observed harvested product,direct_espac_output,Yield_kgha is reconstructed from direct ESPAC harvested production variables.
3,(all regions confounded),(all provinces confounded),PIMIENTA NEGRA (GRANO FRESCO),permanent,0.375,210.0,,sin riego,QUINTAL,,,,0.0,,400.0,,,200.0,0.0,4.0,4.0,,4.0,,,,0.0,0.0,0.0,river,cpnac,observed harvested product,direct_espac_output,Yield_kgha is reconstructed from direct ESPAC harvested production variables.
9,(all regions confounded),(all provinces confounded),PIMIENTA NEGRA (GRANO SECO),permanent,0.5,1590.9090909090899,,sin riego,QUINTAL,,Diesel (estimated irrigation/mechanisation proxy),MJ/ha,0.0,100.0,,,,50.0,0.0,0.5033557046979866,1.5,,1.0,,,,0.0,0.0,0.0,river,cpnac,observed harvested product,direct_espac_output,Yield_kgha is reconstructed from direct ESPAC harvested production variables.
