count,Region,Province,Crop,Category,Seeding_date,Harvest_date,Cycle_length_months,Area_ha,Yield_kgha,Irrig_m3,Irrig_equipment,Packaging_type1,Packaging_type2,Fuel_type,Fuel_unit,Fuel_ha,NPK_kgha,AN_kgha,AP_kgha,AS_kgha,Total_fert_min_kgha,Total_fert_org_kgha,Insecticide_kgha,Herbicide_kgha,Fungicide_kgha,Total_pesticides_kgha,Seed_kgha,Organic_estiercol_kgha,Organic_fermentado_kgha,Organic_liquido_kgha
52,(all regions confounded),(all provinces confounded),PALMITO (TALLO FRESCO),permanent,2024-01-01,2024-12-01,11.0,8.0,4185.123966942146,0.0,sin riego,LIBRA,TALLO FRESCO,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,4871.9952,305.1891722408027,146.05263157894737,,,145.24853801169593,0.0,0.3333333333333333,1.0,,0.3666666666666667,,294.8350405,272.155422,5.03030303030303
688,(all regions confounded),(all provinces confounded),PAPA,transitory,2024-01-01,2024-12-01,11.0,0.225,7272.727272727279,0.0,sin riego,QUINTAL,TUBERCULO FRESCO,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,5272.5,362.873896,212.5,8.571428571428571,136.077711,250.0,40.0,2.5,2.834467120181406,3.3333333333333335,2.1921921921921923,155.8441558441557,2121.0493414979755,1915.1677844444444,200.0
53,(all regions confounded),(all provinces confounded),PIÑA (FRUTA FRESCA),permanent,2024-01-01,2024-12-01,11.0,14.0,20420.4545454546,0.0,sin riego,CAJA,FRUTA FRESCA,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,4871.9952,283.4467120181406,616.6603773584906,162.14470284237726,850.0,364.8,0.0,4.0,4.0,2.78635313,1.95,,2971.4285714285716,2000.0,60.0
1718,(all regions confounded),(all provinces confounded),PLÁTANO (FRUTA FRESCA),permanent,2024-01-01,2024-12-01,11.0,1.0,6818.181818181799,0.0,sin riego,OTRA,FRUTA FRESCA,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,2294.5065000000004,150.0,142.08074534161491,170.06802721088437,25.0,0.0,0.0,1.0,2.0,1.0,0.0,4181.818181818187,453.59237,60.179618500000004,5.0
41,(all regions confounded),(all provinces confounded),QUINUA,transitory,2024-01-01,2024-07-01,6.0,0.26,909.0909090909089,0.0,sin riego,QUINTAL,GRANO SECO,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,2216.2455,90.0,80.79614090625,,,0.0,11.33980925,0.5263157894736842,0.6666666666666666,,0.0,10.82251082251081,477.46565263157896,5.669904625,5.405405405405405
80,(all regions confounded),(all provinces confounded),SOYA,transitory,2024-06-01,2024-10-01,4.0,2.9,1509.0787635877805,0.0,sin riego,QUINTAL,GRANO SECO,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,1271.9968000000001,94.0,100.0,62.8140703517588,100.0,100.0,0.0,1.0,1.0,1.0,1.417233560090703,37.79229248023985,,,18.0
31,(all regions confounded),(all provinces confounded),TABACO,transitory,2024-06-01,2024-12-01,6.0,22.0,909.0909090909101,7500.0,goteo,CAJA,HOJA SECA,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,3101.0014,200.0,80.0,405.12820512820514,105.01779359430606,200.0,0.0,1.0,2.0,2.089590212633452,2.0,182.9454545454545,1000.0,181.436948,1.5
101,(all regions confounded),(all provinces confounded),TOMATE DE ÁRBOL (FRUTA FRESCA),permanent,2024-01-01,2024-12-01,11.0,0.235,10909.090909090917,0.0,sin riego,COSTAL,FRUTA FRESCA,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,4871.9952,412.3567,200.0,,1046.0114956666666,255.59570055555557,0.0,2.249747219413549,2.0,2.857142857142857,0.5,,4535.9237,,160.0
195,(all regions confounded),(all provinces confounded),TOMATE RIÑON,transitory,2024-01-01,2024-12-01,11.0,0.14,49090.909090909096,7500.0,goteo,CAJA,FRUTA FRESCA,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,5856.4935000000005,348.91720769230767,226.79618499999998,98.36571291666667,172.2778712980769,375.0,2834.9523125,10.0,2.916666666666667,15.0,15.384615384615383,25.568181818181817,3401.942775,8169.904625,40.0
69,(all regions confounded),(all provinces confounded),TRIGO,transitory,2024-02-01,2024-08-01,6.0,0.4,1326.781326781327,0.0,sin riego,QUINTAL,GRANO SECO,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,1447.4865,200.0,93.6046511627907,1172.093023255814,34.51942775,0.0,0.0,1.771793054571226,2.0,1.4168320774957763,0.0,13.333333333333332,1133.980925,12.5,
319,(all regions confounded),(all provinces confounded),YUCA,transitory,2024-01-01,2024-12-01,11.0,0.28500000000000003,2045.4545454545425,0.0,sin riego,QUINTAL,RAIZ FRESCA,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,2429.9955,100.0,141.7233560090703,150.0,200.0,0.0,0.0,2.0,2.027027027027027,1.0,0.0,25.454545454545443,2910.5510408333334,150.0,41.0
