Crop,Category,Cycle_length_months__minValue,Cycle_length_months__maxValue,Irrigated_area_ha__minValue,Irrigated_area_ha__maxValue,Electricity_kWh_ha__minValue,Electricity_kWh_ha__maxValue,Manure_kgha__minValue,Manure_kgha__maxValue,Urea_kgha__minValue,Urea_kgha__maxValue,MAP_kgha__minValue,MAP_kgha__maxValue,UAN_kgha__minValue,UAN_kgha__maxValue,CAN_kgha__minValue,CAN_kgha__maxValue,Compost_kg_ha__minValue,Compost_kg_ha__maxValue,Digestate_kg_ha__minValue,Digestate_kg_ha__maxValue,Acaricide_kgha__minValue,Acaricide_kgha__maxValue,Biocide_NE_kgha__minValue,Biocide_NE_kgha__maxValue,Seed_share_pct__minValue,Seed_share_pct__maxValue,Seed_kgha__minValue,Seed_kgha__maxValue,Seeding_date__minValue,Seeding_date__maxValue,Harvest_date__minValue,Harvest_date__maxValue,Manure_type__minValue,Manure_type__maxValue,count__minValue,count__maxValue,Region__minValue,Region__maxValue,Province__minValue,Province__maxValue,Area_ha__minValue,Area_ha__maxValue,Yield_kgha__minValue,Yield_kgha__maxValue,Irrig_m3__minValue,Irrig_m3__maxValue,Irrig_equipment__minValue,Irrig_equipment__maxValue,Packaging_type1__minValue,Packaging_type1__maxValue,Packaging_type2__minValue,Packaging_type2__maxValue,Fuel_type__minValue,Fuel_type__maxValue,Fuel_unit__minValue,Fuel_unit__maxValue,Fuel_ha__minValue,Fuel_ha__maxValue,NPK_kgha__minValue,NPK_kgha__maxValue,AN_kgha__minValue,AN_kgha__maxValue,AP_kgha__minValue,AP_kgha__maxValue,AS_kgha__minValue,AS_kgha__maxValue,Total_fert_min_kgha__minValue,Total_fert_min_kgha__maxValue,Total_fert_org_kgha__minValue,Total_fert_org_kgha__maxValue,Insecticide_kgha__minValue,Insecticide_kgha__maxValue,Herbicide_kgha__minValue,Herbicide_kgha__maxValue,Fungicide_kgha__minValue,Fungicide_kgha__maxValue,Total_pesticides_kgha__minValue,Total_pesticides_kgha__maxValue,Organic_estiercol_kgha__minValue,Organic_estiercol_kgha__maxValue,Organic_fermentado_kgha__minValue,Organic_fermentado_kgha__maxValue,Organic_liquido_kgha__minValue,Organic_liquido_kgha__maxValue,Irrig_lake_m3__minValue,Irrig_lake_m3__maxValue,Irrig_river_m3__minValue,Irrig_river_m3__maxValue,Irrig_well_m3__minValue,Irrig_well_m3__maxValue,Irrigation_source__minValue,Irrigation_source__maxValue,Source_module__minValue,Source_module__maxValue,Output_basis__minValue,Output_basis__maxValue,Yield_data_status__minValue,Yield_data_status__maxValue,Yield_basis_note__minValue,Yield_basis_note__maxValue
ABACÁ,permanent,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,37.0,37.0,,,,,6.0,6.0,2881.35593220339,2881.35593220339,,,,,,,,,,,,,0.0,0.0,150.0,150.0,,,,,,,0.0,0.0,0.0,0.0,,,1.0,1.0,,,0.0,0.0,15.266623196000001,15.266623196000001,90.718474,90.718474,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
ACHIOTE,permanent,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,6.0,6.0,,,,,0.7,0.7,795.454545454546,795.454545454546,,,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
ALCACHOFA,permanent,,,1.945,1.945,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.0,0.0,0.2077922077922078,0.2077922077922078,,,,,,,,,,,2.0,2.0,,,,,3.85,3.85,12467.532467532466,12467.532467532466,5625.0,5625.0,,,,,,,,,,,1237.8500000000001,1237.8500000000001,176.7243,176.7243,,,,,,,176.7243,176.7243,0.0,0.0,0.4051948051948052,0.4051948051948052,0.935064935064935,0.935064935064935,0.3116883116883117,0.3116883116883117,0.92987012987013,0.92987012987013,,,,,,,0.0,0.0,0.0,0.0,5625.0,5625.0,,,,,,,,,,
ARÁNDANO,permanent,,,0.79,0.79,0.0,0.0,84.0,84.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,13.0,13.0,,,,,1.15,1.15,8386.363636363625,8386.363636363625,11250.0,11250.0,,,,,,,,,,,2475.7000000000003,2475.7000000000003,200.0,200.0,125.45666666666666,125.45666666666666,116.5,116.5,345.0,345.0,190.20666666666665,190.20666666666665,0.0,0.0,2.1333333333333333,2.1333333333333333,6.410256410256411,6.410256410256411,7.711538461538462,7.711538461538462,0.0,0.0,,,13356.0,13356.0,105.0,105.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
BABACO,permanent,,,0.21,0.21,0.0,0.0,4535.9237,4535.9237,,,,,,,,,,,,,0.0,0.0,1.0,1.0,,,,,,,,,,,13.0,13.0,,,,,0.18,0.18,28800.0,28800.0,11250.0,11250.0,,,,,,,,,,,0.0,0.0,524.1511831111111,524.1511831111111,,,,,503.9915222222222,503.9915222222222,503.9915222222222,503.9915222222222,2834.9523125,2834.9523125,10.0,10.0,,,8.055555555555555,8.055555555555555,1.0,1.0,4535.9237,4535.9237,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
BAMBÚ O CAÑA GUADUA,permanent,,,0.02,0.02,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,31.0,31.0,,,,,1.74,1.74,6818.1818181818,6818.1818181818,,,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,1.48,1.48,2.0,2.0,,,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
CABUYA,permanent,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
CARDAMOMO,permanent,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
CAUCHO,permanent,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,8.0,8.0,,,,,12.49,12.49,7004.0053404539385,7004.0053404539385,,,,,,,,,,,,,0.0,0.0,160.41666666666666,160.41666666666666,125.20868113522538,125.20868113522538,30.05008347245409,30.05008347245409,50.08347245409015,50.08347245409015,0.0,0.0,0.0,0.0,,,2.3862520868113526,2.3862520868113526,,,0.5,0.5,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
CAÑA DE AZÚCAR /BIOCOMBUSTIBLE,permanent,,,4.65,4.65,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,7.0,7.0,,,,,5.0,5.0,41014.79915433396,41014.79915433396,,,,,,,,,,,,,0.0,0.0,23.69644350097466,23.69644350097466,47.7465652631579,47.7465652631579,,,279.06976744186045,279.06976744186045,66.3793712195122,66.3793712195122,0.0,0.0,7.317073170731708,7.317073170731708,4.803333333333333,4.803333333333333,0.9756097560975611,0.9756097560975611,5.4399999999999995,5.4399999999999995,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
