Crop,Category,Cycle_length_months__minValue,Cycle_length_months__maxValue,Irrigated_area_ha__minValue,Irrigated_area_ha__maxValue,Electricity_kWh_ha__minValue,Electricity_kWh_ha__maxValue,Manure_kgha__minValue,Manure_kgha__maxValue,Urea_kgha__minValue,Urea_kgha__maxValue,MAP_kgha__minValue,MAP_kgha__maxValue,UAN_kgha__minValue,UAN_kgha__maxValue,CAN_kgha__minValue,CAN_kgha__maxValue,Compost_kg_ha__minValue,Compost_kg_ha__maxValue,Digestate_kg_ha__minValue,Digestate_kg_ha__maxValue,Acaricide_kgha__minValue,Acaricide_kgha__maxValue,Biocide_NE_kgha__minValue,Biocide_NE_kgha__maxValue,Seed_share_pct__minValue,Seed_share_pct__maxValue,Seed_kgha__minValue,Seed_kgha__maxValue,Seeding_date__minValue,Seeding_date__maxValue,Harvest_date__minValue,Harvest_date__maxValue,Manure_type__minValue,Manure_type__maxValue,count__minValue,count__maxValue,Region__minValue,Region__maxValue,Province__minValue,Province__maxValue,Area_ha__minValue,Area_ha__maxValue,Yield_kgha__minValue,Yield_kgha__maxValue,Irrig_m3__minValue,Irrig_m3__maxValue,Irrig_equipment__minValue,Irrig_equipment__maxValue,Packaging_type1__minValue,Packaging_type1__maxValue,Packaging_type2__minValue,Packaging_type2__maxValue,Fuel_type__minValue,Fuel_type__maxValue,Fuel_unit__minValue,Fuel_unit__maxValue,Fuel_ha__minValue,Fuel_ha__maxValue,NPK_kgha__minValue,NPK_kgha__maxValue,AN_kgha__minValue,AN_kgha__maxValue,AP_kgha__minValue,AP_kgha__maxValue,AS_kgha__minValue,AS_kgha__maxValue,Total_fert_min_kgha__minValue,Total_fert_min_kgha__maxValue,Total_fert_org_kgha__minValue,Total_fert_org_kgha__maxValue,Insecticide_kgha__minValue,Insecticide_kgha__maxValue,Herbicide_kgha__minValue,Herbicide_kgha__maxValue,Fungicide_kgha__minValue,Fungicide_kgha__maxValue,Total_pesticides_kgha__minValue,Total_pesticides_kgha__maxValue,Organic_estiercol_kgha__minValue,Organic_estiercol_kgha__maxValue,Organic_fermentado_kgha__minValue,Organic_fermentado_kgha__maxValue,Organic_liquido_kgha__minValue,Organic_liquido_kgha__maxValue,Irrig_lake_m3__minValue,Irrig_lake_m3__maxValue,Irrig_river_m3__minValue,Irrig_river_m3__maxValue,Irrig_well_m3__minValue,Irrig_well_m3__maxValue,Irrigation_source__minValue,Irrigation_source__maxValue,Source_module__minValue,Source_module__maxValue,Output_basis__minValue,Output_basis__maxValue,Yield_data_status__minValue,Yield_data_status__maxValue,Yield_basis_note__minValue,Yield_basis_note__maxValue
PIMIENTA NEGRA (GRANO FRESCO),permanent,,,,,0.0,1e-12,0.0,1e-12,,,,,,,,,,,,,0.0,1e-12,0.0,1e-12,,,,,,,,,,,2.97,3.03,,,,,0.37125,0.37875,207.9,212.1,,,,,,,,,,,,,0.0,1e-12,,,396.0,404.0,,,,,198.0,202.0,0.0,1e-12,3.96,4.04,3.96,4.04,,,3.96,4.04,0.0,1e-12,0.0,1e-12,0.0,1e-12,0.0,1e-12,0.0,1e-12,0.0,1e-12,,,,,,,,,,
PIMIENTA NEGRA (GRANO SECO),permanent,,,0.2475,0.2525,0.0,1e-12,0.0,1e-12,,,,,,,,,,,,,0.0,1e-12,0.0,1e-12,,,,,,,,,,,8.91,9.09,,,,,0.495,0.505,1574.9999999999989,1606.8181818181808,,,,,,,,,,,,,0.0,1e-12,99.0,101.0,,,,,,,49.5,50.5,0.0,1e-12,0.49832214765100674,0.5083892617449665,1.485,1.515,,,0.99,1.01,0.0,1e-12,0.0,1e-12,0.0,1e-12,0.0,1e-12,0.0,1e-12,0.0,1e-12,,,,,,,,,,
PITAHAYA AMARILLA,permanent,,,1.98,2.02,0.0,1e-12,507.1685020875,517.4143304125,,,,,,,,,,,,,0.0,1e-12,0.0,1e-12,,,,,,,,,,,37.62,38.38,,,,,1.98,2.02,10349.999999999995,10559.090909090903,11137.5,11362.5,,,,,,,,,,,0.0,1e-12,209.55967493999998,213.79320372666666,143.698062816,146.60105398399998,209.55967493999998,213.79320372666666,56.57142857142858,57.714285714285715,169.7433367014,173.17249501860002,420.99041840625,429.49527534375,3.36792334725,3.4359622027500003,7.225865064000001,7.3718421360000015,5.72495092269796,5.840606496893877,7.29245073579,7.439772972876666,420.99041840625,429.49527534375,0.0,1e-12,0.0,1e-12,0.0,1e-12,0.0,1e-12,0.0,1e-12,,,,,,,,,,
PITAHAYA ROJA,permanent,,,3.70755,3.7824500000000003,0.0,1e-12,0.0,1e-12,,,,,,,,,,,,,0.0,1e-12,0.0,1e-12,,,,,,,,,,,45.54,46.46,,,,,3.95505,4.03495,9202.500000000005,9388.409090909097,11137.5,11362.5,,,,,,,,,,,2450.943,2500.4570000000003,178.91128926000002,182.52565874,79.2,80.8,17.82,18.18,123.75,126.25,160.875,164.125,0.0,1e-12,0.9254347826086957,0.9441304347826087,3.4466666666666668,3.516296296296296,10.7415,10.958499999999999,0.8264347826086957,0.8431304347826087,0.0,1e-12,0.0,1e-12,0.0,1e-12,0.0,1e-12,0.0,1e-12,0.0,1e-12,,,,,,,,,,
PLANTAS MEDICINALES,permanent,,,0.0792,0.0808,0.0,1e-12,0.0,1e-12,,,,,,,,,,,,,0.0,1e-12,0.0,1e-12,,,,,,,,,,,24.75,25.25,,,,,0.1485,0.1515,12003.42857142857,12245.922077922076,0.0,1e-12,,,,,,,,,,,0.0,1e-12,202.07540083499998,206.15773216499997,,,,,,,202.07540083499998,206.15773216499997,0.0,1e-12,11.88,12.12,0.9257142857142857,0.9444155844155844,10.054285714285713,10.257402597402598,0.0,1e-12,0.0,1e-12,0.0,1e-12,0.0,1e-12,0.0,1e-12,0.0,1e-12,0.0,1e-12,,,,,,,,,,
SABILA,permanent,,,4.95,5.05,0.0,1e-12,523.89918735,534.4830093166667,,,,,,,,,,,,,0.0,1e-12,0.0,1e-12,,,,,,,,,,,1.98,2.02,,,,,2.6235,2.6765,7436.249999999997,7586.477272727269,,,,,,,,,,,,,1225.4715,1250.2285000000002,,,,,,,,,0.0,1e-12,523.89918735,534.4830093166667,,,,,,,0.0,1e-12,523.89918735,534.4830093166667,0.0,1e-12,0.0,1e-12,0.0,1e-12,0.0,1e-12,0.0,1e-12,,,,,,,,,,
SACHA INCHI,permanent,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,1.0,1.0,,,,,7.0,7.0,1649.142857142857,1649.142857142857,,,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
TAXO,permanent,,,0.7425,0.7575,0.0,1e-12,0.0,1e-12,,,,,,,,,,,,,0.0,1e-12,0.0,1e-12,,,,,,,,,,,3.96,4.04,,,,,0.50985,0.52015,5000.999999999998,5102.030303030302,0.0,1e-12,,,,,,,,,,,0.0,1e-12,,,,,,,,,0.0,1e-12,0.0,1e-12,,,,,14.85,15.15,0.0,1e-12,0.0,1e-12,0.0,1e-12,0.0,1e-12,0.0,1e-12,0.0,1e-12,0.0,1e-12,,,,,,,,,,
TUNA,permanent,,,,,0.0,1e-12,0.0,1e-12,,,,,,,,,,,,,0.0,1e-12,0.0,1e-12,,,,,,,,,,,3.96,4.04,,,,,0.18315,0.18685,2430.0000000000014,2479.0909090909104,,,,,,,,,,,,,0.0,1e-12,,,,,,,,,0.0,1e-12,0.0,1e-12,,,,,,,0.0,1e-12,0.0,1e-12,0.0,1e-12,0.0,1e-12,0.0,1e-12,0.0,1e-12,0.0,1e-12,,,,,,,,,,
TÉ,permanent,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,1.0,1.0,,,,,278.0,278.0,10791.366906474821,10791.366906474821,,,,,,,,,,,,,0.0,0.0,575.5395683453237,575.5395683453237,,,,,,,575.5395683453237,575.5395683453237,0.0,0.0,,,4.0,4.0,,,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
UVA (VID),permanent,,,2.1285,2.1715,0.0,1e-12,673.58466945,687.19244055,,,,,,,,,,,,,0.0,1e-12,0.0,1e-12,,,,,,,,,,,9.9,10.1,,,,,0.61875,0.63125,7919.999999999999,8079.999999999999,11137.5,11362.5,,,,,,,,,,,2450.943,2500.4570000000003,594.0,606.0,158.4,161.6,79.2,80.8,118.8,121.2,594.0,606.0,673.58466945,687.19244055,10.89,11.11,7.92,8.08,19.8,20.2,27.72,28.28,673.58466945,687.19244055,0.0,1e-12,0.0,1e-12,0.0,1e-12,11137.5,11362.5,0.0,1e-12,,,,,,,,,,
UVILLA,permanent,,,0.7128,0.7272,0.0,1e-12,0.0,1e-12,,,,,,,,,,,,,0.0,1e-12,0.0,1e-12,,,,,,,,,,,5.94,6.06,,,,,0.6781499999999999,0.69185,5552.307692307702,5664.475524475534,0.0,1e-12,,,,,,,,,,,0.0,1e-12,9.9,10.1,,,,,,,4.95,5.05,0.0,1e-12,,,,,,,0.0,1e-12,0.0,1e-12,0.0,1e-12,0.0,1e-12,0.0,1e-12,0.0,1e-12,0.0,1e-12,,,,,,,,,,
VIVEROS DE PERMANENTES,permanent,,,0.059399999999999994,0.0606,0.0,1e-12,0.0,1e-12,,,,,,,,,,,,,0.0,1e-12,0.0,1e-12,,,,,,,,,,,67.32,68.68,,,,,0.0396,0.0404,4500.000000000004,4590.9090909090955,0.0,1e-12,,,,,,,,,,,0.0,1e-12,561.3205578750001,572.660367125,,,,,,,0.0,1e-12,0.0,1e-12,,,,,,,0.0,1e-12,0.0,1e-12,0.0,1e-12,0.0,1e-12,0.0,1e-12,0.0,1e-12,0.0,1e-12,,,,,,,,,,
