count,Region,Province,Crop,Category,Seeding_date,Harvest_date,Cycle_length_months,Area_ha,Yield_kgha,Irrig_m3,Irrig_equipment,Packaging_type1,Packaging_type2,Fuel_type,Fuel_unit,Fuel_ha,NPK_kgha,AN_kgha,AP_kgha,AS_kgha,Total_fert_min_kgha,Total_fert_org_kgha,Insecticide_kgha,Herbicide_kgha,Fungicide_kgha,Total_pesticides_kgha,Seed_kgha,Organic_estiercol_kgha,Organic_fermentado_kgha,Organic_liquido_kgha,crop_type_dfe,N_min,P_min,K_min,N_orga,P_orga,K_orga,N_tot,P_tot,K_tot,kgNH3N_ha,kgNOxN_ha,kgNO3N_ha,kgN2ON_ha_direct,kgN2ON_ha_indirect,kgN2ON_ha,kgCO2urea_ha,kgCO2limestone_ha,kgCO2_fert_ha,soil_erosion_tha,kgP_ha_erosion,kgP_ha_runoff,kgP_ha_leaching,kgP_ha_drainage,kgP_total,Cd_kg_ha,Cu_kg_ha,Zn_kg_ha,Pb_kg_ha,Ni_kg_ha,Cr_kg_ha,Hg_kg_ha,trace_metals_from_organic
4,costa,(all provinces confounded),AGUACATE (FRUTA FRESCA),permanent,2024-01-01,2024-12-01,11.0,5.75,5542.424242424234,0.0,microaspersi?n,CAJA,FRUTA FRESCA,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,4871.9952,225.0,200.0,0.0,0.0,325.0,0.0,1.5,1.0,,0.0,0.0,0.0,0.0,0.0,fruit,101.75,14.7285,28.015874999999998,0.0,0.0,0.0,101.75,14.7285,28.015874999999998,2.0131536764705884,5.767391548273657,31.5425,0.50875,0.4019125,0.9106625,0.0,0.0,0.0,2.8851659999999995,1.0196176644,0.18144371874999998,0.0735,0.44099999999999995,1.7155613831499998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
2330,costa,(all provinces confounded),ARROZ (EN CÁSCARA),transitory,2024-05-01,2024-12-01,7.0,2.5,4500.0,10000.0,surcos,SACA,EN CASCARA,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,4514.9985,150.0,141.7233560090703,100.0,100.0,283.6879432624113,0.0,1.0,1.3333333333333333,1.0,2.517611053765777,175.0,136.077711,129.59782,2.49840717594084,cereal,70.68594104308391,29.457,68.48325,2.138235681906996,0.8375101898441715,2.48828338892999,72.8241767249909,30.29451018984417,70.97153338892998,1.5566885601253069,4.121119967794402,22.575494784747182,0.36412088362495454,0.29015723381154523,0.6542781174364998,0.0,0.0,0.0,2.8851659999999995,1.0196176644,0.18825529222785647,0.07350030051528574,0.44100180309171444,1.7223750602348564,6.365045671960542e-05,0.014536768865264152,0.05021253884792038,0.0012921897554906334,0.0016341265707356676,0.002664886453774275,1.471202436468723e-05,True
3,costa,(all provinces confounded),ARVEJA SECA (GRANO SECO),transitory,2024-03-01,2024-08-01,5.0,0.15,227.2727272727273,0.0,sin riego,,,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,2002.4955,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,2.2727272727272734,680.388555,0.0,0.0,vegetable,0.0,0.0,0.0,5.885361000750001,2.087716764620695,7.2820309492623165,5.885361000750001,2.087716764620695,7.2820309492623165,0.4352882235695886,0.31515638233260646,1.8244619102325002,0.029426805003750004,0.03013304832384,0.05955985332759001,0.0,0.0,0.0,2.8851659999999995,1.0196176644,0.1768267521690431,0.0735,0.44099999999999995,1.7109444165690428,9.816986265817498e-05,0.02665081969935,0.11960210214067499,0.0010277541278697,0.002197791110361,0.0032008539375697493,5.12332581915e-05,True
454,costa,(all provinces confounded),BANANO (FRUTA FRESCA),permanent,2024-01-01,2024-12-01,11.0,43.56,39090.9090909091,26153.846153846152,aspersi?n,CAJA,FRUTA FRESCA,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,2294.5065000000004,250.0,136.07771100000002,75.0,110.0,200.0,0.0,1.0004806577926522,2.0,3.717105263157895,2.667778704475952,0.0,589.670081,181.436948,20.33333333333333,fruit,83.76642174000001,31.093500000000002,85.91534999999999,6.504357768450001,2.4083286607536616,7.7906595707805915,90.27077950845002,33.50182866075367,93.70600957078058,2.1384132440489365,5.09634987528928,27.983941647619506,0.4513538975422501,0.36417967764746406,0.8155335751897141,0.0,0.0,0.0,2.8851659999999995,1.0196176644,0.19020697270692066,0.07350244574925001,0.4410146744955,1.7243417573516706,0.00015512140714375164,0.03878974525561,0.15657575504195897,0.00244231875995374,0.0037286680533582,0.005829221224384816,5.0872541238973334e-05,True
4288,costa,(all provinces confounded),CACAO (ALMENDRA SECA),permanent,2024-01-01,2024-12-01,11.0,2.0,579.6995430264841,0.0,sin riego,QUINTAL,ALMENDRA SECA,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,4871.9952,150.0,125.0,79.16666666666667,100.0,100.0,0.0,1.0,1.342281879194631,1.0,0.2454819277108433,0.0,216.2535051984127,93.60842144773628,3.0060240963855422,fruit,65.0,25.365750000000002,68.48325,2.568985500739662,0.9676844633671822,3.062325439524384,67.56898550073966,26.333434463367183,71.54557543952438,1.4760493076176473,3.8218958755153163,20.946385505229294,0.33784492750369827,0.269903205763787,0.6077481332674852,0.0,0.0,0.0,2.8851659999999995,1.0196176644,0.18668114043807438,0.07350036157284487,0.4410021694370692,1.7208013358479883,6.359592812349871e-05,0.01532061203746997,0.05815466740125342,0.0011137007322045021,0.0015721908529327093,0.00249554330026629,1.952484331031331e-05,True
111,costa,(all provinces confounded),CAFÉ (GRANO ORO),permanent,2024-01-01,2024-12-01,11.0,1.0,210.0,0.0,sin riego,QUINTAL,GRANO ORO,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,4871.9952,150.0,160.0,160.0,60.0,0.0,0.0,1.5,2.0,1.2984160328947367,0.0,0.0,604.7898266666666,0.0,23.33333333333333,fruit,76.9,41.2398,48.560849999999995,5.311932000666667,1.8710222352183954,6.521338899344281,82.21193200066668,43.1108222352184,55.082188899344274,1.9143658577481313,4.643294042177463,25.48569892020667,0.4110596600033334,0.33095209184341334,0.7420117518467467,0.0,0.0,0.0,2.8851659999999995,1.0196176644,0.19468958051831606,0.0735028065975,0.441016839585,1.728826891100816,9.892876680726664e-05,0.02757461751053333,0.12864297968059998,0.0009555592247730666,0.0021635920980986665,0.0031508701667286657,4.584400728133333e-05,True
80,costa,(all provinces confounded),CAÑA DE AZÚCAR / AZÚCAR (TALLO FRESCO),permanent,2024-01-01,2024-12-01,11.0,100.0,70000.0,34782.608695652176,surcos,TONELADA METR.,TALLO FRESCO,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,2832.0108,300.0,150.37688442211055,70.0,100.0,400.0,0.0,1.0,4.0,1.0,3.0,0.0,27.79996839869691,0.0,3.0,fruit,96.12814070351759,33.384600000000006,87.16049999999998,0.2508197266487283,0.087265734689194,0.3037619574804819,96.37896043016632,33.4718657346892,87.46426195748046,1.9204744588666267,5.462164623557766,29.877477733351558,0.4818948021508316,0.38099035277933596,0.8628851549301675,0.0,0.0,0.0,2.8851659999999995,1.0196176644,0.18968340876160303,0.07350036084825,0.44100216508949996,1.723803599099353,5.511118440405983e-06,0.0015884247621769578,0.007757817444964937,4.7392964264967634e-05,0.00011679945792147077,0.00017008356133324965,2.1323376204218775e-06,True
51,costa,(all provinces confounded),CAÑA DE AZÚCAR / OTROS USOS (TALLO FRESCO),permanent,2024-01-01,2024-12-01,11.0,0.75,10606.060606060611,0.0,sin riego,QUINTAL,TALLO FRESCO,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,2832.0108,113.33333333333334,0.0,110.0,140.0,0.0,0.0,,1.0,,0.0,0.0,377.9936416666667,925.6987142857143,0.0,fruit,17.0,29.0206,83.84009999999999,10.073530550416667,4.1479239297447945,11.379089746630573,27.073530550416667,33.168523929744794,95.21918974663056,1.0814001707212288,1.5030231915215189,8.392794470629166,0.13536765275208335,0.11872647641813333,0.2540941291702167,0.0,0.0,0.0,2.8851659999999995,1.0196176644,0.18871137481613506,0.0735,0.44099999999999995,1.7228290392161347,0.0003600193883021607,0.07759615473408335,0.237168060531875,0.008300558779768881,0.009593014233311667,0.01600672741793518,6.0126445739642855e-05,True
22,costa,(all provinces confounded),FREJOL SECO (GRANO SECO),transitory,2023-12-01,2024-08-01,8.0,0.15,304.9242424242426,0.0,sin riego,QUINTAL,VAINA SECA,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,2002.4955,47.6796185,151.98145826209202,0.0,0.0,0.0,0.0,0.5,1.8799536456552304,0.6299536456552302,0.0,2.2727272727272734,566.9904625,0.0,0.0,vegetable,58.82563858411129,3.12110782701,5.936827697527499,4.904467500625001,1.7397639705172459,6.068359124385264,63.73010608473629,4.8608717975272455,12.005186821912762,1.5266227473530394,3.596984036466075,19.75633288626825,0.31865053042368147,0.25747214601043955,0.576122676434121,0.0,0.0,0.0,2.8851659999999995,1.0196176644,0.17788777814851942,0.0735,0.44099999999999995,1.7120054425485192,8.180821888181251e-05,0.022209016416125,0.0996684184505625,0.00085646177322475,0.0018314925919675,0.0026673782813081246,4.269438182625001e-05,True
43,costa,(all provinces confounded),FREJOL TIERNO (VAINA),transitory,2024-01-01,2024-07-01,6.0,1.5,1931.81818181818,0.0,sin riego,QUINTAL,VAINA,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,2002.4955,100.0,94.4822373393802,0.0,53.57142857142857,110.0,0.0,1.0,1.0,0.6164021164021163,1.0,22.1590909090909,928.7843766666668,0.0,1.4285714285714286,vegetable,47.12396069538927,6.546,39.133285714285705,8.038913429595242,2.8508342183711077,9.943514827564433,55.16287412498451,9.396834218371108,49.07680054185014,1.526928917144792,3.101556831583775,17.1004909787452,0.2758143706249226,0.22729888150631528,0.5031132521312378,0.0,0.0,0.0,2.8851659999999995,1.0196176644,0.1803589686285747,0.07350017183249999,0.44100103099499993,1.7144778358560744,0.00013472393950163575,0.03661834117689048,0.16463350450949285,0.0014055373809014956,0.00301301643636581,0.004388133946523786,6.995603499157144e-05,True
