cache_generated_at_utc,cache_domain,cache_summary_token,cache_crop_focus,cache_otros_subcrop,cache_combination_key,count,Region,Province,Crop,Category,Seeding_date,Harvest_date,Cycle_length_months,Area_ha,Yield_kgha,Straw_kgha,Export_straw_percent,Irrig_m3,Water_source,Irrig_equipment,Packaging_type1,Packaging_type1_kgha,Packaging_type2,Packaging_type2_kgha,Fuel_type,Fuel_unit,Fuel_ha,Urea_kgha,NPK_kgha,NPK_N_percent,NPK_P_percent,NPK_K_percent,MAP_kgha,UAN_kgha,AN_kgha,AP_kgha,AS_kgha,CAN_kgha,Total_fert_min_kgha,Manure_kgha,Manure_type,Compost_kg_ha,Digestate_kg_ha,Total_fert_org_kgha,N_tot,N_min,N_orga,P_tot,P_min,P_orga,K_tot,K_min,K_orga,Insecticide_kgha,Herbicide_kgha,Fungicide_kgha,Acaricide_kgha,Biocide_NE_kgha,Total_pesticides_kgha,Seed_kgha,Equipement_phyto,Molecule_name_1,Dose_kgha_1,Phase_application_1,Molecule_name_2,Dose_kgha_2,Phase_application_2,Molecule_name_3,Dose_kgha_3,Phase_application_3,Molecule_name_4,Dose_kgha_4,Phase_application_4,Molecule_name_5,Dose_kgha_5,Phase_application_5,Molecule_name_6,Dose_kgha_6,Phase_application_6,Molecule_name_7,Dose_kgha_7,Phase_application_7,Molecule_name_8,Dose_kgha_8,Phase_application_8,Molecule_name_9,Dose_kgha_9,Phase_application_9,Transport_1,Transport_type_1,Transport_tkm_1,Transport_2,Transport_type_2,Transport_tkm_2,Transport_3,Transport_type_3,Transport_tkm_3,Transport_4,Transport_type_4,Transport_tkm_4,Transport_tkm,Transport_type,Organic_estiercol_kgha,Organic_fermentado_kgha,Organic_liquido_kgha,Irrig_lake_m3,Irrig_river_m3,Irrig_well_m3,Irrigation_source,Source_module,Output_basis,Yield_data_status,Yield_basis_note,Irrig_m3_class,Farm_size_class,Crop_group,Cropping_system
2026-06-03T15:01:40.104298+00:00,crops,province,All,All,province__All__All,13.0,sierra,CARCHI,CAÑA DE AZÚCAR / OTROS USOS (TALLO FRESCO),permanent,2024-01-01,2024-12-01,11.0,0.5,10000.0,,,34782.608695652176,,sin riego,TONELADA METR.,,TALLO FRESCO,,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,2832.0108000000005,,,,,,,,,,,,0.0,0.0,,,,0.0,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,river,cpnac,observed harvested product,direct_espac_output,Yield_kgha is reconstructed from direct ESPAC harvested production variables.,Irrig_m3 <> 0,<= 1 ha,industrial_cash,(unknown)
2026-06-03T15:01:40.104298+00:00,crops,province,All,All,province__All__All,13.0,sierra,CARCHI,CEBADA,transitory,2024-01-01,2024-06-01,5.0,3.3,2727.27272727272,,,10434.782608695652,,surcos,QUINTAL,,GRANO SECO,,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,1447.4865,,145.26392854545455,,,,,,347.7541503333333,,,,181.436948,0.0,,,,0.0,,,,,,,,,,1.0,1.0,2.2,0.0,0.0,1.2,545.454545454544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,river,ctnac,observed harvested product,direct_espac_output,Yield_kgha is reconstructed from direct ESPAC harvested production variables.,Irrig_m3 <> 0,<= 10 ha,cereals,(unknown)
2026-06-03T15:01:40.104298+00:00,crops,province,All,All,province__All__All,2.0,sierra,CARCHI,CEBOLLA BLANCA,transitory,2024-07-01,2024-12-01,5.0,1.125,6818.18181818181,,,7826.08695652174,,aspersi?n,OTRA,,TALLO FRESCO,,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,10178.9935,,181.436948,,,,,,,,,,90.718474,65.35923700000001,,,,65.35923700000001,,,,,,,,,,0.375,0.125,,0.0,0.0,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.359237,20.0,0.0,0.0,3913.04347826087,0.0,river,ctnac,observed harvested product,direct_espac_output,Yield_kgha is reconstructed from direct ESPAC harvested production variables.,Irrig_m3 <> 0,<= 10 ha,vegetables,(unknown)
2026-06-03T15:01:40.104298+00:00,crops,province,All,All,province__All__All,45.0,sierra,CARCHI,FREJOL SECO (GRANO SECO),transitory,2024-02-01,2024-07-01,5.0,0.5,757.5757575757567,,,6956.521739130435,,surcos,QUINTAL,,GRANO SECO,,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,2002.4955,,63.57282466666667,,,,,,75.59872833333333,,,,7.25747792,0.0,,,,0.0,,,,,,,,,,0.9,0.6666666666666666,0.7257477920000001,0.0,0.0,1.0,20.454545454545467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,6956.521739130435,0.0,river,ctnac,observed harvested product,direct_espac_output,Yield_kgha is reconstructed from direct ESPAC harvested production variables.,Irrig_m3 <> 0,<= 1 ha,pulses_oilseeds,(unknown)
2026-06-03T15:01:40.104298+00:00,crops,province,All,All,province__All__All,9.0,sierra,CARCHI,FREJOL TIERNO (VAINA),transitory,2024-06-01,2024-12-01,6.0,0.75,5454.5454545454495,,,6956.521739130435,,surcos,QUINTAL,,VAINA,,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,2002.4955,,124.73790175000002,,,,,,181.436948,,,,68.03885550000001,0.0,,,,0.0,,,,,,,,,,1.7999999999999998,1.7999999999999998,1.0,0.0,0.0,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,6956.521739130435,0.0,river,ctnac,observed harvested product,direct_espac_output,Yield_kgha is reconstructed from direct ESPAC harvested production variables.,Irrig_m3 <> 0,<= 1 ha,pulses_oilseeds,(unknown)
2026-06-03T15:01:40.104298+00:00,crops,province,All,All,province__All__All,5.0,sierra,CARCHI,GRAMALOTE,cultivated_pasture,2024-01-01,2024-12-01,11.0,10.0,15000.0,,,,,sin riego,,,,,,,0.0,,,,,,,,,,,,0.0,0.0,,,,0.0,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,river,pcnac,observed managed pasture area,ecuador_proxy_dm_yield,"Cultivated-pasture dry-matter yield proxy for gramalote or Axonopus-type pasture; Ecuador references support a working range near 10-20 t DM/ha/year, with the midpoint retained as proxy.",Irrig_m3 = 0,<= 10 ha,forages_pastures,(unknown)
2026-06-03T15:01:40.104298+00:00,crops,province,All,All,province__All__All,3.0,sierra,CARCHI,HABA SECA (GRANO SECO),transitory,2024-02-01,2024-07-01,5.0,0.5,1363.636363636364,,,10434.782608695654,,aspersi?n,QUINTAL,,GRANO SECO,,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,2002.4955,,100.0,,,,,,,,,,0.0,0.0,,,,0.0,,,,,,,,,,3.5208333333333335,1.0208333333333337,,0.0,0.0,2.083333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,river,ctnac,observed harvested product,direct_espac_output,Yield_kgha is reconstructed from direct ESPAC harvested production variables.,Irrig_m3 <> 0,<= 1 ha,pulses_oilseeds,(unknown)
2026-06-03T15:01:40.104298+00:00,crops,province,All,All,province__All__All,14.0,sierra,CARCHI,HABA TIERNA (VAINA),transitory,2024-01-01,2024-08-01,7.0,1.5,6060.606060606068,,,10434.782608695654,,sin riego,SACO,,VAINA,,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,2002.4954999999998,,200.0,,,,,,56.69904625,90.718474,,,200.0,0.0,,,,0.0,,,,,,,,,,1.2,0.5,3.7769427749999998,0.0,0.0,1.375,20.6611570247934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,river,ctnac,observed harvested product,direct_espac_output,Yield_kgha is reconstructed from direct ESPAC harvested production variables.,Irrig_m3 <> 0,<= 10 ha,pulses_oilseeds,(unknown)
2026-06-03T15:01:40.104298+00:00,crops,province,All,All,province__All__All,38.0,sierra,CARCHI,LIMÓN (FRUTA FRESCA),permanent,2024-01-01,2024-12-01,11.0,0.5,4090.9090909090896,,,18260.869565217392,,surcos,QUINTAL,,FRUTA FRESCA,,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,8855.9988,,100.0,,,,,,4.0,,,,73.52941176470588,0.0,,,,0.0,,,,,,,,,,2.0,2.0,1.0499999999999998,0.0,0.0,1.172155422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,river,cpnac,observed harvested product,direct_espac_output,Yield_kgha is reconstructed from direct ESPAC harvested production variables.,Irrig_m3 <> 0,<= 1 ha,fruits,(unknown)
2026-06-03T15:01:40.104298+00:00,crops,province,All,All,province__All__All,1.0,sierra,CARCHI,MAIZ DURO CHOCLO (CHOCLO),transitory,2023-10-01,2024-03-01,5.0,2.0,454.5454545454545,,,11304.347826086958,,surcos,QUINTAL,,CHOCLO,,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,1537.4895,,226.796185,,,,,,,,,,226.796185,0.0,,,,0.0,,,,,,,,,,,0.5,,0.0,0.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,11304.347826086958,0.0,river,ctnac,observed harvested product,direct_espac_output,Yield_kgha is reconstructed from direct ESPAC harvested production variables.,Irrig_m3 <> 0,<= 10 ha,cereals,(unknown)
