count,Region,Province,Crop,Category,Area_ha,Yield_kgha,Irrig_m3,Irrig_equipment,Packaging_type1,Packaging_type2,Fuel_type,Fuel_unit,Fuel_ha,NPK_kgha,AN_kgha,AP_kgha,AS_kgha,Total_fert_min_kgha,Total_fert_org_kgha,Insecticide_kgha,Herbicide_kgha,Fungicide_kgha,Total_pesticides_kgha,Organic_estiercol_kgha,Organic_fermentado_kgha,Organic_liquido_kgha,Irrig_lake_m3,Irrig_river_m3,Irrig_well_m3,Irrigation_source,Source_module,Output_basis,Yield_data_status,Yield_basis_note,Seed_kgha,crop_type_dfe,N_min,P_min,K_min,N_orga,P_orga,K_orga,N_tot,P_tot,K_tot,kgNH3N_ha,kgNOxN_ha,kgNO3N_ha,kgN2ON_ha_direct,kgN2ON_ha_indirect,kgN2ON_ha,kgCO2urea_ha,kgCO2limestone_ha,kgCO2_fert_ha,soil_erosion_tha,kgP_ha_erosion,kgP_ha_runoff,kgP_ha_leaching,kgP_ha_drainage,kgP_total,Cd_kg_ha,Cu_kg_ha,Zn_kg_ha,Pb_kg_ha,Ni_kg_ha,Cr_kg_ha,Hg_kg_ha,trace_metals_from_organic,SOC_mean_rate_kgChayr,SOC_mean_rate_kgChayr__minValue,SOC_mean_rate_kgChayr__maxValue,SOC_source
7,(all regions confounded),(all provinces confounded),GUABA,permanent,0.1,818.1818181818179,15652.17391304348,sin riego,,,Diesel (estimated irrigation/mechanisation proxy),MJ/ha,0.0,60.0,0.0,0.0,0.0,60.0,0.0,2.5,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,river,cpnac,observed harvested product,direct_espac_output,Yield_kgha is reconstructed from direct ESPAC harvested production variables.,0.0,fruit,9.0,3.9276000000000004,7.470899999999999,0.0,0.0,0.0,9.0,3.9276000000000004,7.470899999999999,0.17806764705882352,0.510137827365729,2.79,0.045,0.03555,0.08055,0.0,0.0,0.0,2.8851659999999995,1.0196176644,0.17671832499999998,0.0735,0.44099999999999995,1.7108359893999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,
12,(all regions confounded),(all provinces confounded),GUANABANA,permanent,2.0,4090.9090909091,11250.0,sin riego,CAJA,FRUTA FRESCA,Diesel (estimated irrigation/mechanisation proxy),MJ/ha,0.0,162.5,0.0,0.0,0.0,112.0,0.0,1.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,river,cpnac,observed harvested product,direct_espac_output,Yield_kgha is reconstructed from direct ESPAC harvested production variables.,0.0,fruit,24.375,10.63725,20.2336875,0.0,0.0,0.0,24.375,10.63725,20.2336875,0.4822665441176471,1.3816232824488492,7.55625,0.121875,0.09628125,0.21815625,0.0,0.0,0.0,2.8851659999999995,1.0196176644,0.179653796875,0.0735,0.44099999999999995,1.713771461275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,
9,(all regions confounded),(all provinces confounded),GUAYABA,permanent,0.425,12370.129870129873,,sin riego,CAJA,FRUTA FRESCA,Diesel (estimated irrigation/mechanisation proxy),MJ/ha,0.0,150.0,0.0,0.0,0.0,0.0,0.0,4.285714285714286,2.0,25.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,river,cpnac,observed harvested product,direct_espac_output,Yield_kgha is reconstructed from direct ESPAC harvested production variables.,0.0,fruit,22.5,9.819,18.677249999999997,0.0,0.0,0.0,22.5,9.819,18.677249999999997,0.44516911764705874,1.2753445684143223,6.975,0.1125,0.08887499999999998,0.20137499999999997,0.0,0.0,0.0,2.8851659999999995,1.0196176644,0.17929581249999998,0.0735,0.44099999999999995,1.7134134768999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,
875,(all regions confounded),(all provinces confounded),HUERTO FRUTAL,permanent,0.2,7272.727272727269,0.0,sin riego,CAJA,FRUTA FRESCA,Diesel (estimated irrigation/mechanisation proxy),MJ/ha,0.0,226.796185,356.394005,0.0,56.89769853846154,90.718474,0.0,4.78021978021978,1.923076923076923,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,river,cpnac,observed harvested product,direct_espac_output,Yield_kgha is reconstructed from direct ESPAC harvested production variables.,0.0,fruit,155.19338945,14.846078270100001,56.577994709341155,0.0,0.0,0.0,155.19338945,14.846078270100001,56.577994709341155,3.0705468553827946,8.796668723949606,48.10995072950001,0.77596694725,0.6130138883275,1.3889808355775002,0.0,0.0,0.0,2.8851659999999995,1.0196176644,0.18149515924316875,0.0735,0.44099999999999995,1.7156128236431685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,
5,(all regions confounded),(all provinces confounded),LIMA,permanent,0.5,8000.0,,aspersi?n,CAJA,FRUTA FRESCA,Diesel (estimated irrigation/mechanisation proxy),MJ/ha,2475.7000000000003,0.0,0.0,0.0,0.0,0.0,42456.245832,6.0,,,6.0,0.0,42456.245832,0.0,0.0,0.0,0.0,river,cpnac,observed harvested product,direct_espac_output,Yield_kgha is reconstructed from direct ESPAC harvested production variables.,0.0,fruit,0.0,0.0,0.0,312.0534068652,137.04535995127995,336.34442355226076,312.0534068652,137.04535995127995,336.34442355226076,23.079837093405324,16.7102107737603,96.73655612821199,1.560267034326,1.5977134431498237,3.1579804774758236,0.0,0.0,0.0,2.8851659999999995,1.0196176644,0.175,0.0735,0.44099999999999995,1.7091176644,0.01401056112456,2.8798071547845607,7.830014365689515,0.3545096526972,0.38397428730460803,0.6525747879669017,0.0014522158886835599,True,0.0,0.0,0.0,
128,(all regions confounded),(all provinces confounded),MANDARINA,permanent,0.24,12424.242424242411,18260.869565217392,surcos,CAJA,FRUTA FRESCA,Diesel (estimated irrigation/mechanisation proxy),MJ/ha,2475.7000000000003,377.38885184,165.37221822916666,0.0,370.1923076923077,107.6923076923077,0.0,8.333333333333334,6.777777777777778,4.166666666666667,1.02,0.0,0.0,0.0,0.0,0.0,0.0,river,cpnac,observed harvested product,direct_espac_output,Yield_kgha is reconstructed from direct ESPAC harvested production variables.,0.0,fruit,112.83488197391667,24.7038742414464,231.36855365608832,0.0,0.0,0.0,112.83488197391667,24.7038742414464,231.36855365608832,2.2324713265839335,6.39570461569359,34.97881341191417,0.5641744098695833,0.44569778379697084,1.0098721936665542,0.0,0.0,0.0,2.8851659999999995,1.0196176644,0.1858079449806328,0.0735,0.44099999999999995,1.7199256093806325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,450.0,150.0,800.0,citrus_conventional
58,(all regions confounded),(all provinces confounded),MANZANA,permanent,0.25,3340.90909090909,15652.17391304348,aspersi?n,CAJA,FRUTA FRESCA,Diesel (estimated irrigation/mechanisation proxy),MJ/ha,2475.7000000000003,600.0,118.75,55.6875,90.718474,0.0,3.779936416666667,6.0,8.0,15.384615384615383,2.25,3.779936416666667,0.0,0.0,0.0,0.0,0.0,river,cpnac,observed harvested product,direct_espac_output,Yield_kgha is reconstructed from direct ESPAC harvested production variables.,0.0,fruit,130.375,50.21191125,119.89224316043999,0.032696450004166676,0.011598426470114973,0.04045572749590177,130.40769645000415,50.223509676470115,119.93269888793589,2.581925988496955,7.391664117991503,40.426385899501284,0.6520384822500208,0.5151486558240213,1.1671871380740422,0.0,0.0,0.0,2.8851659999999995,1.0196176644,0.19697785979503632,0.0735,0.44099999999999995,1.731095524195036,5.4538812587875e-07,0.00014806010944083334,0.0006644561230037501,5.709745154831667e-06,1.2209950613116667e-05,1.7782521875387503e-05,2.84629212175e-07,True,0.0,0.0,0.0,
243,(all regions confounded),(all provinces confounded),MORA,permanent,0.16,5461.38072453862,15652.17391304348,surcos,CAJA,FRUTA FRESCA,Diesel (estimated irrigation/mechanisation proxy),MJ/ha,2475.7000000000003,272.155422,118.75,13.333333333333334,100.0,216.9197396963124,90.718474,4.166666666666667,2.5,4.583333333333334,2.5,90.718474,0.0,0.0,0.0,0.0,0.0,river,cpnac,observed harvested product,direct_espac_output,Yield_kgha is reconstructed from direct ESPAC harvested production variables.,0.0,fruit,81.1983133,20.43369392412,83.69343237032999,0.7847148001000002,0.27836223528275933,0.9709374599016423,81.9830281001,20.71205615940276,84.66436983023164,1.664570940306631,4.644502087935877,25.414738711031,0.4099151405005,0.324751077311512,0.734666217812012,0.0,0.0,0.0,2.8851659999999995,1.0196176644,0.18418330804767488,0.0735,0.44099999999999995,1.7183009724476745,1.308931502109e-05,0.00355344262658,0.01594694695209,0.00013703388371596,0.0002930388147148,0.0004267805250092999,6.8311010922e-06,True,0.0,0.0,0.0,
74,(all regions confounded),(all provinces confounded),NARANJILLA,permanent,0.5,5227.272727272727,11250.0,sin riego,CAJA,FRUTA FRESCA,Diesel (estimated irrigation/mechanisation proxy),MJ/ha,0.0,403.19321777777776,158.33333333333334,0.0,0.0,137.5,0.0,6.333333333333334,2.5,3.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,river,cpnac,observed harvested product,direct_espac_output,Yield_kgha is reconstructed from direct ESPAC harvested production variables.,0.0,fruit,114.31231600000001,26.393028035733334,50.203603511599994,0.0,0.0,0.0,114.31231600000001,26.393028035733334,50.203603511599994,2.261702793329412,6.479448502820518,35.436817960000006,0.57156158,0.4515336482,1.0230952282,0.0,0.0,0.0,2.8851659999999995,1.0196176644,0.18654694976563332,0.0735,0.44099999999999995,1.7206646141656332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,
1899,(all regions confounded),(all provinces confounded),OTROS PERMANENTES,permanent,0.5,5269.69696969697,11250.0,sin riego,CAJA,FRUTA FRESCA,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,4871.9952,226.796185,133.33333333333334,52.66666666666667,126.26373626373626,100.0,0.0,4.285714285714286,2.66747615625,4.166666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,river,cpnac,observed harvested product,direct_espac_output,Yield_kgha is reconstructed from direct ESPAC harvested production variables.,0.0,fruit,79.35276108333335,25.188758270100003,91.12644345879147,0.0,0.0,0.0,79.35276108333335,25.188758270100003,91.12644345879147,1.5700177170811276,4.497871681613716,24.599355935833337,0.3967638054166667,0.31344340627916667,0.7102072116958333,0.0,0.0,0.0,2.8851659999999995,1.0196176644,0.18602008174316875,0.0735,0.44099999999999995,1.7201377461431684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,450.0,150.0,800.0,agroforestry_proxy_fao_lac
