Region,Province,Product,System,count,Normalized_product_output_kg,Area_ha_per_1kg_product,Animals_total_live_weight_kg_per_1kg_product,Producing_animals_live_weight_kg_per_1kg_product,Animals_sold_live_weight_kg_per_1kg_product,Water_l_per_1kg_product,Electricity_kWh_per_1kg_product,Live_weight_equivalent_kg_per_1kg_product,Milk_output_kg_fpcm_per_1kg_product,Milk_sales_kg_fpcm_per_1kg_product,Egg_output_reported_per_1kg_product,Egg_output_kg_per_1kg_product,Egg_sales_reported_per_1kg_product,Egg_sales_kg_per_1kg_product,Birds_sold_head_per_1kg_product,Birds_consumed_head_per_1kg_product,Cultivated_pasture_area_ha_per_1kg_product,Natural_pasture_area_ha_per_1kg_product,Linked_pasture_area_ha_per_1kg_product,Intake_assumption_kg_per_1kg_product,Pasture_feed_kg_per_1kg_product,Cultivated_pasture_feed_kg_per_1kg_product,Natural_pasture_feed_kg_per_1kg_product,Unmatched_pasture_feed_kg_per_1kg_product,Supplement_feed_kg_per_1kg_product,Common_feed_kg_per_1kg_product,Waste_feed_kg_per_1kg_product,Unallocated_feed_kg_per_1kg_product,Total_feed_kg_per_1kg_product,Proxy_total_feed_kg_per_1kg_product,Proxy_forage_kg_per_1kg_product,Proxy_tree_forage_kg_per_1kg_product,Proxy_compound_feed_kg_per_1kg_product,Proxy_mineral_kg_per_1kg_product,Vaccinated_head_per_1kg_product,Area_ha,Animals_total_head,Producing_animals_head,Animals_sold_head,Water_l_head_day,Electricity_kWh_head_day,Representative_live_weight_kg,Live_weight_equivalent_kg,Milk_output_kg_fpcm_day,Milk_sales_kg_fpcm_7d,Egg_output_reported,Egg_output_kg,Egg_sales_reported,Egg_sales_kg,Eggs_per_head_reported,Birds_sold_head,Birds_consumed_head,Pasture_share_pct,Cultivated_pasture_area_ha,Natural_pasture_area_ha,Linked_pasture_area_ha,Cultivated_pasture_area_share_pct,Natural_pasture_area_share_pct,Cultivated_pasture_area_ha_per_head,Natural_pasture_area_ha_per_head,Cultivated_pasture_feed_share_pct,Natural_pasture_feed_share_pct,Unmatched_pasture_feed_share_pct,Supplement_share_pct,Common_feed_share_pct,Waste_feed_share_pct,Intake_assumption_kg_head_day,Pasture_feed_kg_head_day,Cultivated_pasture_feed_kg_head_day,Natural_pasture_feed_kg_head_day,Unmatched_pasture_feed_kg_head_day,Supplement_feed_kg_head_day,Common_feed_kg_head_day,Waste_feed_kg_head_day,Unallocated_feed_share_pct,Unallocated_feed_kg_head_day,Total_feed_kg_head_day,Proxy_total_feed_kg_head_day,Proxy_body_weight_kg,Proxy_forage_share_pct,Proxy_tree_forage_share_pct,Proxy_compound_feed_share_pct,Proxy_mineral_share_pct,Proxy_forage_kg_head_day,Proxy_tree_forage_kg_head_day,Proxy_compound_feed_kg_head_day,Proxy_mineral_kg_head_day,Vaccinated_head,Vaccination_share_pct,Reference_output_kg,Reference_output_kg_for_dfe,Normalization_factor_to_1kg,Species,Infrastructure_type,Infrastructure_source,Functional_unit,Infra_water_electricity_status,Infra_water_electricity_note,Infra_water_electricity_citations,Reference_output_basis_note,Output_unit,Sales_unit,Diet_basis,Proxy_diet_basis,Diet_data_status,Ration_composition_note,Diet_proxy_source_key,Diet_proxy_quality,Diet_proxy_note,Diet_proxy_citations
Costa,EL ORO,eggs,layers,2,1.0,,6.8625944178267435,6.8625944178267435,,0.0027986428702594457,0.0001273256440973892,6.8625944178267435,,,17.63699536147022,1.0,17.63699536147022,1.0,0.6916468769204007,0.0755871229777295,,,,0.0010211264526622304,0.0,0.0,0.0,0.0,0.0,0.0010211264526622304,0.0,0.0,0.0010211264526622304,0.0010211264526622304,0.0,0.0,0.0010211264526622304,0.0,,,80125.0,80125.0,,0.222,0.0101,1.514,121309.25,,,510350.0,28936.334649999997,510350.0,28936.334649999997,4.5875,40000.0,3.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,99.99999999999999,0.0,0.081,0.0,0.0,0.0,0.0,0.0,0.081,0.0,0.0,0.0,0.081,0.081,,0.0,0.0,100.0,0.0,0.0,0.0,0.081,0.0,,,28936.334649999997,28936.334649999997,0.012606499415583089,chicken,layer house or coop with drinkers and lighting,literature/system proxy,1 kg shell eggs,literature/system proxy,ESPAC livestock modules do not expose direct infrastructure/water/electricity variables for this row; literature/system proxy attached,"Producción sostenible en avicultura - Reports 222.03 L per 1000 hens per day, equivalent to 0.222 L/hen/day; used as the preferred Latin American-style layer water proxy. (https://dokumen.pub/produccion-sostenible-en-avicultura-l-6359269.html) | FAO small-scale poultry production - Reports that a laying hen can consume up to about 0.25 L/day of water, supporting the adopted 0.222 L/hen/day proxy. (https://www.fao.org/4/y4628e/y4628e03.htm) | Iowa layer-house electricity summary - Layer-house electricity around 10.1 kWh/day per 1000 birds was used, equivalent to 0.0101 kWh/bird/day. (https://blogs.millersville.edu/aest/2022/05/13/dr-haughery-publishes-research-findings/)",Egg counts converted to kg shell eggs using 0.056699 kg/egg; live-weight-equivalent per kg shell eggs is based on total flock live weight divided by total egg output.,kg shell eggs,kg shell eggs,as-fed kg/head/day,as-fed kg/head/day,no diet share data in ESPAC; literature proxy attached from config,"no diet/ration fields found in avian module; literature proxy diet attached from inputs/02-05_espac_lci_coefficients.yml; main feed columns mapped from proxy diet as common compound feed, with no pasture or waste component",eggs,Ecuador direct,Semipasture or free-range scavenging was not quantified in the source; proxy covers balanced feed only.,Evaluación de parámetros productivos en crianza de gallinas criollas (gallina feliz). Patoa de Vallejo-Pujilí - Reports 0.081 ± 0.002 kg balanced feed per hen per day in a semipasture system in Cotopaxi. (https://repositorio.utc.edu.ec/handle/27000/7769)
Costa,GUAYAS,eggs,dual-purpose poultry,1,1.0,,7.6292602792188315,7.6292602792188315,,0.022373788401407933,0.0005039141531848634,7.6292602792188315,,,17.636995361470216,1.0,17.636995361470216,1.0,,,,,,0.008163409281594787,0.0,0.0,0.0,0.0,0.0,0.008163409281594787,0.0,0.0,0.008163409281594787,0.008163409281594787,0.0,0.0,0.008163409281594787,0.0,,,50.0,50.0,,0.222,0.005,1.514,75.7,,,175.0,9.922325,175.0,9.922325,3.5,,,0.0,,,,,,,,0.0,0.0,0.0,0.0,99.99999999999999,0.0,0.081,0.0,0.0,0.0,0.0,0.0,0.081,0.0,0.0,0.0,0.081,0.081,,0.0,0.0,100.0,0.0,0.0,0.0,0.081,0.0,,,9.922325,9.922325,0.10078283063697267,chicken,small poultry house or coop,literature/system proxy,1 kg shell eggs,literature/system proxy,ESPAC livestock modules do not expose direct infrastructure/water/electricity variables for this row; literature/system proxy attached,"Producción sostenible en avicultura - Reports 222.03 L per 1000 hens per day, equivalent to 0.222 L/hen/day; used as the preferred practical water proxy for dual-purpose poultry rows. (https://dokumen.pub/produccion-sostenible-en-avicultura-l-6359269.html) | FAO small-scale poultry production - Reports that a laying hen can consume up to about 0.25 L/day of water, supporting the adopted 0.222 L/hen/day proxy. (https://www.fao.org/4/y4628e/y4628e03.htm) | Iowa layer-house electricity summary - A reduced fraction of the layer-house benchmark was retained as a small-scale poultry electricity fallback because no stronger Ecuador, Latin American, or FAO per-bird electricity factor was identified. (https://blogs.millersville.edu/aest/2022/05/13/dr-haughery-publishes-research-findings/)",Egg counts converted to kg shell eggs using 0.056699 kg/egg; live-weight-equivalent per kg shell eggs is based on total flock live weight divided by total egg output.,kg shell eggs,kg shell eggs,as-fed kg/head/day,as-fed kg/head/day,no diet share data in ESPAC; literature proxy attached from config,"no diet/ration fields found in avian module; literature proxy diet attached from inputs/02-05_espac_lci_coefficients.yml; main feed columns mapped from proxy diet as common compound feed, with no pasture or waste component",eggs,Ecuador direct,Semipasture or free-range scavenging was not quantified in the source; proxy covers balanced feed only.,Evaluación de parámetros productivos en crianza de gallinas criollas (gallina feliz). Patoa de Vallejo-Pujilí - Reports 0.081 ± 0.002 kg balanced feed per hen per day in a semipasture system in Cotopaxi. (https://repositorio.utc.edu.ec/handle/27000/7769)
Costa,GUAYAS,eggs,layers,3,1.0,,4.238477932899351,4.238477932899351,,2.0716470742044384e-05,9.425061013272445e-07,4.238477932899351,,,17.63699536147022,1.0,17.63699536147022,1.0,1.0793754811181284,,,,,7.558712297772951e-06,0.0,0.0,0.0,0.0,0.0,7.558712297772951e-06,0.0,0.0,7.558712297772951e-06,7.558712297772951e-06,0.0,0.0,7.558712297772951e-06,0.0,,,30000.0,30000.0,,0.222,0.0101,1.514,45420.0,,,189000.0,10716.111,189000.0,10716.111,6.3,9000.0,,0.0,,,,,,,,0.0,0.0,0.0,0.0,99.99999999999999,0.0,0.081,0.0,0.0,0.0,0.0,0.0,0.081,0.0,0.0,0.0,0.081,0.081,,0.0,0.0,100.0,0.0,0.0,0.0,0.081,0.0,,,10716.111,10716.111,9.33174357749747e-05,chicken,layer house or coop with drinkers and lighting,literature/system proxy,1 kg shell eggs,literature/system proxy,ESPAC livestock modules do not expose direct infrastructure/water/electricity variables for this row; literature/system proxy attached,"Producción sostenible en avicultura - Reports 222.03 L per 1000 hens per day, equivalent to 0.222 L/hen/day; used as the preferred Latin American-style layer water proxy. (https://dokumen.pub/produccion-sostenible-en-avicultura-l-6359269.html) | FAO small-scale poultry production - Reports that a laying hen can consume up to about 0.25 L/day of water, supporting the adopted 0.222 L/hen/day proxy. (https://www.fao.org/4/y4628e/y4628e03.htm) | Iowa layer-house electricity summary - Layer-house electricity around 10.1 kWh/day per 1000 birds was used, equivalent to 0.0101 kWh/bird/day. (https://blogs.millersville.edu/aest/2022/05/13/dr-haughery-publishes-research-findings/)",Egg counts converted to kg shell eggs using 0.056699 kg/egg; live-weight-equivalent per kg shell eggs is based on total flock live weight divided by total egg output.,kg shell eggs,kg shell eggs,as-fed kg/head/day,as-fed kg/head/day,no diet share data in ESPAC; literature proxy attached from config,"no diet/ration fields found in avian module; literature proxy diet attached from inputs/02-05_espac_lci_coefficients.yml; main feed columns mapped from proxy diet as common compound feed, with no pasture or waste component",eggs,Ecuador direct,Semipasture or free-range scavenging was not quantified in the source; proxy covers balanced feed only.,Evaluación de parámetros productivos en crianza de gallinas criollas (gallina feliz). Patoa de Vallejo-Pujilí - Reports 0.081 ± 0.002 kg balanced feed per hen per day in a semipasture system in Cotopaxi. (https://repositorio.utc.edu.ec/handle/27000/7769)
Costa,LOS RÍOS,eggs,(unknown),1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,0.222,0.005,1.514,3.028,,,,,,,,,,0.0,,,,,,,,0.0,0.0,0.0,0.0,99.99999999999999,0.0,0.081,0.0,0.0,0.0,0.0,0.0,0.081,0.0,0.0,0.0,0.081,0.081,,0.0,0.0,100.0,0.0,0.0,0.0,0.081,0.0,,,,,,chicken,"poultry shelter or coop, system unspecified",literature/system proxy,1 kg shell eggs,literature/system proxy,ESPAC livestock modules do not expose direct infrastructure/water/electricity variables for this row; literature/system proxy attached,"Producción sostenible en avicultura - Reports 222.03 L per 1000 hens per day, equivalent to 0.222 L/hen/day; used as the preferred practical water proxy for unspecified poultry rows. (https://dokumen.pub/produccion-sostenible-en-avicultura-l-6359269.html) | FAO small-scale poultry production - Reports that a laying hen can consume up to about 0.25 L/day of water, supporting the adopted 0.222 L/hen/day proxy. (https://www.fao.org/4/y4628e/y4628e03.htm) | Iowa layer-house electricity summary - A reduced poultry-house electricity proxy was retained as a fallback where ESPAC does not distinguish the shelter or lighting setup and no stronger Ecuador, Latin American, or FAO per-bird electricity factor was identified. (https://blogs.millersville.edu/aest/2022/05/13/dr-haughery-publishes-research-findings/)",Egg counts converted to kg shell eggs using 0.056699 kg/egg; live-weight-equivalent per kg shell eggs is based on total flock live weight divided by total egg output.,kg shell eggs,kg shell eggs,as-fed kg/head/day,as-fed kg/head/day,no diet share data in ESPAC; literature proxy attached from config,"no diet/ration fields found in avian module; literature proxy diet attached from inputs/02-05_espac_lci_coefficients.yml; main feed columns mapped from proxy diet as common compound feed, with no pasture or waste component",eggs,Ecuador direct,Semipasture or free-range scavenging was not quantified in the source; proxy covers balanced feed only.,Evaluación de parámetros productivos en crianza de gallinas criollas (gallina feliz). Patoa de Vallejo-Pujilí - Reports 0.081 ± 0.002 kg balanced feed per hen per day in a semipasture system in Cotopaxi. (https://repositorio.utc.edu.ec/handle/27000/7769)
Costa,LOS RÍOS,eggs,layers,1,1.0,,5.086173519479222,5.086173519479222,,0.009322411833919974,0.00042412774559726004,5.086173519479222,,,17.63699536147022,1.0,16.377209978508063,0.9285714285714286,,,,,,0.0034014205339978286,0.0,0.0,0.0,0.0,0.0,0.0034014205339978286,0.0,0.0,0.0034014205339978286,0.0034014205339978286,0.0,0.0,0.0034014205339978286,0.0,,,80.0,80.0,,0.222,0.0101,1.514,121.12,,,420.0,23.813579999999998,390.0,22.11261,5.25,,,0.0,,,,,,,,0.0,0.0,0.0,0.0,99.99999999999999,0.0,0.081,0.0,0.0,0.0,0.0,0.0,0.081,0.0,0.0,0.0,0.081,0.081,,0.0,0.0,100.0,0.0,0.0,0.0,0.081,0.0,,,23.813579999999998,23.813579999999998,0.04199284609873862,chicken,layer house or coop with drinkers and lighting,literature/system proxy,1 kg shell eggs,literature/system proxy,ESPAC livestock modules do not expose direct infrastructure/water/electricity variables for this row; literature/system proxy attached,"Producción sostenible en avicultura - Reports 222.03 L per 1000 hens per day, equivalent to 0.222 L/hen/day; used as the preferred Latin American-style layer water proxy. (https://dokumen.pub/produccion-sostenible-en-avicultura-l-6359269.html) | FAO small-scale poultry production - Reports that a laying hen can consume up to about 0.25 L/day of water, supporting the adopted 0.222 L/hen/day proxy. (https://www.fao.org/4/y4628e/y4628e03.htm) | Iowa layer-house electricity summary - Layer-house electricity around 10.1 kWh/day per 1000 birds was used, equivalent to 0.0101 kWh/bird/day. (https://blogs.millersville.edu/aest/2022/05/13/dr-haughery-publishes-research-findings/)",Egg counts converted to kg shell eggs using 0.056699 kg/egg; live-weight-equivalent per kg shell eggs is based on total flock live weight divided by total egg output.,kg shell eggs,kg shell eggs,as-fed kg/head/day,as-fed kg/head/day,no diet share data in ESPAC; literature proxy attached from config,"no diet/ration fields found in avian module; literature proxy diet attached from inputs/02-05_espac_lci_coefficients.yml; main feed columns mapped from proxy diet as common compound feed, with no pasture or waste component",eggs,Ecuador direct,Semipasture or free-range scavenging was not quantified in the source; proxy covers balanced feed only.,Evaluación de parámetros productivos en crianza de gallinas criollas (gallina feliz). Patoa de Vallejo-Pujilí - Reports 0.081 ± 0.002 kg balanced feed per hen per day in a semipasture system in Cotopaxi. (https://repositorio.utc.edu.ec/handle/27000/7769)
Costa,MANABÍ,eggs,(unknown),2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105001.0,105001.0,,0.222,0.005,1.514,158971.514,,,,,210000.0,11906.789999999999,,210000.0,,0.0,,,,,,,,0.0,0.0,0.0,0.0,99.99999999999999,0.0,0.081,0.0,0.0,0.0,0.0,0.0,0.081,0.0,0.0,0.0,0.081,0.081,,0.0,0.0,100.0,0.0,0.0,0.0,0.081,0.0,,,,,,chicken,"poultry shelter or coop, system unspecified",literature/system proxy,1 kg shell eggs,literature/system proxy,ESPAC livestock modules do not expose direct infrastructure/water/electricity variables for this row; literature/system proxy attached,"Producción sostenible en avicultura - Reports 222.03 L per 1000 hens per day, equivalent to 0.222 L/hen/day; used as the preferred practical water proxy for unspecified poultry rows. (https://dokumen.pub/produccion-sostenible-en-avicultura-l-6359269.html) | FAO small-scale poultry production - Reports that a laying hen can consume up to about 0.25 L/day of water, supporting the adopted 0.222 L/hen/day proxy. (https://www.fao.org/4/y4628e/y4628e03.htm) | Iowa layer-house electricity summary - A reduced poultry-house electricity proxy was retained as a fallback where ESPAC does not distinguish the shelter or lighting setup and no stronger Ecuador, Latin American, or FAO per-bird electricity factor was identified. (https://blogs.millersville.edu/aest/2022/05/13/dr-haughery-publishes-research-findings/)",Egg counts converted to kg shell eggs using 0.056699 kg/egg; live-weight-equivalent per kg shell eggs is based on total flock live weight divided by total egg output.,kg shell eggs,kg shell eggs,as-fed kg/head/day,as-fed kg/head/day,no diet share data in ESPAC; literature proxy attached from config,"no diet/ration fields found in avian module; literature proxy diet attached from inputs/02-05_espac_lci_coefficients.yml; main feed columns mapped from proxy diet as common compound feed, with no pasture or waste component",eggs,Ecuador direct,Semipasture or free-range scavenging was not quantified in the source; proxy covers balanced feed only.,Evaluación de parámetros productivos en crianza de gallinas criollas (gallina feliz). Patoa de Vallejo-Pujilí - Reports 0.081 ± 0.002 kg balanced feed per hen per day in a semipasture system in Cotopaxi. (https://repositorio.utc.edu.ec/handle/27000/7769)
Costa,MANABÍ,eggs,layers,26,1.0,,4.76828767451177,4.76828767451177,,4.143294148408877e-05,1.885012202654489e-06,4.76828767451177,,,17.63699536147022,1.0,17.636995361470216,0.9999999999999999,2.0964014635648547,0.04703198763058725,,,,1.5117424595545902e-05,0.0,0.0,0.0,0.0,0.0,1.5117424595545902e-05,0.0,0.0,1.5117424595545902e-05,1.5117424595545902e-05,0.0,0.0,1.5117424595545902e-05,0.0,,,14800.0,14800.0,,0.222,0.0101,1.514,22407.2,,,94500.0,5358.0555,94500.0,5358.0555,5.6,11000.0,20.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,99.99999999999999,0.0,0.081,0.0,0.0,0.0,0.0,0.0,0.081,0.0,0.0,0.0,0.081,0.081,,0.0,0.0,100.0,0.0,0.0,0.0,0.081,0.0,,,5358.0555,5358.0555,0.0001866348715499494,chicken,layer house or coop with drinkers and lighting,literature/system proxy,1 kg shell eggs,literature/system proxy,ESPAC livestock modules do not expose direct infrastructure/water/electricity variables for this row; literature/system proxy attached,"Producción sostenible en avicultura - Reports 222.03 L per 1000 hens per day, equivalent to 0.222 L/hen/day; used as the preferred Latin American-style layer water proxy. (https://dokumen.pub/produccion-sostenible-en-avicultura-l-6359269.html) | FAO small-scale poultry production - Reports that a laying hen can consume up to about 0.25 L/day of water, supporting the adopted 0.222 L/hen/day proxy. (https://www.fao.org/4/y4628e/y4628e03.htm) | Iowa layer-house electricity summary - Layer-house electricity around 10.1 kWh/day per 1000 birds was used, equivalent to 0.0101 kWh/bird/day. (https://blogs.millersville.edu/aest/2022/05/13/dr-haughery-publishes-research-findings/)",Egg counts converted to kg shell eggs using 0.056699 kg/egg; live-weight-equivalent per kg shell eggs is based on total flock live weight divided by total egg output.,kg shell eggs,kg shell eggs,as-fed kg/head/day,as-fed kg/head/day,no diet share data in ESPAC; literature proxy attached from config,"no diet/ration fields found in avian module; literature proxy diet attached from inputs/02-05_espac_lci_coefficients.yml; main feed columns mapped from proxy diet as common compound feed, with no pasture or waste component",eggs,Ecuador direct,Semipasture or free-range scavenging was not quantified in the source; proxy covers balanced feed only.,Evaluación de parámetros productivos en crianza de gallinas criollas (gallina feliz). Patoa de Vallejo-Pujilí - Reports 0.081 ± 0.002 kg balanced feed per hen per day in a semipasture system in Cotopaxi. (https://repositorio.utc.edu.ec/handle/27000/7769)
Costa,SANTA ELENA,eggs,layers,1,1.0,,1.9781562083979973,1.9781562083979973,,3.767500885482352e-05,1.7140431956473762e-06,1.9781562083979973,,,17.63699536147022,1.0,17.63699536147022,1.0,,,,,,1.3746287014597771e-05,0.0,0.0,0.0,0.0,0.0,1.3746287014597771e-05,0.0,0.0,1.3746287014597771e-05,1.3746287014597771e-05,0.0,0.0,1.3746287014597771e-05,0.0,,,7699.0,7699.0,,0.222,0.0101,1.514,11656.286,,,103926.0,5892.500274,103926.0,5892.500274,13.49863618651773,,,0.0,,,,,,,,0.0,0.0,0.0,0.0,99.99999999999999,0.0,0.081,0.0,0.0,0.0,0.0,0.0,0.081,0.0,0.0,0.0,0.081,0.081,,0.0,0.0,100.0,0.0,0.0,0.0,0.081,0.0,,,5892.500274,5892.500274,0.00016970724709379964,chicken,layer house or coop with drinkers and lighting,literature/system proxy,1 kg shell eggs,literature/system proxy,ESPAC livestock modules do not expose direct infrastructure/water/electricity variables for this row; literature/system proxy attached,"Producción sostenible en avicultura - Reports 222.03 L per 1000 hens per day, equivalent to 0.222 L/hen/day; used as the preferred Latin American-style layer water proxy. (https://dokumen.pub/produccion-sostenible-en-avicultura-l-6359269.html) | FAO small-scale poultry production - Reports that a laying hen can consume up to about 0.25 L/day of water, supporting the adopted 0.222 L/hen/day proxy. (https://www.fao.org/4/y4628e/y4628e03.htm) | Iowa layer-house electricity summary - Layer-house electricity around 10.1 kWh/day per 1000 birds was used, equivalent to 0.0101 kWh/bird/day. (https://blogs.millersville.edu/aest/2022/05/13/dr-haughery-publishes-research-findings/)",Egg counts converted to kg shell eggs using 0.056699 kg/egg; live-weight-equivalent per kg shell eggs is based on total flock live weight divided by total egg output.,kg shell eggs,kg shell eggs,as-fed kg/head/day,as-fed kg/head/day,no diet share data in ESPAC; literature proxy attached from config,"no diet/ration fields found in avian module; literature proxy diet attached from inputs/02-05_espac_lci_coefficients.yml; main feed columns mapped from proxy diet as common compound feed, with no pasture or waste component",eggs,Ecuador direct,Semipasture or free-range scavenging was not quantified in the source; proxy covers balanced feed only.,Evaluación de parámetros productivos en crianza de gallinas criollas (gallina feliz). Patoa de Vallejo-Pujilí - Reports 0.081 ± 0.002 kg balanced feed per hen per day in a semipasture system in Cotopaxi. (https://repositorio.utc.edu.ec/handle/27000/7769)
Costa,SANTO DOMINGO DE LOS TSÁCHILAS,eggs,layers,6,1.0,,4.605378261983887,4.605378261983887,,0.00013946316789508603,6.344945926758418e-06,4.605378261983887,,,17.63699536147022,1.0,17.62127611426748,0.999108734402852,1.0423756123800367,,,,,5.088520990766652e-05,0.0,0.0,0.0,0.0,0.0,5.088520990766652e-05,0.0,0.0,5.088520990766652e-05,5.088520990766652e-05,0.0,0.0,5.088520990766652e-05,0.0,,,7000.0,7000.0,,0.222,0.0101,1.514,10598.0,,,50715.0,2875.4897849999998,50400.0,2857.6296,5.805357142857143,5000.0,,0.0,,,,,,,,0.0,0.0,0.0,0.0,99.99999999999999,0.0,0.081,0.0,0.0,0.0,0.0,0.0,0.081,0.0,0.0,0.0,0.081,0.081,,0.0,0.0,100.0,0.0,0.0,0.0,0.081,0.0,,,2875.4897849999998,2875.4897849999998,0.000628212467995883,chicken,layer house or coop with drinkers and lighting,literature/system proxy,1 kg shell eggs,literature/system proxy,ESPAC livestock modules do not expose direct infrastructure/water/electricity variables for this row; literature/system proxy attached,"Producción sostenible en avicultura - Reports 222.03 L per 1000 hens per day, equivalent to 0.222 L/hen/day; used as the preferred Latin American-style layer water proxy. (https://dokumen.pub/produccion-sostenible-en-avicultura-l-6359269.html) | FAO small-scale poultry production - Reports that a laying hen can consume up to about 0.25 L/day of water, supporting the adopted 0.222 L/hen/day proxy. (https://www.fao.org/4/y4628e/y4628e03.htm) | Iowa layer-house electricity summary - Layer-house electricity around 10.1 kWh/day per 1000 birds was used, equivalent to 0.0101 kWh/bird/day. (https://blogs.millersville.edu/aest/2022/05/13/dr-haughery-publishes-research-findings/)",Egg counts converted to kg shell eggs using 0.056699 kg/egg; live-weight-equivalent per kg shell eggs is based on total flock live weight divided by total egg output.,kg shell eggs,kg shell eggs,as-fed kg/head/day,as-fed kg/head/day,no diet share data in ESPAC; literature proxy attached from config,"no diet/ration fields found in avian module; literature proxy diet attached from inputs/02-05_espac_lci_coefficients.yml; main feed columns mapped from proxy diet as common compound feed, with no pasture or waste component",eggs,Ecuador direct,Semipasture or free-range scavenging was not quantified in the source; proxy covers balanced feed only.,Evaluación de parámetros productivos en crianza de gallinas criollas (gallina feliz). Patoa de Vallejo-Pujilí - Reports 0.081 ± 0.002 kg balanced feed per hen per day in a semipasture system in Cotopaxi. (https://repositorio.utc.edu.ec/handle/27000/7769)
Oriente,MORONA SANTIAGO,eggs,(unknown),1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,0.222,0.005,1.514,3.028,,,,,,,,,,0.0,,,,,,,,0.0,0.0,0.0,0.0,99.99999999999999,0.0,0.081,0.0,0.0,0.0,0.0,0.0,0.081,0.0,0.0,0.0,0.081,0.081,,0.0,0.0,100.0,0.0,0.0,0.0,0.081,0.0,,,,,,chicken,"poultry shelter or coop, system unspecified",literature/system proxy,1 kg shell eggs,literature/system proxy,ESPAC livestock modules do not expose direct infrastructure/water/electricity variables for this row; literature/system proxy attached,"Producción sostenible en avicultura - Reports 222.03 L per 1000 hens per day, equivalent to 0.222 L/hen/day; used as the preferred practical water proxy for unspecified poultry rows. (https://dokumen.pub/produccion-sostenible-en-avicultura-l-6359269.html) | FAO small-scale poultry production - Reports that a laying hen can consume up to about 0.25 L/day of water, supporting the adopted 0.222 L/hen/day proxy. (https://www.fao.org/4/y4628e/y4628e03.htm) | Iowa layer-house electricity summary - A reduced poultry-house electricity proxy was retained as a fallback where ESPAC does not distinguish the shelter or lighting setup and no stronger Ecuador, Latin American, or FAO per-bird electricity factor was identified. (https://blogs.millersville.edu/aest/2022/05/13/dr-haughery-publishes-research-findings/)",Egg counts converted to kg shell eggs using 0.056699 kg/egg; live-weight-equivalent per kg shell eggs is based on total flock live weight divided by total egg output.,kg shell eggs,kg shell eggs,as-fed kg/head/day,as-fed kg/head/day,no diet share data in ESPAC; literature proxy attached from config,"no diet/ration fields found in avian module; literature proxy diet attached from inputs/02-05_espac_lci_coefficients.yml; main feed columns mapped from proxy diet as common compound feed, with no pasture or waste component",eggs,Ecuador direct,Semipasture or free-range scavenging was not quantified in the source; proxy covers balanced feed only.,Evaluación de parámetros productivos en crianza de gallinas criollas (gallina feliz). Patoa de Vallejo-Pujilí - Reports 0.081 ± 0.002 kg balanced feed per hen per day in a semipasture system in Cotopaxi. (https://repositorio.utc.edu.ec/handle/27000/7769)
