Crop,Category,Irrigated_area_ha__minValue,Irrigated_area_ha__maxValue,Electricity_kWh_ha__minValue,Electricity_kWh_ha__maxValue,Manure_kgha__minValue,Manure_kgha__maxValue,Urea_kgha__minValue,Urea_kgha__maxValue,MAP_kgha__minValue,MAP_kgha__maxValue,UAN_kgha__minValue,UAN_kgha__maxValue,CAN_kgha__minValue,CAN_kgha__maxValue,Compost_kg_ha__minValue,Compost_kg_ha__maxValue,Digestate_kg_ha__minValue,Digestate_kg_ha__maxValue,Acaricide_kgha__minValue,Acaricide_kgha__maxValue,Biocide_NE_kgha__minValue,Biocide_NE_kgha__maxValue,Seed_share_pct__minValue,Seed_share_pct__maxValue,Manure_type__minValue,Manure_type__maxValue,count__minValue,count__maxValue,Region__minValue,Region__maxValue,Province__minValue,Province__maxValue,Seeding_date__minValue,Seeding_date__maxValue,Harvest_date__minValue,Harvest_date__maxValue,Cycle_length_months__minValue,Cycle_length_months__maxValue,Area_ha__minValue,Area_ha__maxValue,Yield_kgha__minValue,Yield_kgha__maxValue,Irrig_m3__minValue,Irrig_m3__maxValue,Irrig_equipment__minValue,Irrig_equipment__maxValue,Packaging_type1__minValue,Packaging_type1__maxValue,Packaging_type2__minValue,Packaging_type2__maxValue,Fuel_type__minValue,Fuel_type__maxValue,Fuel_unit__minValue,Fuel_unit__maxValue,Fuel_ha__minValue,Fuel_ha__maxValue,NPK_kgha__minValue,NPK_kgha__maxValue,AN_kgha__minValue,AN_kgha__maxValue,AP_kgha__minValue,AP_kgha__maxValue,AS_kgha__minValue,AS_kgha__maxValue,Total_fert_min_kgha__minValue,Total_fert_min_kgha__maxValue,Total_fert_org_kgha__minValue,Total_fert_org_kgha__maxValue,Insecticide_kgha__minValue,Insecticide_kgha__maxValue,Herbicide_kgha__minValue,Herbicide_kgha__maxValue,Fungicide_kgha__minValue,Fungicide_kgha__maxValue,Total_pesticides_kgha__minValue,Total_pesticides_kgha__maxValue,Seed_kgha__minValue,Seed_kgha__maxValue,Organic_estiercol_kgha__minValue,Organic_estiercol_kgha__maxValue,Organic_fermentado_kgha__minValue,Organic_fermentado_kgha__maxValue,Organic_liquido_kgha__minValue,Organic_liquido_kgha__maxValue,Irrig_lake_m3__minValue,Irrig_lake_m3__maxValue,Irrig_river_m3__minValue,Irrig_river_m3__maxValue,Irrig_well_m3__minValue,Irrig_well_m3__maxValue,Irrigation_source__minValue,Irrigation_source__maxValue,Source_module__minValue,Source_module__maxValue,Output_basis__minValue,Output_basis__maxValue,Yield_data_status__minValue,Yield_data_status__maxValue,Yield_basis_note__minValue,Yield_basis_note__maxValue
ACELGA,transitory,0.01,0.01,0.0,0.0,9071.8474,9071.8474,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,15.0,15.0,,,,,,,,,4.0,4.0,0.01,0.01,2272.7272727272702,2272.7272727272702,7500.0,7500.0,,,,,,,,,,,371.355,371.355,,,,,,,,,0.0,0.0,9071.8474,9071.8474,,,,,,,0.0,0.0,,,4535.9237,4535.9237,4535.9237,4535.9237,,,0.0,0.0,7500.0,7500.0,0.0,0.0,,,,,,,,,,
AJI,transitory,1.5,1.5,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,1.0,1.0,,,16.0,16.0,,,,,,,,,5.0,5.0,0.875,0.875,6806.81818181818,6806.81818181818,10434.782608695654,10434.782608695654,,,,,,,,,,,1237.8500000000001,1237.8500000000001,60.47898266666667,60.47898266666667,,,,,50.0,50.0,45.359237,45.359237,0.0,0.0,1.0,1.0,0.75,0.75,,,1.75,1.75,43.6363636363636,43.6363636363636,36.2873896,36.2873896,13.607771099999999,13.607771099999999,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
AJONJOLI,transitory,2.495,2.495,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,3.0,3.0,,,,,,,,,4.0,4.0,1.0,1.0,545.454545454546,545.454545454546,,,,,,,,,,,,,371.355,371.355,50.06265664160401,50.06265664160401,100.0,100.0,,,,,150.0,150.0,0.0,0.0,3.0037593984962405,3.0037593984962405,1.0025062656641603,1.0025062656641603,,,4.010025062656641,4.010025062656641,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
ALFALFA,transitory,0.09,0.09,0.0,0.0,697.8344153846153,697.8344153846153,,,,,,,,,,,,,0.0,0.0,0.0,0.0,5.0,5.0,,,17.0,17.0,,,,,,,,,6.0,6.0,0.09,0.09,10101.010101010099,10101.010101010099,10434.782608695654,10434.782608695654,,,,,,,,,,,2475.7000000000003,2475.7000000000003,251.9957611111111,251.9957611111111,,,,,,,0.0,0.0,697.8344153846153,697.8344153846153,5.192307692307692,5.192307692307692,4.545454545454546,4.545454545454546,3.9393939393939394,3.9393939393939394,5.555555555555555,5.555555555555555,222.10743801652882,222.10743801652882,2551.45708125,2551.45708125,,,,,0.0,0.0,10434.782608695654,10434.782608695654,0.0,0.0,,,,,,,,,,
APIO,transitory,0.1,0.1,0.0,0.0,9071.8474,9071.8474,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,39.0,39.0,,,,,,,,,4.0,4.0,0.1,0.1,6060.606060606055,6060.606060606055,10434.782608695654,10434.782608695654,,,,,,,,,,,1732.99,1732.99,174.45860384615384,174.45860384615384,,,,,,,0.0,0.0,9071.8474,9071.8474,1.8543956043956042,1.8543956043956042,,,3.489172076923077,3.489172076923077,1.3888888888888888,1.3888888888888888,,,4535.9237,4535.9237,4535.9237,4535.9237,,,0.0,0.0,10434.782608695654,10434.782608695654,0.0,0.0,,,,,,,,,,
ARROZ,transitory,1.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,1.0,1.0,,,,,,,,,2.0,2.0,1.0,1.0,2727.27272727273,2727.27272727273,,,,,,,,,,,,,1732.99,1732.99,181.436948,181.436948,,,,,,,181.436948,181.436948,0.0,0.0,10.0,10.0,,,,,10.0,10.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
AVENA,transitory,1.1,1.1,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,1.0,1.0,,,19.0,19.0,,,,,,,,,8.0,8.0,0.81,0.81,1239.6694214875997,1239.6694214875997,,,,,,,,,,,,,0.0,0.0,97.19836500000001,97.19836500000001,56.699046249999995,56.699046249999995,,,,,107.99818333333334,107.99818333333334,0.0,0.0,0.37499999999999994,0.37499999999999994,1.0,1.0,2.3833333333333333,2.3833333333333333,0.0,0.0,6.477272727272734,6.477272727272734,761.9047619047619,761.9047619047619,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
AVENA FORRAJERA,transitory,0.14500000000000002,0.14500000000000002,0.0,0.0,306.4813310810811,306.4813310810811,,,,,,,,,,,,,0.0,0.0,0.0,0.0,1.0,1.0,,,8.0,8.0,,,,,,,,,11.0,11.0,0.22499999999999998,0.22499999999999998,1790.3525046382179,1790.3525046382179,10434.782608695654,10434.782608695654,,,,,,,,,,,0.0,0.0,217.09094284909912,217.09094284909912,,,,,,,127.83174375000002,127.83174375000002,0.0,0.0,2.8061224489795915,2.8061224489795915,,,,,0.13513513513513514,0.13513513513513514,53.030303030303,53.030303030303,647.9890999999999,647.9890999999999,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
CACAO CCN51 O RAMILLA (ALMENDRA FRESCA),transitory,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,1.0,1.0,,,,,,,,,3.0,3.0,1.5,1.5,533.3333333333334,533.3333333333334,,,,,,,,,,,,,0.0,0.0,0.6666666666666666,0.6666666666666666,,,,,,,0.6666666666666666,0.6666666666666666,0.0,0.0,0.3333333333333333,0.3333333333333333,2.6666666666666665,2.6666666666666665,,,3.0,3.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
CAMOTE,transitory,0.3528,0.3528,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,13.0,13.0,,,,,,,,,4.0,4.0,0.25,0.25,2840.909090909085,2840.909090909085,10434.782608695654,10434.782608695654,,,,,,,,,,,0.0,0.0,200.0,200.0,,,,,,,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
CEBADA FORRAJERA,transitory,0.02,0.02,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.5,0.5,,,7.0,7.0,,,,,,,,,4.0,4.0,0.02,0.02,2272.727272727272,2272.727272727272,10434.782608695654,10434.782608695654,,,,,,,,,,,2475.7000000000003,2475.7000000000003,,,566.9904625,566.9904625,,,,,566.9904625,566.9904625,0.0,0.0,5.0,5.0,,,,,2.0,2.0,11.363636363636399,11.363636363636399,4535.9237,4535.9237,,,,,0.0,0.0,10434.782608695654,10434.782608695654,0.0,0.0,,,,,,,,,,
CEBOLLA COLORADA,transitory,0.34,0.34,0.0,0.0,65.0,65.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,1.0,1.0,,,80.0,80.0,,,,,,,,,11.0,11.0,0.34,0.34,9382.284382284402,9382.284382284402,7826.08695652174,7826.08695652174,,,,,,,,,,,2475.7000000000003,2475.7000000000003,45.359237,45.359237,113.39809249999999,113.39809249999999,11.11111111111111,11.11111111111111,27.77777777777778,27.77777777777778,45.359237,45.359237,15.0,15.0,1.25,1.25,1.25,1.25,1.0,1.0,1.7857142857142856,1.7857142857142856,21.8181818181818,21.8181818181818,4211.92915,4211.92915,,,150.0,150.0,0.0,0.0,7826.08695652174,7826.08695652174,0.0,0.0,,,,,,,,,,
CEBOLLA PERLA,transitory,0.065,0.065,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,12.0,12.0,,,,,,,,,5.0,5.0,0.065,0.065,14962.121212121212,14962.121212121212,7826.08695652174,7826.08695652174,,,,,,,,,,,2475.7000000000003,2475.7000000000003,226.79618500000004,226.79618500000004,64.1025641025641,64.1025641025641,,,,,210.59645749999999,210.59645749999999,0.0,0.0,1.5476190476190477,1.5476190476190477,1.6,1.6,,,1.3392857142857144,1.3392857142857144,,,3401.942775,3401.942775,,,,,0.0,0.0,7826.08695652174,7826.08695652174,0.0,0.0,,,,,,,,,,
