Product,System,Normalized_product_output_kg__minValue,Area_ha_per_1kg_product__minValue,Animals_total_live_weight_kg_per_1kg_product__minValue,Producing_animals_live_weight_kg_per_1kg_product__minValue,Animals_sold_live_weight_kg_per_1kg_product__minValue,Water_l_per_1kg_product__minValue,Electricity_kWh_per_1kg_product__minValue,Live_weight_equivalent_kg_per_1kg_product__minValue,Milk_output_l_per_1kg_product__minValue,Milk_output_kg_fpcm_per_1kg_product__minValue,Milk_sales_l_per_1kg_product__minValue,Milk_sales_kg_fpcm_per_1kg_product__minValue,Egg_output_kg_per_1kg_product__minValue,Egg_sales_kg_per_1kg_product__minValue,Cultivated_pasture_area_ha_per_1kg_product__minValue,Natural_pasture_area_ha_per_1kg_product__minValue,Linked_pasture_area_ha_per_1kg_product__minValue,Intake_assumption_kg_per_1kg_product__minValue,Pasture_feed_kg_per_1kg_product__minValue,Cultivated_pasture_feed_kg_per_1kg_product__minValue,Natural_pasture_feed_kg_per_1kg_product__minValue,Unmatched_pasture_feed_kg_per_1kg_product__minValue,Supplement_feed_kg_per_1kg_product__minValue,Common_feed_kg_per_1kg_product__minValue,Waste_feed_kg_per_1kg_product__minValue,Unallocated_feed_kg_per_1kg_product__minValue,Total_feed_kg_per_1kg_product__minValue,Vaccinated_head_per_1kg_product__minValue,Area_ha__minValue,Animals_total_head__minValue,Producing_animals_head__minValue,Animals_sold_head__minValue,Water_l_head_day__minValue,Electricity_kWh_head_day__minValue,Representative_live_weight_kg__minValue,Live_weight_equivalent_kg__minValue,Milk_output_l_day__minValue,Milk_output_kg_fpcm_day__minValue,Milk_sales_l_7d__minValue,Milk_sales_kg_fpcm_7d__minValue,Milk_yield_l_head_day__minValue,Egg_output_kg__minValue,Egg_sales_kg__minValue,Pasture_share_pct__minValue,Cultivated_pasture_area_ha__minValue,Natural_pasture_area_ha__minValue,Linked_pasture_area_ha__minValue,Cultivated_pasture_area_share_pct__minValue,Natural_pasture_area_share_pct__minValue,Cultivated_pasture_area_ha_per_head__minValue,Natural_pasture_area_ha_per_head__minValue,Cultivated_pasture_feed_share_pct__minValue,Natural_pasture_feed_share_pct__minValue,Unmatched_pasture_feed_share_pct__minValue,Supplement_share_pct__minValue,Common_feed_share_pct__minValue,Waste_feed_share_pct__minValue,Intake_assumption_kg_head_day__minValue,Pasture_feed_kg_head_day__minValue,Cultivated_pasture_feed_kg_head_day__minValue,Natural_pasture_feed_kg_head_day__minValue,Unmatched_pasture_feed_kg_head_day__minValue,Supplement_feed_kg_head_day__minValue,Common_feed_kg_head_day__minValue,Waste_feed_kg_head_day__minValue,Unallocated_feed_share_pct__minValue,Unallocated_feed_kg_head_day__minValue,Total_feed_kg_head_day__minValue,Vaccinated_head__minValue,Vaccination_share_pct__minValue,Reference_output_kg__minValue,Reference_output_kg_for_dfe__minValue,Normalization_factor_to_1kg__minValue,Normalized_product_output_kg__maxValue,Area_ha_per_1kg_product__maxValue,Animals_total_live_weight_kg_per_1kg_product__maxValue,Producing_animals_live_weight_kg_per_1kg_product__maxValue,Animals_sold_live_weight_kg_per_1kg_product__maxValue,Water_l_per_1kg_product__maxValue,Electricity_kWh_per_1kg_product__maxValue,Live_weight_equivalent_kg_per_1kg_product__maxValue,Milk_output_l_per_1kg_product__maxValue,Milk_output_kg_fpcm_per_1kg_product__maxValue,Milk_sales_l_per_1kg_product__maxValue,Milk_sales_kg_fpcm_per_1kg_product__maxValue,Egg_output_kg_per_1kg_product__maxValue,Egg_sales_kg_per_1kg_product__maxValue,Cultivated_pasture_area_ha_per_1kg_product__maxValue,Natural_pasture_area_ha_per_1kg_product__maxValue,Linked_pasture_area_ha_per_1kg_product__maxValue,Intake_assumption_kg_per_1kg_product__maxValue,Pasture_feed_kg_per_1kg_product__maxValue,Cultivated_pasture_feed_kg_per_1kg_product__maxValue,Natural_pasture_feed_kg_per_1kg_product__maxValue,Unmatched_pasture_feed_kg_per_1kg_product__maxValue,Supplement_feed_kg_per_1kg_product__maxValue,Common_feed_kg_per_1kg_product__maxValue,Waste_feed_kg_per_1kg_product__maxValue,Unallocated_feed_kg_per_1kg_product__maxValue,Total_feed_kg_per_1kg_product__maxValue,Vaccinated_head_per_1kg_product__maxValue,Area_ha__maxValue,Animals_total_head__maxValue,Producing_animals_head__maxValue,Animals_sold_head__maxValue,Water_l_head_day__maxValue,Electricity_kWh_head_day__maxValue,Representative_live_weight_kg__maxValue,Live_weight_equivalent_kg__maxValue,Milk_output_l_day__maxValue,Milk_output_kg_fpcm_day__maxValue,Milk_sales_l_7d__maxValue,Milk_sales_kg_fpcm_7d__maxValue,Milk_yield_l_head_day__maxValue,Egg_output_kg__maxValue,Egg_sales_kg__maxValue,Pasture_share_pct__maxValue,Cultivated_pasture_area_ha__maxValue,Natural_pasture_area_ha__maxValue,Linked_pasture_area_ha__maxValue,Cultivated_pasture_area_share_pct__maxValue,Natural_pasture_area_share_pct__maxValue,Cultivated_pasture_area_ha_per_head__maxValue,Natural_pasture_area_ha_per_head__maxValue,Cultivated_pasture_feed_share_pct__maxValue,Natural_pasture_feed_share_pct__maxValue,Unmatched_pasture_feed_share_pct__maxValue,Supplement_share_pct__maxValue,Common_feed_share_pct__maxValue,Waste_feed_share_pct__maxValue,Intake_assumption_kg_head_day__maxValue,Pasture_feed_kg_head_day__maxValue,Cultivated_pasture_feed_kg_head_day__maxValue,Natural_pasture_feed_kg_head_day__maxValue,Unmatched_pasture_feed_kg_head_day__maxValue,Supplement_feed_kg_head_day__maxValue,Common_feed_kg_head_day__maxValue,Waste_feed_kg_head_day__maxValue,Unallocated_feed_share_pct__maxValue,Unallocated_feed_kg_head_day__maxValue,Total_feed_kg_head_day__maxValue,Vaccinated_head__maxValue,Vaccination_share_pct__maxValue,Reference_output_kg__maxValue,Reference_output_kg_for_dfe__maxValue,Normalization_factor_to_1kg__maxValue
milk,(unknown),1.0,0.004324654697691272,48.843158938630836,32.562105959087226,,0.40702632448859033,0.0040702632448859025,48.843158938630836,1.0175658112214756,0.9999999999999999,1.2719572640268446,1.25,,,0.0,0.0,0.0,0.06783772074809838,0.06105394867328855,0.0,0.0,0.0,0.004892143323180172,0.0,0.0,0.0,0.06783772074809838,0.10175658112214757,0.01,1.0,1.0,,60.0,0.6,400.0,400.0,2.0,1.96547484,21.0,20.63748582,1.0,,,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,10.0,4.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,10.0,1.0,44.44444444444444,1.96547484,717.3983165999999,0.006783772074809838,1.0,7.758939310563751,2950.940852542279,407.02632448859026,,30.52697433664427,0.3052697433664427,2950.940852542279,1.0175658112214758,1.0,8.140526489771805,8.0,,,6.3525179929112126,0.8697120116378595,6.3525179929112126,5.087829056107378,5.087829056107378,4.833437603302009,3.3918860374049187,5.087829056107378,2.543914528053689,0.0,0.0,0.0,5.087829056107378,4.57904615049664,675.0,200.0,110.0,,60.0,0.6,400.0,80000.0,150.0,147.41061299999998,1050.0,1031.874291,12.5,,,100.0,489.5,275.0,489.5,100.00000000000001,100.00000000000001,6.242857142857143,5.0,100.0,100.0,100.0,60.0,,,10.0,10.0,10.0,10.0,10.0,6.0,0.0,0.0,0.0,0.0,10.0,200.0,159.0909090909091,147.41061299999998,53804.873745,0.5087829056107378
milk,beef,1.0,0.007631743584161067,54.270176598478706,23.258647113633728,,0.08140526489771804,0.00040702632448859024,54.270176598478706,1.0175658112214756,0.9999999999999999,0.0,0.0,,,0.0,0.0,0.0,0.01085403531969574,0.008683228255756592,0.0,0.0,0.0,0.00047885449939834144,0.0,0.0,0.0,0.01085403531969574,0.10175658112214757,0.01,1.0,1.0,,60.0,0.3,400.0,400.0,0.0,0.0,0.0,0.0,0.0,,,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,8.0,0.8,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,7.999999999999999,1.0,5.6,0.0,0.0,0.0013567544149619675,1.0,63.59786320134223,13567.544149619676,508.7829056107378,,61.05394867328854,0.3052697433664427,13567.544149619676,1.0175658112214758,1.0,11.447615376241602,11.25,,,63.59786320134223,1.386318816021069,63.59786320134223,8.140526489771805,7.326473840794624,7.326473840794624,2.4421579469315415,3.663236920397312,1.3567544149619675,0.0,0.0,0.0,8.140526489771805,33.91886037404919,2928.74,2272.0,1109.0,,60.0,0.3,400.0,908800.0,750.0,737.053065,5250.0,5159.3714549999995,17.5,,,100.00000000000001,1948.5,1000.0,1948.5,100.00000000000001,100.00000000000001,40.625,7.1385354947,100.0,100.0,100.0,100.0,,,8.0,8.0,8.0,8.0,8.0,8.0,0.0,0.0,0.0,0.0,8.000000000000002,2400.0,960.0,737.053065,269024.368725,1.0175658112214756
milk,dairy,1.0,0.00048455514820070275,16.353736251773718,13.082989001418973,,0.006715934354061739,0.00015263487168322133,16.353736251773718,1.0175658112214756,0.9999999999999999,0.0,0.0,,,0.0,0.0,0.0,0.0012210789734657707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,1.0,1.0,,66.0,1.5,450.0,450.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00010175658112214756,1.0,28.508802144388344,9615.996916042945,1046.6391201135177,,67.15934354061739,1.5263487168322134,9615.996916042945,1.0175658112214758,1.0,87.5106597650469,86.0,,,29.07330889204216,3.578991410238556,29.07330889204216,12.210789734657707,12.210789734657707,12.210789734657707,12.210789734657707,12.210789734657707,6.105394867328854,0.0,0.0,0.0,12.210789734657707,20.35131622442951,1297.0,1925.0,900.0,,66.0,1.5,450.0,866250.0,10000.0,9827.3742,90300.0,88741.189026,35.0,,,100.00000000000003,1075.0,259.8,1075.0,100.00000000000001,100.00000000000001,39.885,4.479960927368,100.0,100.0,100.0,100.0,,,12.0,12.000000000000002,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,12.000000000000002,1925.0,2433.3333333333335,9827.3742,3586991.583,1.0175658112214756
milk,dual-purpose,1.0,0.0002543914528053689,40.70263244885903,13.567544149619675,,0.004902750234745727,4.902750234745727e-05,40.70263244885903,1.0175658112214756,0.9999999999999999,0.0,0.0,,,0.0,0.0,0.0,0.0008171250391242878,0.0004902750234745727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008171250391242878,0.050878290561073784,0.01,1.0,1.0,,60.0,0.6,400.0,400.0,0.0,0.0,0.0,0.0,0.0,,,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,10.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,2.7027027027027026,0.0,0.0,8.171250391242879e-05,1.0,81.40526489771804,31748.053310110037,1017.5658112214757,,61.05394867328854,0.6105394867328854,31748.053310110037,1.0175658112214758,1.0,71.026093623259,69.8,,,50.868114902961565,8.959397666163968,50.868114902961565,10.175658112214755,10.175658112214755,7.06680443704847,9.666875206604018,10.07390153109261,5.087829056107378,0.0,0.0,0.0,10.175658112214755,71.2296067855033,1398.99,3240.0,1100.0,,60.0,0.6,400.0,1296000.0,12453.0,12238.02909126,19810.0,19468.0282902,30.0,,,100.00000000000001,1398.99,700.0,1398.99,100.00000000000001,100.00000000000001,20.0,8.14150363388,100.0,100.0,100.0,100.0,,,10.0,10.0,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,10.000000000000002,3000.0,300.0,12238.02909126,4466880.6183099,1.0175658112214756
