Region,Product,System,count__minValue,count__maxValue,Area_ha__minValue,Area_ha__maxValue,Animals_total_head__minValue,Animals_total_head__maxValue,Producing_animals_head__minValue,Producing_animals_head__maxValue,Animals_sold_head__minValue,Animals_sold_head__maxValue,Pasture_share_pct__minValue,Pasture_share_pct__maxValue,Supplement_share_pct__minValue,Supplement_share_pct__maxValue,Common_feed_share_pct__minValue,Common_feed_share_pct__maxValue,Waste_feed_share_pct__minValue,Waste_feed_share_pct__maxValue,Intake_assumption_kg_head_day__minValue,Intake_assumption_kg_head_day__maxValue,Pasture_feed_kg_head_day__minValue,Pasture_feed_kg_head_day__maxValue,Supplement_feed_kg_head_day__minValue,Supplement_feed_kg_head_day__maxValue,Common_feed_kg_head_day__minValue,Common_feed_kg_head_day__maxValue,Waste_feed_kg_head_day__minValue,Waste_feed_kg_head_day__maxValue,Unallocated_feed_share_pct__minValue,Unallocated_feed_share_pct__maxValue,Unallocated_feed_kg_head_day__minValue,Unallocated_feed_kg_head_day__maxValue,Total_feed_kg_head_day__minValue,Total_feed_kg_head_day__maxValue,Vaccinated_head__minValue,Vaccinated_head__maxValue,Vaccination_share_pct__minValue,Vaccination_share_pct__maxValue,Milk_output_l_day__minValue,Milk_output_l_day__maxValue,Milk_sales_l_7d__minValue,Milk_sales_l_7d__maxValue,Milk_yield_l_head_day__minValue,Milk_yield_l_head_day__maxValue,Proxy_total_feed_kg_head_day__minValue,Proxy_total_feed_kg_head_day__maxValue,Proxy_body_weight_kg__minValue,Proxy_body_weight_kg__maxValue,Proxy_forage_share_pct__minValue,Proxy_forage_share_pct__maxValue,Proxy_tree_forage_share_pct__minValue,Proxy_tree_forage_share_pct__maxValue,Proxy_compound_feed_share_pct__minValue,Proxy_compound_feed_share_pct__maxValue,Proxy_mineral_share_pct__minValue,Proxy_mineral_share_pct__maxValue,Proxy_forage_kg_head_day__minValue,Proxy_forage_kg_head_day__maxValue,Proxy_tree_forage_kg_head_day__minValue,Proxy_tree_forage_kg_head_day__maxValue,Proxy_compound_feed_kg_head_day__minValue,Proxy_compound_feed_kg_head_day__maxValue,Proxy_mineral_kg_head_day__minValue,Proxy_mineral_kg_head_day__maxValue,Egg_output_reported__minValue,Egg_output_reported__maxValue,Egg_sales_reported__minValue,Egg_sales_reported__maxValue,Eggs_per_head_reported__minValue,Eggs_per_head_reported__maxValue,Birds_sold_head__minValue,Birds_sold_head__maxValue,Birds_consumed_head__minValue,Birds_consumed_head__maxValue,Animals_emission_basis_head__minValue,Animals_emission_basis_head__maxValue,Headcount_emissions_basis_head__minValue,Headcount_emissions_basis_head__maxValue,kgCH4_enteric_yr__minValue,kgCH4_enteric_yr__maxValue,kgCH4_manure_mgmt_yr__minValue,kgCH4_manure_mgmt_yr__maxValue,kgCH4_livestock_total_yr__minValue,kgCH4_livestock_total_yr__maxValue,kgNH3_manure_mgmt_total_yr__minValue,kgNH3_manure_mgmt_total_yr__maxValue,kgNH3_manure_housing_storage_yard_yr__minValue,kgNH3_manure_housing_storage_yard_yr__maxValue,kgNH3_manure_application_yr__minValue,kgNH3_manure_application_yr__maxValue,kgNH3_grazing_yr__minValue,kgNH3_grazing_yr__maxValue,kgNOx_manure_mgmt_as_NO2_yr__minValue,kgNOx_manure_mgmt_as_NO2_yr__maxValue,kgNexcretion_manure_yr__minValue,kgNexcretion_manure_yr__maxValue,kgVS_manure_yr__minValue,kgVS_manure_yr__maxValue,FracGasMS_weighted__minValue,FracGasMS_weighted__maxValue,FracLeachMS_weighted__minValue,FracLeachMS_weighted__maxValue,EF3_manure_direct_weighted__minValue,EF3_manure_direct_weighted__maxValue,kgN2ON_manure_mgmt_direct_yr__minValue,kgN2ON_manure_mgmt_direct_yr__maxValue,kgN2ON_manure_mgmt_indirect_yr__minValue,kgN2ON_manure_mgmt_indirect_yr__maxValue,kgN2ON_manure_mgmt_total_yr__minValue,kgN2ON_manure_mgmt_total_yr__maxValue,kgN2O_manure_mgmt_direct_yr__minValue,kgN2O_manure_mgmt_direct_yr__maxValue,kgN2O_manure_mgmt_indirect_yr__minValue,kgN2O_manure_mgmt_indirect_yr__maxValue,kgN2O_manure_mgmt_total_yr__minValue,kgN2O_manure_mgmt_total_yr__maxValue,kgN2_manure_mgmt_yr__minValue,kgN2_manure_mgmt_yr__maxValue,kgN_manure_after_management_yr__minValue,kgN_manure_after_management_yr__maxValue,Representative_live_weight_kg,Animals_total_live_weight_kg,Producing_animals_live_weight_kg,Animals_sold_live_weight_kg
Costa,ovine_live,(all ovine),40,40,1.06,200.0,1.0,40.0,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.272,1.272,60.44,60.44,78.1,78.1,21.5,21.5,0.0,0.0,0.4,0.4,0.994,0.994,0.273,0.273,0.0,0.0,0.005,0.005,,,,,,,,,,,1.0,40.0,1.0,40.0,5.0,200.0,0.15312188,6.124875200000002,5.15312188,206.1248752,1.4,56.0,0.4,16.0,0.2,8.0,0.8,32.0,0.012,0.48,4.7,188.0,119.72,4788.8,0.0175,0.0175,0.00105,0.00105,0.0023,0.0023,0.01081,0.4324,0.000794535,0.0317814,0.011604535,0.4641814,0.0169871428571428,0.6794857142857144,0.001248555,0.0499422,0.0182356978571428,0.7294279142857143,0.03243,1.2972,4.569575,182.783,60.44,,,
Costa,swine_live,(all swine),1308,1308,0.01,3900.0,1.0,17100.0,,,1.0,2.0,,,2.0,100.0,0.0,100.0,0.0,100.0,2.5,2.5,,,0.05,2.5,0.0,2.5,0.0,2.5,0.0,0.0,0.0,0.0,2.5,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,17100.0,1.0,17100.0,1.0,17100.0,6.82021115,116625.61066499996,7.82021115,133725.610665,6.5,111150.0,3.7,63270.0,2.8,47880.0,0.0,0.0,0.002,34.2,14.2,242820.0,92.71,1585340.9999999998,0.332,0.332,0.00525,0.00525,0.00483,0.00483,0.068586,1172.8206,0.0432496499999999,739.5690149999999,0.1118356499999999,1912.389615,0.107778,1843.0038,0.0679637357142857,1162.1798807142857,0.1757417357142856,3005.183680714286,0.205758,3518.4618,9.136705999999998,156237.6726,75.23,,,
Oriente,cattle_live,(unknown),8,8,0.35,44.99,3.0,30.0,2.0,15.0,,,90.0,100.0,1.0,10.0,,,,,10.0,10.0,9.0,10.0,0.1,1.0,,,,,0.0,0.0,0.0,0.0,10.0,10.0,6.0,30.0,68.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,30.0,3.0,30.0,162.0,1620.0,2.8478300100000005,28.47830010000001,164.84783001,1648.4783001,30.0,300.0,17.1,171.0,6.6000000000000005,66.0,6.0,60.0,0.651,6.51,132.60000000000002,1326.0,3703.29,37032.9,0.0216,0.0216,0.00175,0.00175,0.0013,0.0013,0.17238,1.7238,0.02832999,0.2832999,0.20070999,2.0070999,0.2708828571428572,2.708828571428572,0.0445185557142857,0.4451855571428572,0.3154014128571429,3.1540141285714287,0.5171400000000002,5.1714,128.81427000000002,1288.1427,400.0,,,
Oriente,cattle_live,beef,389,389,0.2,332.5,1.0,178.0,1.0,60.0,,,30.0,100.0,1.0,70.0,,,,,8.0,8.0,2.4,8.0,0.08,5.6,,,,,0.0,0.0,0.0,0.0,8.0,8.0,1.0,176.0,16.666666666666668,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,178.0,1.0,178.0,54.0,9612.0,0.9492766700000002,168.97124726,54.94927667,9780.97124726,10.0,1780.0,5.7,1014.6,2.2,391.6,2.0,356.0,0.217,38.626,44.2,7867.6,1234.43,219728.54,0.0216,0.0216,0.00175,0.00175,0.0013,0.0013,0.05746,10.22788,0.00944333,1.68091274,0.06690333,11.90879274,0.0902942857142857,16.07238285714286,0.0148395185714285,2.6414343057142857,0.1051338042857143,18.713817162857143,0.17238,30.683640000000004,42.93809,7642.980020000001,400.0,,,
Oriente,cattle_live,dairy,125,125,0.8,100.0,1.0,129.0,1.0,70.0,,,50.0,100.0,1.0,50.0,,,,,12.0,12.0,6.0,12.0,0.12,6.0,,,,,0.0,0.0,0.0,0.0,12.0,12.0,1.0,76.0,40.0,150.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,129.0,1.0,129.0,87.0,11223.0,1.6463952800000003,212.38499112,88.64639528000001,11435.38499112,26.4,3405.6,16.1,2076.9,6.0,774.0,4.4,567.6,0.752,97.008,57.3,7391.7,1362.91,175815.38999999998,0.121,0.121,0.0133,0.0133,0.0081,0.0081,0.4641299999999999,59.87277,0.07078269,9.13096701,0.53491269,69.00373701,0.7293471428571427,94.08578142857142,0.1112299414285714,14.348662444285711,0.8405770842857142,108.43444387285714,1.3923899999999998,179.61830999999998,47.74809,6159.50361,450.0,,,
Oriente,cattle_live,dual-purpose,303,303,0.24,360.0,1.0,251.0,1.0,85.0,,,2.0,100.0,1.0,98.0,,,,,10.0,10.0,0.2,10.0,0.1,9.8,,,,,0.0,0.0,0.0,0.0,10.0,10.0,1.0,243.0,37.5,175.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,251.0,1.0,251.0,54.0,13554.0,0.9492766700000002,238.2684441700001,54.94927667,13792.26844417,10.0,2510.0,5.7,1430.7,2.2,552.2,2.0,502.0,0.217,54.467,44.2,11094.2,1234.43,309841.93000000005,0.0216,0.0216,0.00175,0.00175,0.0013,0.0013,0.05746,14.42246,0.00944333,2.37027583,0.06690333,16.79273583,0.0902942857142857,22.66386571428572,0.0148395185714285,3.724719161428572,0.1051338042857143,26.388584875714287,0.17238,43.26738,42.93809,10777.46059,400.0,,,
Oriente,donkey_live,(all holdings),21,21,5.0,181.44,1.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.6,3.6,180.0,180.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6,3.6,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,1.0,6.0,1.0,6.0,10.0,60.0,0.70514496,4.230869760000001,10.70514496,64.23086976,15.8,94.8,7.0,42.0,2.7,16.200000000000003,6.1,36.6,0.25,1.5,14.2,85.19999999999999,341.64000000000004,2049.84,0.0175,0.0175,0.00105,0.00105,0.0023,0.0023,0.0326599999999999,0.1959599999999999,0.00240051,0.0144030599999999,0.0350605099999999,0.2103630599999999,0.0513228571428571,0.3079371428571428,0.00377223,0.0226333799999999,0.0550950871428571,0.3305705228571428,0.0979799999999999,0.58788,13.80595,82.83569999999999,180.0,,,
Oriente,eggs,(unknown),1,1,,,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.081,0.081,,,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.081,0.081,0.0,0.0,,,,,,,,,,,2.0,2.0,2.0,2.0,0.0,0.0,0.927741816,0.927741816,0.927741816,0.927741816,0.96,0.96,0.64,0.64,0.3,0.3,0.0,0.0,0.0002,0.0002,0.98,0.98,7.884,7.884,0.316,0.316,0.0,0.0,0.00042,0.00042,0.0004116,0.0004116,0.0027871199999999,0.0027871199999999,0.0031987199999999,0.0031987199999999,0.0006468,0.0006468,0.0043797599999999,0.0043797599999999,0.0050265599999999,0.0050265599999999,0.0012348,0.0012348,0.6686736,0.6686736,1.514,,,
Oriente,eggs,layers,1,1,,,100.0,100.0,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.081,0.081,,,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.081,0.081,0.0,0.0,133000.0,133000.0,133000.0,133000.0,1330.0,1330.0,34900.0,34900.0,,,100.0,100.0,100.0,100.0,0.0,0.0,46.3870908,46.3870908,46.3870908,46.3870908,48.0,48.0,32.0,32.0,15.0,15.0,0.0,0.0,0.01,0.01,49.0,49.0,394.2000000000001,394.2000000000001,0.316,0.316,0.0,0.0,0.00042,0.00042,0.02058,0.02058,0.1393559999999999,0.1393559999999999,0.1599359999999999,0.1599359999999999,0.03234,0.03234,0.2189879999999999,0.2189879999999999,0.2513279999999999,0.2513279999999999,0.06174,0.06174,33.43368,33.43368,1.514,,,
Oriente,goat_live,(all holdings),2,2,1.5,62.03,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.011,1.011,23.0,23.0,79.0,79.0,21.0,21.0,0.0,0.0,0.0,0.0,0.799,0.799,0.212,0.212,0.0,0.0,0.0,0.0,,,,,,,,,,,1.0,3.0,1.0,3.0,5.0,15.0,0.172262115,0.5167863450000001,5.172262115,15.516786345,1.4,4.199999999999999,0.4,1.2000000000000002,0.2,0.6000000000000001,0.8,2.4000000000000004,0.012,0.036,6.3,18.9,134.685,404.055,0.0175,0.0175,0.00105,0.00105,0.0023,0.0023,0.01449,0.0434699999999999,0.001065015,0.003195045,0.015555015,0.0466650449999999,0.02277,0.06831,0.001673595,0.005020785,0.024443595,0.073330785,0.0434699999999999,0.1304099999999999,6.125175,18.375525,23.0,,,
