Crop,Category,Irrigated_area_ha__minValue,Irrigated_area_ha__maxValue,Electricity_kWh_ha__minValue,Electricity_kWh_ha__maxValue,Manure_kgha__minValue,Manure_kgha__maxValue,Urea_kgha__minValue,Urea_kgha__maxValue,MAP_kgha__minValue,MAP_kgha__maxValue,UAN_kgha__minValue,UAN_kgha__maxValue,CAN_kgha__minValue,CAN_kgha__maxValue,Compost_kg_ha__minValue,Compost_kg_ha__maxValue,Digestate_kg_ha__minValue,Digestate_kg_ha__maxValue,Acaricide_kgha__minValue,Acaricide_kgha__maxValue,Biocide_NE_kgha__minValue,Biocide_NE_kgha__maxValue,Seed_share_pct__minValue,Seed_share_pct__maxValue,Manure_type__minValue,Manure_type__maxValue,count__minValue,count__maxValue,Region__minValue,Region__maxValue,Province__minValue,Province__maxValue,Seeding_date__minValue,Seeding_date__maxValue,Harvest_date__minValue,Harvest_date__maxValue,Cycle_length_months__minValue,Cycle_length_months__maxValue,Area_ha__minValue,Area_ha__maxValue,Yield_kgha__minValue,Yield_kgha__maxValue,Irrig_m3__minValue,Irrig_m3__maxValue,Irrig_equipment__minValue,Irrig_equipment__maxValue,Packaging_type1__minValue,Packaging_type1__maxValue,Packaging_type2__minValue,Packaging_type2__maxValue,Fuel_type__minValue,Fuel_type__maxValue,Fuel_unit__minValue,Fuel_unit__maxValue,Fuel_ha__minValue,Fuel_ha__maxValue,NPK_kgha__minValue,NPK_kgha__maxValue,AN_kgha__minValue,AN_kgha__maxValue,AP_kgha__minValue,AP_kgha__maxValue,AS_kgha__minValue,AS_kgha__maxValue,Total_fert_min_kgha__minValue,Total_fert_min_kgha__maxValue,Total_fert_org_kgha__minValue,Total_fert_org_kgha__maxValue,Insecticide_kgha__minValue,Insecticide_kgha__maxValue,Herbicide_kgha__minValue,Herbicide_kgha__maxValue,Fungicide_kgha__minValue,Fungicide_kgha__maxValue,Total_pesticides_kgha__minValue,Total_pesticides_kgha__maxValue,Seed_kgha__minValue,Seed_kgha__maxValue,Organic_estiercol_kgha__minValue,Organic_estiercol_kgha__maxValue,Organic_fermentado_kgha__minValue,Organic_fermentado_kgha__maxValue,Organic_liquido_kgha__minValue,Organic_liquido_kgha__maxValue,Irrig_lake_m3__minValue,Irrig_lake_m3__maxValue,Irrig_river_m3__minValue,Irrig_river_m3__maxValue,Irrig_well_m3__minValue,Irrig_well_m3__maxValue,Irrigation_source__minValue,Irrigation_source__maxValue,Source_module__minValue,Source_module__maxValue,Output_basis__minValue,Output_basis__maxValue,Yield_data_status__minValue,Yield_data_status__maxValue,Yield_basis_note__minValue,Yield_basis_note__maxValue
AGUACATE (FRUTA FRESCA),permanent,0.02,20.0,0.0,1e-12,0.0,120957.96533333334,,,,,,,,,,,,,0.0,1e-12,0.0,25.0,,,,,214.83,219.17,,,,,,,,,10.89,11.11,0.02,20.0,37.878787878788,24242.424242424266,0.0,15652.17391304348,,,,,,,,,,,3851.9916,6864.0084,32.988536,1000.0,0.0,226.79618499999998,45.359237,125.0,13.48314606741573,125.0,0.0,1000.0,0.0,120957.96533333334,0.18,48.0,0.18181818181818182,48.0,0.2,25.0,0.0,96.0,,,0.0,60478.98266666667,0.0,60478.98266666667,0.0,1363.6363636363637,0.0,1e-12,0.0,15652.17391304348,0.0,15652.17391304348,,,,,,,,,,
ARROZ (EN CÁSCARA),transitory,0.0564,592.0,0.0,1e-12,0.0,1238.095238095238,,,,,,,,,,,,,0.0,1e-12,0.0,17.5,0.0,100.0,,,2321.55,2368.45,,,,,,,,,2.0,7.0,0.0564,592.0,500.0,9395.454545454539,0.0,10000.0,,,,,,,,,,,1653.741,4514.9985,0.19841269841269843,600.0,0.0,1500.0,1.0,480.0,0.11810279667422524,400.0,0.0,1500.0,0.0,1238.095238095238,0.03125,50.0,0.05555555555555555,64.79891,0.046082267781491604,50.0,0.0,150.0,0.0,4480.0,0.0,1238.095238095238,0.0,266.6666666666667,0.0,200.50125313283206,0.0,10000.0,0.0,10000.0,0.0,10000.0,,,,,,,,,,
ARVEJA SECA (GRANO SECO),transitory,0.01,5.0,0.0,1e-12,0.0,9071.8474,,,,,,,,,,,,,0.0,1e-12,0.0,0.3846153846153846,0.03,10.0,,,71.28,72.72,,,,,,,,,3.0,8.0,0.01,5.0,75.75757575757575,1948.0519480519426,0.0,10434.782608695654,,,,,,,,,,,1653.741,3993.7619999999997,1.6199727499999999,647.9890999999999,0.0,312.5,,,2.0625,2.104166666666667,0.0,647.9890999999999,0.0,9071.8474,0.20833333333333334,10.0,0.04,14.285714285714285,0.6479891,3.125,0.0,14.285714285714285,0.08522727272727273,102.2727272727275,0.0,9071.8474,0.0,1e-12,0.0,16.666666666666668,0.0,1e-12,0.0,10434.782608695654,0.0,1e-12,,,,,,,,,,
ARVEJA TIERNA (VAINA),transitory,0.01,10.0,0.0,1e-12,0.0,56699.04625,,,,,,,,,,,,,0.0,1e-12,0.0,166.66666666666669,0.1,5.0,,,294.03,299.97,,,,,,,,,1.0,11.0,0.01,10.0,227.272727272727,6863.63636363636,1043.4782608695652,10434.782608695654,,,,,,,,,,,1653.741,3993.7619999999997,0.4166666666666667,453.59237,0.0,453.59237,129.89772817471797,132.52192470350016,3.846153846153846,66.70476029411765,0.0,463.59237,0.0,56699.04625,0.030239491333333337,33.333333333333336,0.25,20.0,0.5,18.75,0.0,166.66666666666669,1.47727272727273,118.181818181818,0.0,56699.04625,0.0,1209.5796533333335,0.0,333.33333333333337,0.0,1e-12,0.0,10434.782608695654,0.0,10434.782608695654,,,,,,,,,,
BANANO (FRUTA FRESCA),permanent,0.01,1660.0,0.0,1e-12,0.0,25000.0,,,,,,,,,,,,,0.0,1e-12,0.0,111.11111111111111,50.0,100.0,,,699.93,714.07,,,,,,,,,10.89,11.11,0.0,1660.0,90.90909090909099,119506.49350649344,0.0,29565.21739130435,,,,,,,,,,,2294.5065000000004,8375.2513,0.7142857142857143,13325.042589437819,0.0,1632.932532,3.9622641509433962,600.0,0.5660377358490566,2400.0,0.0,13325.042589437819,0.0,25000.0,0.016129032258064516,50.72463768115942,0.024,52.5,0.09681697612732096,50.72463768115942,0.0,111.11111111111111,5877.742946708466,9090.909090909085,0.0,25000.0,0.0,6333.333333333333,0.0,724.80181200453,0.0,29565.21739130435,0.0,29565.21739130435,0.0,29565.21739130435,,,,,,,,,,
BRACHIARIA,cultivated_pasture,0.25,140.0,0.0,1e-12,0.0,5000.0,,,,,,,,,,,,,0.0,1e-12,0.0,1e-12,,,,,509.85,520.15,,,,,,,,,10.89,11.11,0.08,950.0,20000.0,30000.0,1304.3478260869567,10434.782608695654,,,,,,,,,,,0.0,2475.7000000000003,0.025,453.59237,0.0,200.0,,,99.0,101.0,0.0,453.59237,0.0,5000.0,0.9685230024213075,1.8867924528301887,0.06,40.19172898734177,,,0.0,40.19172898734177,,,0.0,5000.0,0.0,8.0,0.0,4.166666666666667,0.0,1e-12,0.0,10434.782608695654,0.0,1304.3478260869567,,,,,,,,,,
BROCOLI,transitory,0.01,170.0,0.0,1e-12,0.0,27215.5422,,,,,,,,,,,,,0.0,1e-12,0.0,61.0,,,,,255.42,260.58,,,,,,,,,1.0,3.0,0.01,170.0,3740.259740259743,25000.0,7500.0,10434.782608695654,,,,,,,,,,,5180.503900000001,8375.2513,18.181818181818183,1511.9745666666668,0.0,453.59236999999996,50.0,204.11656650000003,64.79891,373.54665764705885,0.0,1511.9745666666668,0.0,27215.5422,0.12195121951219512,20.0,0.8571428571428571,15.0,0.03359943481481482,28.57142857142857,0.0,78.78461538461539,,,0.0,27215.5422,0.0,10000.0,0.0,120.0,0.0,1e-12,0.0,10434.782608695654,0.0,1e-12,,,,,,,,,,
CACAO (ALMENDRA SECA),permanent,0.02,600.0,0.0,1e-12,0.0,100788.224614,,,,,,,,,,,,,0.0,1e-12,0.0,125.0,9.9,10.1,,,5571.72,5684.28,,,,,,,,,10.89,11.11,0.0,600.0,3.18181818181818,9090.90909090909,0.0,15652.17391304348,,,,,,,,,,,3851.9916,6864.0084,0.1,2500.0,0.0,4000.0,0.6666666666666666,294.11764705882354,0.2,800.0,0.0,4000.0,0.0,100788.224614,0.016666666666666666,50.0,0.025025025025025023,72.57477920000001,0.013333333333333334,50.0,0.0,125.0,21.599999999999984,22.03636363636362,0.0,26448.964614809003,0.0,100788.224614,0.0,750.0,0.0,15652.17391304348,0.0,15652.17391304348,0.0,15652.17391304348,,,,,,,,,,
CAFÉ (GRANO ORO),permanent,0.01,36.0,0.0,1e-12,0.0,100000.0,,,,,,,,,,,,,0.0,1e-12,0.0,45.359237,0.1,5.0,,,516.78,527.22,,,,,,,,,10.89,11.11,0.0,28.0,11.454545454545439,2945.4545454545396,0.0,15652.17391304348,,,,,,,,,,,3851.9916,6864.0084,0.25,127005.8636,0.0,127005.8636,158.4,161.6,60.0,90.718474,0.0,254011.7272,0.0,100000.0,0.025,20.0,0.025025025025025023,20.0,0.17857142857142858,12.0,0.0,47.359237,0.26818181818181797,16.09285714285714,0.0,7559.872833333334,0.0,6428.571428571428,0.0,100000.0,0.0,15652.17391304348,0.0,15652.17391304348,0.0,15652.17391304348,,,,,,,,,,
CAÑA DE AZÚCAR / AZÚCAR (TALLO FRESCO),permanent,0.25,8607.25,0.0,1e-12,0.0,8000.0,,,,,,,,,,,,,0.0,1e-12,0.0,1e-12,,,,,122.76,125.24,,,,,,,,,10.89,11.11,0.22,8607.25,15384.615384615385,200000.0,0.0,34782.608695652176,,,,,,,,,,,2832.0108,6864.0084,0.4,857.1428571428571,0.0,705.5881311111111,23.610413653653655,70.0,42.68036314314315,440.99258194444445,0.0,1146.5807130555556,0.0,8000.0,0.3333333333333333,7.766990291262135,0.4816955684007707,16.0,1.0,4.0,0.0,23.0,,,0.0,8000.0,0.0,1e-12,0.0,3.0,0.0,1e-12,0.0,34782.608695652176,0.0,34782.608695652176,,,,,,,,,,
