Crop,Category,Irrigated_area_ha__minValue,Irrigated_area_ha__maxValue,Electricity_kWh_ha__minValue,Electricity_kWh_ha__maxValue,Manure_kgha__minValue,Manure_kgha__maxValue,Urea_kgha__minValue,Urea_kgha__maxValue,MAP_kgha__minValue,MAP_kgha__maxValue,UAN_kgha__minValue,UAN_kgha__maxValue,CAN_kgha__minValue,CAN_kgha__maxValue,Compost_kg_ha__minValue,Compost_kg_ha__maxValue,Digestate_kg_ha__minValue,Digestate_kg_ha__maxValue,Acaricide_kgha__minValue,Acaricide_kgha__maxValue,Biocide_NE_kgha__minValue,Biocide_NE_kgha__maxValue,Seed_share_pct__minValue,Seed_share_pct__maxValue,Manure_type__minValue,Manure_type__maxValue,count__minValue,count__maxValue,Region__minValue,Region__maxValue,Province__minValue,Province__maxValue,Seeding_date__minValue,Seeding_date__maxValue,Harvest_date__minValue,Harvest_date__maxValue,Cycle_length_months__minValue,Cycle_length_months__maxValue,Area_ha__minValue,Area_ha__maxValue,Yield_kgha__minValue,Yield_kgha__maxValue,Irrig_m3__minValue,Irrig_m3__maxValue,Irrig_equipment__minValue,Irrig_equipment__maxValue,Packaging_type1__minValue,Packaging_type1__maxValue,Packaging_type2__minValue,Packaging_type2__maxValue,Fuel_type__minValue,Fuel_type__maxValue,Fuel_unit__minValue,Fuel_unit__maxValue,Fuel_ha__minValue,Fuel_ha__maxValue,NPK_kgha__minValue,NPK_kgha__maxValue,AN_kgha__minValue,AN_kgha__maxValue,AP_kgha__minValue,AP_kgha__maxValue,AS_kgha__minValue,AS_kgha__maxValue,Total_fert_min_kgha__minValue,Total_fert_min_kgha__maxValue,Total_fert_org_kgha__minValue,Total_fert_org_kgha__maxValue,Insecticide_kgha__minValue,Insecticide_kgha__maxValue,Herbicide_kgha__minValue,Herbicide_kgha__maxValue,Fungicide_kgha__minValue,Fungicide_kgha__maxValue,Total_pesticides_kgha__minValue,Total_pesticides_kgha__maxValue,Seed_kgha__minValue,Seed_kgha__maxValue,Organic_estiercol_kgha__minValue,Organic_estiercol_kgha__maxValue,Organic_fermentado_kgha__minValue,Organic_fermentado_kgha__maxValue,Organic_liquido_kgha__minValue,Organic_liquido_kgha__maxValue,Irrig_lake_m3__minValue,Irrig_lake_m3__maxValue,Irrig_river_m3__minValue,Irrig_river_m3__maxValue,Irrig_well_m3__minValue,Irrig_well_m3__maxValue,Irrigation_source__minValue,Irrigation_source__maxValue,Source_module__minValue,Source_module__maxValue,Output_basis__minValue,Output_basis__maxValue,Yield_data_status__minValue,Yield_data_status__maxValue,Yield_basis_note__minValue,Yield_basis_note__maxValue
CAÑA DE AZÚCAR / OTROS USOS (TALLO FRESCO),permanent,0.02,10.0,0.0,1e-12,0.0,7559.872833333334,,,,,,,,,,,,,0.0,1e-12,0.0,22.6796185,,,,,402.93,411.07,,,,,,,,,10.89,11.11,0.0,14.0,90.90909090909099,200000.0,0.0,34782.608695652176,,,,,,,,,,,2832.0108,6864.0084,1.2,120.00000000000001,0.0,647.9890999999999,108.9,111.1,138.6,141.4,0.0,647.9890999999999,0.0,7559.872833333334,0.5,10.0,0.3,10.0,0.5,2.0833333333333335,0.0,22.6796185,,,0.0,7559.872833333334,0.0,2993.709642,0.0,80.0,0.0,1e-12,0.0,34782.608695652176,0.0,34782.608695652176,,,,,,,,,,
CEBADA,transitory,0.03,7.0,0.0,1e-12,0.0,6803.88555,,,,,,,,,,,,,0.0,1e-12,0.0,1e-12,0.1,75.0,,,248.49,253.51,,,,,,,,,3.0,10.0,0.02,22.0,136.363636363636,13636.36363636364,10330.434782608698,10539.13043478261,,,,,,,,,,,1447.4865,3993.7619999999997,6.0,412.35670000000005,0.0,400.0,,,53.886773555999994,54.975395244,0.0,412.35670000000005,0.0,6803.88555,0.4,10.909090909090908,0.15119745666666667,4.725897920604915,0.6,4.0,0.0,10.909090909090908,0.3787878787878784,10227.27272727273,0.0,6803.88555,0.0,1374.5223333333333,0.0,500.0,0.0,1e-12,0.0,10434.782608695654,0.0,10434.782608695654,,,,,,,,,,
CEBOLLA BLANCA,transitory,0.01,1.55,0.0,1e-12,0.0,50000.0,,,,,,,,,,,,,0.0,1e-12,0.0,1.875,,,,,517.77,528.23,,,,,,,,,2.0,11.0,0.01,2.0,227.2727272727273,26392.96187683284,7747.826086956523,7904.347826086957,,,,,,,,,,,5180.503900000001,10178.9935,1.3333333333333333,907.1847399999999,0.0,453.59237,,,,,0.0,907.1847399999999,0.0,50000.0,0.028571428571428574,16.666666666666668,0.125,16.666666666666668,0.3333333333333333,10.0,0.0,33.333333333333336,,,0.0,50000.0,0.0,4535.9237,0.0,1e-12,0.0,1e-12,0.0,7826.08695652174,0.0,1e-12,,,,,,,,,,
FREJOL SECO (GRANO SECO),transitory,0.01,20.0,0.0,1e-12,0.0,22679.6185,,,,,,,,,,,,,0.0,1e-12,0.0,7.142857142857142,0.0,40.0,,,1242.45,1267.55,,,,,,,,,2.0,11.0,0.01,40.0,54.54545454545453,6818.1818181818,0.0,6956.521739130435,,,,,,,,,,,1653.741,3993.7619999999997,0.7142857142857143,666.6666666666667,0.0,283.49523125,,,25.19957611111111,52.33758115384615,0.0,666.6666666666667,0.0,22679.6185,0.04615384615384615,25.0,0.015119745666666668,33.333333333333336,0.014285714285714287,25.0,0.0,34.333333333333336,0.0,272.727272727272,0.0,22679.6185,0.0,6803.88555,0.0,200.0,0.0,6956.521739130435,0.0,6956.521739130435,0.0,5000.0,,,,,,,,,,
FREJOL TIERNO (VAINA),transitory,0.01,4.0,0.0,1e-12,0.0,37799.36416666667,,,,,,,,,,,,,0.0,1e-12,0.0,10.0,0.05,20.0,,,281.16,286.84,,,,,,,,,2.0,11.0,0.01,7.0,151.51515151515164,11363.636363636362,0.0,6956.521739130435,,,,,,,,,,,1653.741,3993.7619999999997,6.666666666666667,635.029318,0.0,250.0,,,50.0,90.718474,0.0,635.029318,0.0,37799.36416666667,0.07692307692307693,72.0,0.14285714285714288,41.66666666666667,0.17142857142857143,18.0,0.0,104.65865064,0.5681818181818176,555.5555555555555,0.0,37799.36416666667,0.0,907.18474,0.0,200.0,0.0,1e-12,0.0,6956.521739130435,0.0,6956.521739130435,,,,,,,,,,
GRAMALOTE,cultivated_pasture,0.01,25.0,0.0,1e-12,0.0,2267.96185,,,,,,,,,,,,,0.0,1e-12,0.0,1e-12,,,,,300.96,307.04,,,,,,,,,10.89,11.11,0.01,308.99,10000.0,20000.0,10330.434782608698,10539.13043478261,,,,,,,,,,,0.0,2475.7000000000003,49.5,50.5,,,,,,,0.0,50.0,0.0,2267.96185,,,0.5,2.1902377972465583,,,0.0,2.1902377972465583,,,0.0,2267.96185,0.0,1e-12,0.0,1e-12,0.0,1e-12,0.0,10434.782608695654,0.0,1e-12,,,,,,,,,,
HABA SECA (GRANO SECO),transitory,0.02,1.0,0.0,1e-12,0.0,7529.633341999999,,,,,,,,,,,,,0.0,1e-12,0.0,2.5,0.01,20.0,,,261.36,266.64,,,,,,,,,3.0,11.0,0.01,1.5,39.77272727272725,3636.3636363636397,0.0,10434.782608695654,,,,,,,,,,,1653.741,3993.7619999999997,10.069750614000002,333.33333333333337,0.0,208.33333333333334,,,100.0,181.436948,0.0,333.33333333333337,0.0,7529.633341999999,0.1,16.666666666666668,0.06,32.399455,2.1258503401360542,5.0,0.0,32.399455,0.042424242424242406,145.45454545454558,0.0,7529.633341999999,0.0,1e-12,0.0,5.555555555555555,0.0,1e-12,0.0,10434.782608695654,0.0,1e-12,,,,,,,,,,
HABA TIERNA (VAINA),transitory,0.01,1.5,0.0,1e-12,0.0,18914.801829,,,,,,,,,,,,,0.0,1e-12,0.0,11.363636363636363,0.05,10.0,,,321.75,328.25,,,,,,,,,2.0,9.0,0.01,3.0,61.98347107438013,13636.363636363649,0.0,10434.782608695654,,,,,,,,,,,1653.741,3993.7619999999997,0.5555555555555556,635.029318,0.0,453.59236999999996,89.81128926,91.62565874,,,0.0,635.029318,0.0,18914.801829,0.1,25.0,0.25,50.0,0.3333333333333333,39.689332375,0.0,50.0,0.5681818181818176,307.91788856305,0.0,18914.801829,0.0,1209.5796533333335,0.0,400.0,0.0,1e-12,0.0,10434.782608695654,0.0,10434.782608695654,,,,,,,,,,
LIMÓN (FRUTA FRESCA),permanent,0.03,22.0,0.0,1e-12,0.0,27215.5422,,,,,,,,,,,,,0.0,1e-12,0.0,10.256410256410257,,,,,252.45,257.55,,,,,,,,,10.89,11.11,0.0,22.0,7.575757575757567,57851.23966942137,0.0,18260.869565217392,,,,,,,,,,,3851.9916,8855.9988,0.15,1200.0,0.0,384.6153846153846,21.0,120.95796533333333,21.0,272.155422,0.0,1200.0,0.0,27215.5422,0.15,25.0,0.13333333333333333,12.5,0.125,25.0,0.0,50.0,,,0.0,27215.5422,0.0,3000.0,0.0,58.8235294117647,0.0,1e-12,0.0,18260.869565217392,0.0,18260.869565217392,,,,,,,,,,
MAIZ DURO CHOCLO (CHOCLO),transitory,0.01,10.0,0.0,1e-12,0.0,2500.0,,,,,,,,,,,,,0.0,1e-12,0.0,8.571428571428571,0.0,0.02,,,84.15,85.85,,,,,,,,,1.0,9.0,0.01,8.0,189.39393939393918,11000.0,1027.6679841897235,11304.347826086958,,,,,,,,,,,1537.4895,3993.7619999999997,4.724920520833334,625.0,0.0,647.9891000000001,0.0018899682083333336,40.0,1.8899682083333336,150.0,0.0,907.1847399999999,0.0,2500.0,0.06479891,16.666666666666668,0.0625,25.0,0.5,3.3333333333333335,0.0,25.0,0.0,0.606060606060606,0.0,2500.0,0.0,1000.0,0.0,1.5,0.0,1e-12,0.0,11304.347826086958,0.0,8125.0,,,,,,,,,,
MAIZ DURO SECO (GRANO SECO),transitory,0.01,150.0,0.0,1e-12,0.0,18143.6948,,,,,,,,,,,,,0.0,1e-12,0.0,15.0,0.04,60.0,,,2238.39,2283.61,,,,,,,,,2.0,10.0,0.01,1600.0,45.454545454545,18181.81818181818,0.0,11304.347826086958,,,,,,,,,,,1537.4895,3993.7619999999997,0.45359237,56699.04625,0.0,56699.04625,1.5,302.39491333333336,2.0,452.9220779220779,0.0,113398.0925,0.0,18143.6948,0.0074055897142857145,150.0,0.022736459649122808,2000.0,0.022679618500000002,97.198365,0.0,2150.0,0.6087662337662338,3474.5454545454427,0.0,18143.6948,0.0,933.3333333333334,0.0,800.0,0.0,11304.347826086958,0.0,11304.347826086958,0.0,11304.347826086958,,,,,,,,,,
MAIZ SUAVE CHOCLO (CHOCLO),transitory,0.01,6.0,0.0,1e-12,0.0,18892.122210499998,,,,,,,,,,,,,0.0,1e-12,0.0,18.181818181818183,0.0,11.0,,,804.87,821.13,,,,,,,,,2.0,10.0,0.01,35.0,35.88516746411484,10909.090909090935,0.0,11304.347826086958,,,,,,,,,,,1537.4895,3993.7619999999997,0.5,1200.0,0.0,635.029318,35.430839002267575,141.7233560090703,11.11111111111111,214.73051320592657,0.0,1200.0,0.0,18892.122210499998,0.10526315789473684,50.0,0.20833333333333334,41.96573506034737,0.4,41.99929351851851,0.0,50.0,0.0,545.454545454544,0.0,18892.122210499998,0.0,4838.318613333334,0.0,307.6923076923077,0.0,11304.347826086958,0.0,11304.347826086958,0.0,11304.347826086958,,,,,,,,,,
MAIZ SUAVE SECO (GRANO SECO),transitory,0.01,40.0,0.0,1e-12,0.0,90718.474,,,,,,,,,,,,,0.0,1e-12,0.0,20.0,0.0,50.0,,,2708.64,2763.36,,,,,,,,,2.0,11.0,0.01,1200.0,59.09090909090909,11079.54545454545,0.0,11304.347826086958,,,,,,,,,,,1537.4895,3993.7619999999997,0.7559872833333334,2500.0,0.0,2660.0,2.6666666666666665,388.79346,25.0,695.5083006666667,0.0,2660.0,0.0,90718.474,0.04,40.0,0.06,33.333333333333336,0.014285714285714287,25.0,0.0,50.0,0.0,3693.181818181825,0.0,90718.474,0.0,6803.88555,0.0,555.5555555555555,0.0,1e-12,0.0,11304.347826086958,0.0,1e-12,,,,,,,,,,
MANGO (FRUTA FRESCA),permanent,0.18,506.94,0.0,1e-12,0.0,4535.9237,,,,,,,,,,,,,0.0,1e-12,0.0,10.0,,,,,78.21,79.79,,,,,,,,,10.89,11.11,0.05,506.94,454.54545454545496,68181.818181818,0.0,15652.17391304348,,,,,,,,,,,3851.9916,6864.0084,1.0,487.8048780487805,0.0,250.0,12.76595744680851,52.0,11.779580245844876,18.837209302325583,0.0,487.8048780487805,0.0,4535.9237,0.19999999999999998,3.152173913043478,0.26666666666666666,15.0,0.24390243902439024,4.693366708385482,0.0,20.7,,,0.0,4535.9237,0.0,266.6666666666667,0.0,52.0,0.0,1e-12,0.0,15652.17391304348,0.0,1e-12,,,,,,,,,,
MANI,transitory,0.04,8.0,0.0,1e-12,0.0,7.25747792,,,,,,,,,,,,,0.0,1e-12,0.0,2.0,0.12,5.0,,,86.13,87.87,,,,,,,,,3.0,6.0,0.01,20.0,90.90909090909089,2727.2727272727298,2608.6956521739135,10434.782608695654,,,,,,,,,,,891.9968000000001,2647.992,2.5,350.0,0.0,725.747792,299.3709642,305.4188624666667,,,0.0,729.747792,0.0,7.25747792,0.13636363636363635,10.0,0.3333333333333333,20.0,0.2,2.0,0.0,22.0,0.16363636363636322,85.2272727272725,0.0,1e-12,0.0,7.25747792,0.0,4.0,0.0,1e-12,0.0,10434.782608695654,0.0,7500.0,,,,,,,,,,
MARACUYÁ (FRUTA FRESCA),permanent,0.1,4.0,0.0,1e-12,0.0,3628.73896,,,,,,,,,,,,,0.0,1e-12,0.0,2.0833333333333335,,,,,155.43,158.57,,,,,,,,,10.89,11.11,0.0706,14.99,23.0,29090.909090909,0.0,15652.17391304348,,,,,,,,,,,3851.9916,6864.0084,0.6,800.0,0.0,625.0,,,2.1772433760000003,300.0,0.0,851.796185,0.0,3628.73896,0.4,60.0,0.05932203389830509,24.0,0.25,60.0,0.0,120.0,,,0.0,3628.73896,0.0,80.0,0.0,133.33333333333334,0.0,1e-12,0.0,15652.17391304348,0.0,15652.17391304348,,,,,,,,,,
NARANJA (FRUTA FRESCA),permanent,0.02,70.2072,0.0,1e-12,0.0,4535.9237,,,,,,,,,,,,,0.0,1e-12,0.0,723.3046296952516,,,,,147.51,150.49,,,,,,,,,10.89,11.11,0.0,70.2072,30.303030303030297,40909.090909091,0.0,18260.869565217392,,,,,,,,,,,3851.9916,8855.9988,45.359237,986.0703695652173,0.0,212.58503401360545,126.66666666666667,200.0,1.3333333333333333,269.46081386138616,0.0,986.0703695652173,0.0,4535.9237,0.19999999999999998,18.333333333333332,0.15747039556563366,85.04606661941885,0.3543083900226757,17.857142857142858,0.0,808.3506963146705,,,0.0,4535.9237,0.0,3239.9455000000003,0.0,1200.0,0.0,1e-12,0.0,18260.869565217392,0.0,1e-12,,,,,,,,,,
ORITO (FRUTA FRESCA),permanent,0.05,20.0,0.0,1e-12,0.0,362.873896,,,,,,,,,,,,,0.0,1e-12,0.0,1e-12,,,,,92.07,93.93,,,,,,,,,10.89,11.11,0.01,20.0,11.363636363636374,37878.78787878792,,,,,,,,,,,,,2294.5065000000004,8375.2513,0.5025125628140703,250.0,0.0,40.0,59.4,60.6,,,0.0,250.0,0.0,362.873896,1.48,10.2,0.18518518518518517,20.0,1.98,2.02,0.0,20.0,,,0.0,362.873896,0.0,1e-12,0.0,1e-12,0.0,1e-12,0.0,1e-12,0.0,1e-12,,,,,,,,,,
OTROS PASTOS CULTIVADOS,cultivated_pasture,0.01,178.5,0.0,1e-12,0.0,1417476.15625,,,,,,,,,,,,,0.0,1e-12,0.0,215.9963666666667,,,,,4815.36,4912.64,,,,,,,,,10.89,11.11,0.01,1400.0,10000.0,20000.0,791.1131621452353,10434.782608695654,,,,,,,,,,,0.0,2475.7000000000003,0.7874015748031497,800.0,0.0,850.48569375,6.8038855499999995,720.0,2.3696682464454977,533.6380823529412,0.0,850.48569375,0.0,1417476.15625,0.03333333333333333,22.7027027027027,0.007207207207207207,100.0,0.16666666666666666,7.0,0.0,215.9963666666667,,,0.0,1417476.15625,0.0,11339.80925,0.0,800.0,0.0,10434.782608695654,0.0,10434.782608695654,0.0,10434.782608695654,,,,,,,,,,
OTROS PERMANENTES,permanent,0.01,110.0,0.0,1e-12,0.0,75296.33342,,,,,,,,,,,,,0.0,1e-12,0.0,453.59236999999996,,,,,1880.01,1917.99,,,,,,,,,10.89,11.11,0.0,599.0,11.086474501108647,109090.90909090919,0.0,15652.17391304348,,,,,,,,,,,3851.9916,6864.0084,1.0,10000.0,0.0,1209.5796533333335,5.0,416.6666666666667,10.0,625.0,0.0,10000.0,0.0,75296.33342,0.125,66.66666666666667,0.125,400.0,0.226796185,100.0,0.0,493.59236999999996,,,0.0,45359.237,0.0,75296.33342,0.0,3333.3333333333335,0.0,15652.17391304348,0.0,15652.17391304348,0.0,15652.17391304348,,,,,,,,,,
OTROS TRANSITORIOS,transitory,0.01,30.0,0.0,1e-12,0.0,136077.711,,,,,,,,,,,,,0.0,1e-12,0.0,60.0,0.1,65.0,,,1768.14,1803.86,,,,,,,,,0.0,11.0,0.0,30.0,22.7272727272725,119318.18181818198,0.0,10434.782608695654,,,,,,,,,,,1653.741,3993.7619999999997,0.25,9071.8474,0.0,1814.36948,1.7094017094017095,544.310844,0.4724920520833334,290.0,0.0,9071.8474,0.0,136077.711,0.030239491333333337,125.0,0.18899682083333336,56.699046249999995,0.06666666666666667,60.478982666666674,0.0,125.0,0.45454545454545503,6969.696969696977,0.0,136077.711,0.0,10000.0,0.0,1200.0,0.0,10434.782608695654,0.0,10434.782608695654,0.0,10434.782608695654,,,,,,,,,,
