metric,domain,source_summary_file,source_inventory_level,source_key,n,sheet_name,figure_id
"cacao almendra seca - sierra | crop, region",crops,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_region.csv,region,costa,4288.0,regional differences,regional_dumbbell_regions
"cacao almendra seca - sierra | crop, region",crops,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_region.csv,region,oriente,610.0,regional differences,regional_dumbbell_regions
"cacao almendra seca - sierra | crop, region",crops,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_region.csv,region,sierra,730.0,regional differences,regional_dumbbell_regions
"cacao almendra seca - sierra | crop, region",crops,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_region.csv,region,costa,4288.0,regional differences,regional_dumbbell_regions
"cacao almendra seca - sierra | crop, region",crops,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_region.csv,region,oriente,610.0,regional differences,regional_dumbbell_regions
"cacao almendra seca - sierra | crop, region",crops,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_region.csv,region,sierra,730.0,regional differences,regional_dumbbell_regions
"cacao almendra seca - sierra | crop, region",crops,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_region.csv,region,costa,4288.0,regional differences,regional_dumbbell_regions
"cacao almendra seca - sierra | crop, region",crops,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_region.csv,region,oriente,610.0,regional differences,regional_dumbbell_regions
"cacao almendra seca - sierra | crop, region",crops,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_region.csv,region,sierra,730.0,regional differences,regional_dumbbell_regions
"cacao almendra seca - oriente | crop, region",crops,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_region.csv,region,costa,4288.0,regional differences,regional_dumbbell_regions
"cacao almendra seca - oriente | crop, region",crops,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_region.csv,region,oriente,610.0,regional differences,regional_dumbbell_regions
"cacao almendra seca - oriente | crop, region",crops,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_region.csv,region,sierra,730.0,regional differences,regional_dumbbell_regions
"arroz en cascara - orellana | crop, province",crops,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_region.csv,region,costa,4288.0,regional differences,regional_dumbbell_provinces
"arroz en cascara - orellana | crop, province",crops,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_region.csv,region,oriente,610.0,regional differences,regional_dumbbell_provinces
"arroz en cascara - orellana | crop, province",crops,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_region.csv,region,sierra,730.0,regional differences,regional_dumbbell_provinces
"arroz en cascara - sucumbios | crop, province",crops,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_region.csv,region,costa,4288.0,regional differences,regional_dumbbell_provinces
"arroz en cascara - sucumbios | crop, province",crops,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_region.csv,region,oriente,610.0,regional differences,regional_dumbbell_provinces
"arroz en cascara - sucumbios | crop, province",crops,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_region.csv,region,sierra,730.0,regional differences,regional_dumbbell_provinces
"arroz en cascara - cotopaxi | crop, province",crops,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_region.csv,region,costa,4288.0,regional differences,regional_dumbbell_provinces
"arroz en cascara - cotopaxi | crop, province",crops,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_region.csv,region,oriente,610.0,regional differences,regional_dumbbell_provinces
"arroz en cascara - cotopaxi | crop, province",crops,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_region.csv,region,sierra,730.0,regional differences,regional_dumbbell_provinces
"arroz en cascara - manabi | crop, province",crops,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_region.csv,region,costa,4288.0,regional differences,regional_dumbbell_provinces
"arroz en cascara - manabi | crop, province",crops,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_region.csv,region,oriente,610.0,regional differences,regional_dumbbell_provinces
"arroz en cascara - manabi | crop, province",crops,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_region.csv,region,sierra,730.0,regional differences,regional_dumbbell_provinces
"arroz en cascara - guayas | crop, province",crops,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_region.csv,region,costa,4288.0,regional differences,regional_dumbbell_provinces
"arroz en cascara - guayas | crop, province",crops,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_region.csv,region,oriente,610.0,regional differences,regional_dumbbell_provinces
"arroz en cascara - guayas | crop, province",crops,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_region.csv,region,sierra,730.0,regional differences,regional_dumbbell_provinces
"arroz en cascara - los rios | crop, province",crops,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_region.csv,region,costa,4288.0,regional differences,regional_dumbbell_provinces
"arroz en cascara - los rios | crop, province",crops,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_region.csv,region,oriente,610.0,regional differences,regional_dumbbell_provinces
"arroz en cascara - los rios | crop, province",crops,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_region.csv,region,sierra,730.0,regional differences,regional_dumbbell_provinces
"arroz en cascara - el oro | crop, province",crops,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_region.csv,region,costa,4288.0,regional differences,regional_dumbbell_provinces
"arroz en cascara - el oro | crop, province",crops,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_region.csv,region,oriente,610.0,regional differences,regional_dumbbell_provinces
"arroz en cascara - el oro | crop, province",crops,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_region.csv,region,sierra,730.0,regional differences,regional_dumbbell_provinces
"arroz en cascara - loja | crop, province",crops,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_region.csv,region,costa,4288.0,regional differences,regional_dumbbell_provinces
"arroz en cascara - loja | crop, province",crops,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_region.csv,region,oriente,610.0,regional differences,regional_dumbbell_provinces
"arroz en cascara - loja | crop, province",crops,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_region.csv,region,sierra,730.0,regional differences,regional_dumbbell_provinces
"arroz en cascara - bolivar | crop, province",crops,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_region.csv,region,costa,4288.0,regional differences,regional_dumbbell_provinces
"arroz en cascara - bolivar | crop, province",crops,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_region.csv,region,oriente,610.0,regional differences,regional_dumbbell_provinces
"arroz en cascara - bolivar | crop, province",crops,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_region.csv,region,sierra,730.0,regional differences,regional_dumbbell_provinces
eggs | AGRIBALYSE (FR),livestock,outputs\CSVs\03-05_espac_livestock_lci_table_filtered_dfe__summary_product.csv,livestock_product,AGRIBALYSE (FR),10.0,comparisons,comparisons_eggs_all_sources
eggs | ESPAC (EC),livestock,outputs\CSVs\03-05_espac_livestock_lci_table_filtered_dfe__summary_product.csv,livestock_product,ESPAC (EC),10.0,comparisons,comparisons_eggs_all_sources
eggs | Agri-footprint (RER),livestock,outputs\CSVs\03-05_espac_livestock_lci_table_filtered_dfe__summary_product.csv,livestock_product,Agri-footprint (RER),10.0,comparisons,comparisons_eggs_all_sources
milk | Agri-footprint (BR),livestock,outputs\CSVs\03-05_espac_livestock_lci_table_filtered_dfe__summary_product.csv,livestock_product,Agri-footprint (BR),10.0,comparisons,comparisons_milk_all_sources
milk | ESPAC (EC),livestock,outputs\CSVs\03-05_espac_livestock_lci_table_filtered_dfe__summary_product.csv,livestock_product,ESPAC (EC),10.0,comparisons,comparisons_milk_all_sources
milk | ecoinvent (GLO),livestock,outputs\CSVs\03-05_espac_livestock_lci_table_filtered_dfe__summary_product.csv,livestock_product,ecoinvent (GLO),10.0,comparisons,comparisons_milk_all_sources
ABACA,crops,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,abaca,37.0,individual tropical crops,individual_tropical_crops_grouped_lollipop
ACHIOTE,crops,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,achiote,6.0,individual tropical crops,individual_tropical_crops_grouped_lollipop
AGUACATE,crops,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,aguacate,217.0,individual tropical crops,individual_tropical_crops_grouped_lollipop
