dano_de_categoria_puntuacion_unica,unidad_pt,promedio_5_8269244,mediana_6_0990465,sd_4_199662,cv_72_073391,0_025_4_4993868,0_975_13_783837,sem_0_13280497,roots_tubers_summary_strategy_8,potato_cn_potato_production_cut_off_u,vegetables_summary_strategy_8,fruits_summary_strategy_8,peanut_ar_peanut_production_cut_off_u,pulses_oilseeds_summary_strategy_8,beans_dry_market_mix_at_regional_storage_rer_economic,product_milk_summary_strategy_9,product_meat_poultry_summary_strategy_9,landed_tuna_frozen_epo_ec_tuna_capture_by_purse_seiner_and_landing_whole_frozen_cut_off_u,shrimp_or_prawn_raw_processed_in_fr_chilled_ps_at_distribution_fr_u,product_eggs_summary_strategy_9,product_cattle_live_summary_strategy_9,product_swine_live_summary_strategy_9,refined_sunflower_oil_solvent_at_processing_ar_economic,pulses_oilseeds_summary_strategy_8_2,butter_from_cow_milk_glo_market_for_butter_from_cow_milk_cut_off_u,fruit_soft_drink_carbonated_less_than_10_of_fruit_juice_with_sugar_processed_in_fr_chilled_pet_at_distribution_fr_u,salt_glo_market_for_salt_cut_off_u,beer_regular_4_5_degrees_alcohol_at_plant_fr_u,caen_style_tripe_at_plant_fr_u,salty_snacks_crackers_plain_at_plant_fr_u
CC. HH. ST. fossil,DALY,5.8946788e-06,5.8706852e-06,3.3254943e-07,5.6415191,5.2996743e-06,6.5871633e-06,1.0516136e-08,,,,,,,,,,,,,,,,,,,,,,
CC. HH. ST. land transformation,DALY,2.8915336e-06,2.827947e-06,5.8626287e-07,20.275153,1.9180267e-06,4.1015873e-06,1.853926e-08,,,,,,,,,,,,,,,,,,,,,,
Fisheries impact,PDF.m2.yr,2.8635512e-19,2.6909278e-19,9.2142576e-20,32.177729,1.5304129e-19,5.0838194e-19,2.9138041e-21,,,,,,,,,,,,,,,,,,,,,,
Freshwater acidification,PDF.m2.yr,0.072417148,0.071177955,0.0076344622,10.54234,0.061042002,0.090380838,0.00024142289,,,,,,,,,,,,,,,,,,,,,,
Freshwater ecotoxicity. long term,PDF.m2.yr,0.055048146,0.050426874,0.02490518,45.242541,0.019487909,0.11326813,0.00078757094,,,,,,,,,,,,,,,,,,,,,,
Freshwater ecotoxicity. short term,PDF.m2.yr,0.47156849,0.37082864,0.37467695,79.453348,0.040088777,1.3973216,0.011848325,,,,,,,,,,,,,,,,,,,,,,
Freshwater eutrophication,PDF.m2.yr,0.003138586,0.0030847991,0.00060001593,19.117397,0.0021216302,0.0043597611,1.897417e-05,,,,,,,,,,,,,,,,,,,,,,
Human toxicity cancer. long term,DALY,1.0244739e-08,9.8247531e-09,6.3822805e-09,62.298126,-2.2161352e-09,2.3662521e-08,2.0182543e-10,,,,,,,,,,,,,,,,,,,,,,
Human toxicity cancer. short term,DALY,8.5153553e-08,8.3828183e-08,2.0902449e-08,24.546773,4.8290841e-08,1.285383e-07,6.6099348e-10,,,,,,,,,,,,,,,,,,,,,,
Human toxicity non-cancer. long term,DALY,3.1540174e-07,3.1733318e-07,2.0623254e-07,65.387255,-8.1334628e-08,7.4074837e-07,6.5216456e-09,,,,,,,,,,,,,,,,,,,,,,
Human toxicity non-cancer. short term,DALY,3.0928531e-07,3.0905655e-07,7.2394077e-07,234.06892,-1.1633016e-06,1.7336832e-06,2.2893017e-08,,,,,,,,,,,,,,,,,,,,,,
Ionizing radiations. ecosystem quality,PDF.m2.yr,1.0420025e-10,1.0231458e-10,1.9426158e-11,18.643102,7.0419308e-11,1.4394166e-10,6.1430906e-13,,,,,,,,,,,,,,,,,,,,,,
Ionizing radiations. human health,DALY,8.6948587e-10,8.5765575e-10,1.6483045e-10,18.957231,5.7953595e-10,1.2192372e-09,5.2123965e-12,,,,,,,,,,,,,,,,,,,,,,
Land occupation. biodiversity,PDF.m2.yr,0.61261429,0.60063148,0.11690524,19.08301,0.41493279,0.85317902,0.0036968684,,,,,,,,,,,,,,,,,,,,,,
Land transformation. biodiversity,PDF.m2.yr,0.59060119,0.57845363,0.14718738,24.921619,0.33169552,0.89752984,0.0046544735,,,,,,,,,,,,,,,,,,,,,,
Marine acidification. long term,PDF.m2.yr,0.39171579,0.38470938,0.07299038,18.633505,0.26950901,0.54664217,0.0023081585,,,,,,,,,,,,,,,,,,,,,,
Marine acidification. short term,PDF.m2.yr,0.042521344,0.041760763,0.0079232185,18.633509,0.029255596,0.059338886,0.00025055417,,,,,,,,,,,,,,,,,,,,,,
Marine ecotoxicity. long term,PDF.m2.yr,3.3587923e-05,2.6600983e-05,2.6739932e-05,79.611744,2.6854644e-06,9.9811163e-05,8.4559088e-07,,,,,,,,,,,,,,,,,,,,,,
Marine ecotoxicity. short term,PDF.m2.yr,2.6874855e-05,2.1998813e-05,1.9588022e-05,72.886058,3.6013411e-06,7.5542366e-05,6.1942765e-07,,,,,,,,,,,,,,,,,,,,,,
Marine eutrophication,PDF.m2.yr,0.052465752,0.047474125,0.018735336,35.709649,0.029458604,0.10085793,0.00059246334,,,,,,,,,,,,,,,,,,,,,,
Ozone layer depletion,DALY,1.9995402e-12,1.8649483e-12,6.8693133e-13,34.354465,1.0432912e-12,3.7374769e-12,2.1722676e-14,,,,,,,,,,,,,,,,,,,,,,
Particulate matter formation,DALY,1.1019114e-05,1.0929885e-05,1.0985648e-06,9.9696296,9.1153148e-06,1.3493684e-05,3.473967e-08,,,,,,,,,,,,,,,,,,,,,,
Photochemical ozone formation. ecosystem,PDF.m2.yr,0.05253156,0.049967378,0.01546377,29.437104,0.03050088,0.092404197,0.00048900735,,,,,,,,,,,,,,,,,,,,,,
Photochemical ozone formation. human hea,DALY,5.0937602e-09,4.7900313e-09,1.5789381e-09,30.997496,2.8900961e-09,9.1792226e-09,4.9930407e-11,,,,,,,,,,,,,,,,,,,,,,
Physical effects on biota,PDF.m2.yr,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
Terrestrial acidification,PDF.m2.yr,1.2398743,1.218033,0.14297135,11.531116,1.0163161,1.5790583,0.0045211512,,,,,,,,,,,,,,,,,,,,,,
Terrestrial ecotoxicity. long term,PDF.m2.yr,1.2259593,0.97093595,0.9760075,79.61174,0.098019535,3.6431075,0.030864067,,,,,,,,,,,,,,,,,,,,,,
Terrestrial ecotoxicity. short term,PDF.m2.yr,0.9809322,0.80295669,0.71496281,72.886058,0.13144895,2.7572964,0.022609109,,,,,,,,,,,,,,,,,,,,,,
Thermally polluted water,PDF.m2.yr,0.00018495516,0.00017250575,6.2170786e-05,33.613977,9.3323014e-05,0.00032561447,1.9660129e-06,,,,,,,,,,,,,,,,,,,,,,
Water availability. freshwater ecosystem,PDF.m2.yr,2.7589366e-05,7.5948197e-05,0.00045218955,1638.9994,-0.0010872504,0.00087792068,1.4299489e-05,,,,,,,,,,,,,,,,,,,,,,
Water availability. human health,DALY,1.4914227e-09,5.4194848e-06,5.5234669e-05,3703488.5,-0.0001359152,0.00010317716,1.7466736e-06,,,,,,,,,,,,,,,,,,,,,,
Water availability. terrestrial ecosyste,PDF.m2.yr,4.0794907e-05,4.0125899e-05,7.2827362e-06,17.852072,2.7818446e-05,5.6283412e-05,2.3030034e-07,,,,,,,,,,,,,,,,,,,,,,
Intervalo de confidencia: ,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contribution analyses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Calculation: ,Analizar,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Results: ,Contribución proceso,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Product: ,"1 kg 1. Ecuadorian diet, FAOSTAT, g, based on Current food availability (del proyecto Ecuador_needs)",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Método: ,IMPACT World+ Expert 2.2.1 (incl. CO2 uptake) V2.02 / IMPACT World+ (Stepwise 2006 values),,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Indicador: ,Puntuación única,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cortar: ,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Default units: ,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Excluir procesos de infrastructura: ,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Excluir emisiones a largo plazo: ,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sorted on item: ,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sort order: ,Descendente,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,No,Proceso,Proyecto,Unidad,Total,"1. Ecuadorian diet, FAOSTAT, g, based on Current food availability",cereals | summary: strategy_8,"Wheat grain, at farm {CA} Economic, U",roots_tubers | summary: strategy_8,"Potato {CN}| potato production | Cut-off, U",vegetables | summary: strategy_8,fruits | summary: strategy_8,"Peanut {AR}| peanut production | Cut-off, U",pulses_oilseeds | summary: strategy_8,"Beans, dry, market mix, at regional storage/RER Economic",product: milk | summary: strategy_9,product: meat_poultry | summary: strategy_9,"Landed tuna, frozen, EPO {EC}| tuna, capture by purse seiner and landing whole, frozen | Cut-off, U","Shrimp or prawn, raw, processed in FR | Chilled | PS | at distribution {FR} U",product: eggs | summary: strategy_9,product: cattle_live | summary: strategy_9,product: swine_live | summary: strategy_9,"Refined sunflower oil (solvent), at processing/AR Economic",pulses_oilseeds | summary: strategy_8,"Butter, from cow milk {GLO}| market for butter, from cow milk | Cut-off, U","Fruit soft drink, carbonated (less than 10% of fruit juice), with sugar, processed in FR | Chilled | PET | at distribution {FR} U","Salt {GLO}| market for salt | Cut-off, U","Beer, regular (4-5 degrees alcohol), at plant {FR} U","Caen-style tripe, at plant {FR} U","Salty snacks, crackers, plain, at plant {FR} U"
