Diet,Total Impact (Pt),Processes,Food Groups,Top Food Group,Top Group %,Top 3 Groups %,Top Process,Top Process %
"Ecuadorian diet, FAOSTAT, g, based on Current food",6.87,19,26,Diet,50.0%,81.5%,"Soybeans, at farm (BR)",27.8%
"Ecuadorian diet, EAT-Lancet, g, selective",5.35,21,20,Diet,50.0%,72.0%,Remaining processes,26.8%
