count,Region,Province,Crop,Category,Seeding_date,Harvest_date,Cycle_length_months,Area_ha,Yield_kgha,Straw_kgha,Export_straw_percent,Irrig_m3,Water_source,Irrig_equipment,Packaging_type1,Packaging_type1_kgha,Packaging_type2,Packaging_type2_kgha,Fuel_type,Fuel_unit,Fuel_ha,Urea_kgha,NPK_kgha,NPK_N_percent,NPK_P_percent,NPK_K_percent,MAP_kgha,UAN_kgha,AN_kgha,AP_kgha,AS_kgha,CAN_kgha,Total_fert_min_kgha,Manure_kgha,Manure_type,Compost_kg_ha,Digestate_kg_ha,Total_fert_org_kgha,N_tot,N_min,N_orga,P_tot,P_min,P_orga,K_tot,K_min,K_orga,Insecticide_kgha,Herbicide_kgha,Fungicide_kgha,Acaricide_kgha,Biocide_NE_kgha,Total_pesticides_kgha,Seed_kgha,Equipement_phyto,Molecule_name_1,Dose_kgha_1,Phase_application_1,Molecule_name_2,Dose_kgha_2,Phase_application_2,Molecule_name_3,Dose_kgha_3,Phase_application_3,Molecule_name_4,Dose_kgha_4,Phase_application_4,Molecule_name_5,Dose_kgha_5,Phase_application_5,Molecule_name_6,Dose_kgha_6,Phase_application_6,Molecule_name_7,Dose_kgha_7,Phase_application_7,Molecule_name_8,Dose_kgha_8,Phase_application_8,Molecule_name_9,Dose_kgha_9,Phase_application_9,Transport_1,Transport_type_1,Transport_tkm_1,Transport_2,Transport_type_2,Transport_tkm_2,Transport_3,Transport_type_3,Transport_tkm_3,Transport_4,Transport_type_4,Transport_tkm_4,Transport_tkm,Transport_type,Organic_estiercol_kgha,Organic_fermentado_kgha,Organic_liquido_kgha
14,sierra,CARCHI,ARVEJA TIERNA (VAINA),transitory,2024-03-01,2024-05-01,2.0,1.0,2909.09090909091,,,9832.775919732441,,surcos,QUINTAL,,VAINA,,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,2002.4955,,181.436948,,,,,,158.7573295,,,,112.5,0.0,,,,0.0,,,,,,,,,,1.0,1.2999999999999998,3.833333333333333,0.0,0.0,3.375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1209.5796533333335,,
4,sierra,CARCHI,CACAO (ALMENDRA SECA),permanent,2024-01-01,2024-12-01,11.0,0.375,522.7272727272727,,,0.0,,sin riego,QUINTAL,,ALMENDRA SECA,,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,4871.9952,,,,,,,,,,,,0.0,0.0,,,,0.0,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,sierra,CARCHI,CAFÉ (GRANO ORO),permanent,2024-01-01,2024-12-01,11.0,1.25,797.7272727272734,,,13846.153846153846,,aspersi?n,QUINTAL,,GRANO ORO,,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,4871.9952,,226.79618499999998,,,,,,,,,,0.0,907.18474,,,,907.18474,,,,,,,,,,1.2,9.25,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,907.18474,,
5,sierra,CARCHI,CAÑA DE AZÚCAR / AZÚCAR (TALLO FRESCO),permanent,2024-01-01,2024-12-01,11.0,0.65,142857.14285714287,,,34782.608695652176,,surcos,TONELADA METR.,,TALLO FRESCO,,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,2832.0108,,18.1436948,,,,,,558.2675323076922,,,,558.2675323076922,0.0,,,,0.0,,,,,,,,,,4.08,3.7362637362637363,,0.0,0.0,2.857142857142857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,sierra,CARCHI,CAÑA DE AZÚCAR / OTROS USOS (TALLO FRESCO),permanent,2024-01-01,2024-12-01,11.0,0.5,10000.0,,,0.0,,sin riego,TONELADA METR.,,TALLO FRESCO,,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,2832.0108,,,,,,,,,,,,0.0,0.0,,,,0.0,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2610.0,,
13,sierra,CARCHI,CEBADA,transitory,2024-01-01,2024-06-01,5.0,3.3,2727.2727272727197,,,9230.76923076923,,surcos,QUINTAL,,GRANO SECO,,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,1447.4865,,145.26392854545455,,,,,,347.75415033333337,,,,181.436948,0.0,,,,0.0,,,,,,,,,,1.0,1.0,2.2,0.0,0.0,1.2,545.454545454544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,sierra,CARCHI,CEBOLLA BLANCA,transitory,2024-07-01,2024-12-01,5.0,1.125,6818.18181818181,,,5643.8127090301,,aspersi?n,OTRA,,TALLO FRESCO,,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,10178.9935,,181.436948,,,,,,,,,,90.718474,65.35923700000001,,,,65.35923700000001,,,,,,,,,,0.375,0.125,,0.0,0.0,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.718474,40.0,
45,sierra,CARCHI,FREJOL SECO (GRANO SECO),transitory,2024-02-01,2024-07-01,5.0,0.5,757.5757575757567,,,6956.521739130435,,surcos,QUINTAL,,GRANO SECO,,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,2002.4955,,63.57282466666667,,,,,,75.59872833333333,,,,7.25747792,0.0,,,,0.0,,,,,,,,,,0.9,0.6666666666666666,0.7257477920000001,0.0,0.0,1.0,20.454545454545467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,680.388555,10.0,3.3
9,sierra,CARCHI,FREJOL TIERNO (VAINA),transitory,2024-06-01,2024-12-01,6.0,0.75,5454.5454545454495,,,6956.521739130435,,surcos,QUINTAL,,VAINA,,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,2002.4955,,124.73790175,,,,,,181.436948,,,,68.03885550000001,0.0,,,,0.0,,,,,,,,,,1.8,1.8,1.0,0.0,0.0,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,sierra,CARCHI,HABA SECA (GRANO SECO),transitory,2024-02-01,2024-07-01,5.0,0.5,1363.636363636364,,,9230.76923076923,,aspersi?n,QUINTAL,,GRANO SECO,,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,2002.4955,,100.0,,,,,,,,,,0.0,0.0,,,,0.0,,,,,,,,,,3.5208333333333335,1.0208333333333335,,0.0,0.0,2.0833333333333335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
