Region,Province,Crop,Category,count__minValue,count__maxValue,Cycle_length_months__minValue,Cycle_length_months__maxValue,Area_ha__minValue,Area_ha__maxValue,Yield_kgha__minValue,Yield_kgha__maxValue,Irrig_m3__minValue,Irrig_m3__maxValue,Fuel_ha__minValue,Fuel_ha__maxValue,NPK_kgha__minValue,NPK_kgha__maxValue,AN_kgha__minValue,AN_kgha__maxValue,AP_kgha__minValue,AP_kgha__maxValue,AS_kgha__minValue,AS_kgha__maxValue,Total_fert_min_kgha__minValue,Total_fert_min_kgha__maxValue,Total_fert_org_kgha__minValue,Total_fert_org_kgha__maxValue,Insecticide_kgha__minValue,Insecticide_kgha__maxValue,Herbicide_kgha__minValue,Herbicide_kgha__maxValue,Fungicide_kgha__minValue,Fungicide_kgha__maxValue,Total_pesticides_kgha__minValue,Total_pesticides_kgha__maxValue,Seed_kgha__minValue,Seed_kgha__maxValue,Organic_estiercol_kgha__minValue,Organic_estiercol_kgha__maxValue,Organic_fermentado_kgha__minValue,Organic_fermentado_kgha__maxValue,Organic_liquido_kgha__minValue,Organic_liquido_kgha__maxValue,N_min__minValue,N_min__maxValue,P_min__minValue,P_min__maxValue,K_min__minValue,K_min__maxValue,N_orga__minValue,N_orga__maxValue,P_orga__minValue,P_orga__maxValue,K_orga__minValue,K_orga__maxValue,N_tot__minValue,N_tot__maxValue,P_tot__minValue,P_tot__maxValue,K_tot__minValue,K_tot__maxValue,kgNH3N_ha__minValue,kgNH3N_ha__maxValue,kgNOxN_ha__minValue,kgNOxN_ha__maxValue,kgNO3N_ha__minValue,kgNO3N_ha__maxValue,kgN2ON_ha_direct__minValue,kgN2ON_ha_direct__maxValue,kgN2ON_ha_indirect__minValue,kgN2ON_ha_indirect__maxValue,kgN2ON_ha__minValue,kgN2ON_ha__maxValue,kgCO2urea_ha__minValue,kgCO2urea_ha__maxValue,kgCO2limestone_ha__minValue,kgCO2limestone_ha__maxValue,kgCO2_fert_ha__minValue,kgCO2_fert_ha__maxValue,soil_erosion_tha__minValue,soil_erosion_tha__maxValue,kgP_ha_erosion__minValue,kgP_ha_erosion__maxValue,kgP_ha_runoff__minValue,kgP_ha_runoff__maxValue,kgP_ha_leaching__minValue,kgP_ha_leaching__maxValue,kgP_ha_drainage__minValue,kgP_ha_drainage__maxValue,kgP_total__minValue,kgP_total__maxValue,Cd_kg_ha__minValue,Cd_kg_ha__maxValue,Cu_kg_ha__minValue,Cu_kg_ha__maxValue,Zn_kg_ha__minValue,Zn_kg_ha__maxValue,Pb_kg_ha__minValue,Pb_kg_ha__maxValue,Ni_kg_ha__minValue,Ni_kg_ha__maxValue,Cr_kg_ha__minValue,Cr_kg_ha__maxValue,Hg_kg_ha__minValue,Hg_kg_ha__maxValue,trace_metals_from_organic__minValue,trace_metals_from_organic__maxValue
costa,(all selected provinces),AGUACATE (FRUTA FRESCA),permanent,4.0,4.0,11.0,11.0,1.5,10.0,2600.0,8484.848484848468,0.0,13846.153846153846,3851.9916,6864.0084,200.0,250.0,0.0,200.0,0.0,0.0,0.0,0.0,250.0,400.0,0.0,0.0,1.5,1.5,1.0,1.0,,,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,105.5,13.092,16.365000000000002,24.903,31.128749999999997,0.0,0.0,0.0,0.0,0.0,0.0,30.0,105.5,13.092,16.365000000000002,24.903,31.128749999999997,0.5935588235294118,2.0873485294117646,1.7004594245524296,5.979948976342712,9.3,32.705,0.15,0.5275,0.1185,0.4167249999999999,0.26849999999999996,0.9442249999999999,0.0,0.0,0.0,0.0,0.0,0.0,2.8851659999999995,2.8851659999999995,1.0196176644,1.0196176644,0.18072774999999996,0.18215968749999997,0.0735,0.0735,0.44099999999999995,0.44099999999999995,1.7148454143999996,1.7162773518999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False
costa,(all selected provinces),ARROZ (EN CÁSCARA),transitory,2330.0,2330.0,2.0,7.0,0.0564,592.0,500.0,9395.45454545454,0.0,10000.0,1653.741,4514.9985,0.1984126984126984,600.0,0.0,1500.0,1.0,480.0,0.1181027966742252,400.0,0.0,1500.0,0.0,1238.095238095238,0.03125,50.0,0.0555555555555555,64.79891,0.0460822677814916,50.0,0.0,150.0,0.0,4480.0,0.0,1238.095238095238,0.0,266.6666666666667,0.0,200.5012531328321,0.02976190476190476,600.0,0.20936809523809524,133.5384,0.08352763605442173,273.933,0.0,13.361253132832083,0.0,4.791020970513093,0.0,15.779689593227785,0.02976190476190476,613.3612531328321,0.20936809523809524,138.3294209705131,0.08352763605442173,289.71268959322776,0.0005888480392156863,12.859390471413827,0.0016869637148337596,34.72467292781244,0.009226190476190476,190.14198847117794,0.0001488095238095238,3.0668062656641606,0.0001175595238095238,2.4384096160401,0.0002663690476190476,5.5052158817042605,0.0,0.0,0.0,0.0,0.0,0.0,2.8851659999999995,2.8851659999999995,1.0196176644,1.0196176644,0.17509159854166667,0.23694814362281297,0.0735,0.07352411684210526,0.44099999999999995,0.4411447010526316,1.7092092629416666,1.7712346259175495,0.0,0.0003668891979949875,0.0,0.09996764912280702,0.0,0.45869840401002504,0.0,0.004457761303258145,0.0,0.00821553984962406,0.0,0.01254993022556391,0.0,0.00010495642105263157,False,True
costa,(all selected provinces),ARVEJA SECA (GRANO SECO),transitory,3.0,3.0,5.0,8.0,0.05,0.17,133.68983957219234,454.545454545454,0.0,0.0,1653.741,3993.762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,680.388555,,,,,,,0.0,0.0,1.3368983957219234,4.54545454545454,0.0,680.388555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.885361000750001,0.0,2.087716764620695,0.0,7.2820309492623165,0.0,5.885361000750001,0.0,2.087716764620695,0.0,7.2820309492623165,0.0,0.4352882235695886,0.0,0.31515638233260646,0.0,1.8244619102325002,0.0,0.029426805003750004,0.0,0.03013304832384,0.0,0.05955985332759001,0.0,0.0,0.0,0.0,0.0,0.0,2.8851659999999995,2.8851659999999995,1.0196176644,1.0196176644,0.175,0.1768267521690431,0.0735,0.0735,0.44099999999999995,0.44099999999999995,1.7091176644,1.7109444165690428,0.0,9.816986265817498e-05,0.0,0.02665081969935,0.0,0.11960210214067499,0.0,0.0010277541278697,0.0,0.002197791110361,0.0,0.0032008539375697493,0.0,5.12332581915e-05,False,True
costa,(all selected provinces),BANANO (FRUTA FRESCA),permanent,454.0,454.0,11.0,11.0,0.0,1660.0,288.7700534759353,119506.49350649344,0.0,29565.21739130435,2294.5065000000004,8375.2513,0.7142857142857143,13325.04258943782,0.0,1587.573295,3.962264150943396,600.0,0.5660377358490566,2400.0,0.0,13325.04258943782,0.0,25000.0,0.0161290322580645,50.72463768115942,0.024,52.5,0.0968169761273209,50.72463768115942,0.0,111.11111111111111,0.0,0.0,0.0,25000.0,0.0,6333.333333333333,0.0,724.80181200453,0.10714285714285714,2538.531308715673,0.8248665768194069,990.0852879045998,0.3708600404312668,2854.5116780238495,0.0,265.30056625141566,0.0,97.62840796106683,0.0,319.2465493028061,0.10714285714285714,2803.8318749670884,0.8248665768194069,1087.7136958656665,0.3708600404312668,3173.7582273266557,0.0021198529411764703,69.84753056806302,0.006073069373401534,158.0956164369871,0.03321428571428571,869.1878812397974,0.0005357142857142857,14.019159374835443,0.00042321428571428566,11.385537568634156,0.0009589285714285714,25.4046969434696,0.0,0.0,0.0,0.0,0.0,0.0,2.8851659999999995,2.8851659999999995,1.0196176644,1.0196176644,0.17536087912735848,0.6760104756909323,0.0735,0.07358718115515289,0.44099999999999995,0.44152308693091735,1.709478543527358,2.2107384081770025,0.0,0.006059525906002264,0.0,1.5295195016987544,0.0,6.2562885007550015,0.0,0.09195147659494148,0.0,0.14455688297470742,0.0,0.22445281207059267,0.0,0.002108554090222726,False,True
costa,(all selected provinces),CACAO (ALMENDRA SECA),permanent,4288.0,4288.0,11.0,11.0,0.0,600.0,3.18181818181818,9090.90909090909,0.0,15652.17391304348,3851.9916,6864.0084,0.100143061516452,2500.0,0.0,550.0,0.6666666666666666,294.11764705882354,0.2,800.0,0.0,2500.0,0.0,100788.224614,0.0272727272727272,50.0,0.025025025025025,66.66666666666667,0.0133333333333333,50.0,0.0,119.72222222222224,0.0,0.0,0.0,26448.964614809003,0.0,100788.224614,0.0,750.0,0.015021459227467799,562.0,0.13747536480686692,221.40882352941176,0.11208131330472101,709.7355,0.0,972.1644948309978,0.0,406.98375371510764,0.0,1083.0918481854123,0.015021459227467799,1534.1644948309977,0.13747536480686692,628.3925772445194,0.11208131330472101,1792.8273481854123,0.0002972039888916938,83.02176505475333,0.0008514460637959226,83.91390567836542,0.004656652360515018,475.5909933976093,7.5107296137339e-05,7.670822474154988,5.93347639484978e-05,7.197382213534708,0.0001344420600858368,14.868204687689698,0.0,0.0,0.0,0.0,0.0,0.0,2.8851659999999995,2.8851659999999995,1.0196176644,1.0196176644,0.175060145472103,0.3436300560685804,0.0735,0.0735902120625,0.44099999999999995,0.44154127237499996,1.7091778098721027,1.8783792049060803,0.0,0.037451302982067725,0.0,7.997346219529691,0.0,23.954999963363456,0.0,0.8828838945361536,0.0,1.003714148907772,0.0,1.6834207577172404,0.0,0.005448818258416988,False,True
costa,(all selected provinces),CAFÉ (GRANO ORO),permanent,111.0,111.0,11.0,11.0,0.01,19.98,35.7954545454545,1609.090909090908,0.0,15652.17391304348,3851.9916,6864.0084,2.857142857142857,388.8888888888889,0.0,510.2040816326531,160.0,160.0,60.0,60.0,0.0,540.0,0.0,3400.0,0.3333333333333333,20.0,0.025025025025025,20.0,0.5968320657894737,2.0,0.0,45.359237,0.0,0.0,0.0,3400.0,0.0,0.0,0.0,26.666666666666668,0.42857142857142855,231.8027210884354,31.60782857142857,56.87746666666667,30.23935714285714,78.3061,0.0,29.502000000000002,0.0,10.450078576536965,0.0,36.44470170449234,0.42857142857142855,261.3047210884354,31.60782857142857,67.32754524320363,30.23935714285714,114.75080170449235,0.008479411764705881,6.768287642240897,0.024292277493606136,14.718845934062552,0.13285714285714284,81.00446353741496,0.002142857142857143,1.306523605442177,0.0016928571428571427,1.0666709882993197,0.0038357142857142856,2.3731945937414967,0.0,0.0,0.0,0.0,0.0,0.0,2.8851659999999995,2.8851659999999995,1.0196176644,1.0196176644,0.188828425,0.20903916592113655,0.0735,0.07350320753999999,0.44099999999999995,0.4410192452399999,1.7229460893999997,1.7431792831011363,0.0,0.0005039023333333332,0.0,0.137618,0.0,0.623189,0.0,0.005183836000000001,0.0,0.01122268,0.0,0.016344463333333333,0.0,0.0002563666666666667,False,True
costa,(all selected provinces),CAÑA DE AZÚCAR / AZÚCAR (TALLO FRESCO),permanent,80.0,80.0,11.0,11.0,3.0,8607.25,39639.9672697518,124359.0995962706,0.0,34782.608695652176,2832.0108,6864.0084,14.864987726156924,750.0,0.0,500.0,70.0,70.0,70.0,250.0,0.0,750.0,0.0,444.44444444444446,0.3333333333333333,6.0,0.4816955684007707,16.0,1.0,2.5,0.0,23.0,0.0,0.0,0.0,444.44444444444446,0.0,0.0,0.0,3.0,2.2297481589235386,282.5,14.719662096554233,62.84160000000001,36.715113946722425,217.90124999999998,0.0,3.854794444444445,0.0,1.3657053132728059,0.0,4.763005057776776,2.2297481589235386,286.35479444444445,14.719662096554233,64.20730531327281,36.715113946722425,222.66425505777676,0.04411622313258425,5.874450720398692,0.12638654237399868,16.219080745781778,0.691221929266297,88.76998627777778,0.011148740794617694,1.4317739722222222,0.008807505227747977,1.1356115475555555,0.01995624602236567,2.567385519777778,0.0,0.0,0.0,0.0,0.0,0.0,2.8851659999999995,2.8851659999999995,1.0196176644,1.0196176644,0.18143985216724245,0.20368948089286365,0.0735,0.07350036084825,0.44099999999999995,0.44100216508949996,1.7155575165672423,1.7378096712306137,0.0,6.562666666666665e-05,0.0,0.01790838888888889,0.0,0.08099766666666666,0.0,0.000676751111111111,0.0,0.0014626444444444443,0.0,0.002130166666666666,0.0,3.350566666666667e-05,False,True
costa,(all selected provinces),CAÑA DE AZÚCAR / OTROS USOS (TALLO FRESCO),permanent,51.0,51.0,11.0,11.0,0.01,8.44,113.63636363636374,113818.1818181818,0.0,34782.608695652176,2832.0108,6864.0084,106.66666666666669,120.0,0.0,0.0,110.0,110.0,140.0,140.0,0.0,370.0,0.0,925.6987142857143,,,0.6666666666666666,1.4285714285714286,,,0.0,1.4285714285714286,0.0,0.0,0.0,377.9936416666667,0.0,925.6987142857143,0.0,0.0,16.000000000000004,18.0,28.584200000000003,29.457,83.00999999999999,84.6702,0.0,10.073530550416667,0.0,4.1479239297447945,0.0,11.379089746630573,16.000000000000004,28.073530550416667,28.584200000000003,33.60492392974479,83.00999999999999,96.04928974663056,0.31656470588235297,1.101185464838876,0.9069116930946294,1.559705172339933,4.960000000000001,8.702794470629167,0.08000000000000002,0.14036765275208335,0.0632,0.12267647641813334,0.14320000000000002,0.2630441291702167,0.0,0.0,0.0,0.0,0.0,0.0,2.8851659999999995,2.8851659999999995,1.0196176644,1.0196176644,0.1875055875,0.18890229981613507,0.0735,0.0735,0.44099999999999995,0.44099999999999995,1.7216232518999997,1.7230199642161348,0.0,0.0003600193883021607,0.0,0.07759615473408335,0.0,0.237168060531875,0.0,0.008300558779768881,0.0,0.009593014233311667,0.0,0.01600672741793518,0.0,6.0126445739642855e-05,False,True
costa,(all selected provinces),FREJOL SECO (GRANO SECO),transitory,22.0,22.0,3.0,9.0,0.05,37.0,196.3636363636364,1381.6496205644742,0.0,6153.846153846153,1653.741,3993.762,45.359237,50.0,0.0,151.98145826209202,0.0,0.0,0.0,0.0,0.0,151.98145826209202,0.0,1457.975475,0.5,0.5,0.7599072913104602,3.0,0.5,0.7599072913104602,0.0,3.0,0.6493506493506489,6.363636363636361,0.0,1457.975475,0.0,0.0,0.0,0.0,6.8038855499999995,59.17369580911129,2.96921565402,3.273,5.647905395054999,6.22575,0.0,12.611487858750001,0.0,4.473678781330061,0.0,15.604352034133536,6.8038855499999995,71.78518366786129,2.96921565402,7.746678781330061,5.647905395054999,21.830102034133535,0.1346168767495588,2.1035294546891357,0.3856577102357864,4.029417395805172,2.1092045204999996,22.253406937037,0.03401942775,0.3589259183393065,0.026875347922499994,0.29830691628278955,0.06089477567249999,0.657232834622096,0.0,0.0,0.0,0.0,0.0,0.0,2.8851659999999995,2.8851659999999995,1.0196176644,1.0196176644,0.17629903184863374,0.1803464064336638,0.0735,0.0735,0.44099999999999995,0.44099999999999995,1.7104166962486334,1.7144640708336634,0.0,0.00021036399141037497,0.0,0.05710889935575,0.0,0.25629021887287495,0.0,0.0022023302740065,0.0,0.004709552379345,0.0,0.00685897272336375,0.0,0.0001097855532675,False,True
costa,(all selected provinces),FREJOL TIERNO (VAINA),transitory,43.0,43.0,2.0,9.0,0.07,7.0,389.6103896103899,4820.93663911846,0.0,6956.521739130435,1653.741,3993.762,17.445860384615386,200.0,0.0,116.66666666666669,0.0,0.0,50.0,66.66666666666667,0.0,200.0,0.0,1209.5796533333337,0.1666666666666666,3.543586109142452,0.3333333333333333,13.333333333333334,0.1714285714285714,6.666666666666667,0.0,20.666666666666668,3.146853146853146,159.09090909090898,0.0,1209.5796533333337,0.0,0.0,0.0,1.4285714285714286,2.6168790576923078,69.66666666666669,1.1420060207769234,13.092,27.075271305790384,58.107,0.0,10.46779257276191,0.0,3.712431613293935,0.0,12.94879744154571,2.6168790576923078,80.1344592394286,1.1420060207769234,16.804431613293936,27.075271305790384,71.0557974415457,0.0517757218267534,2.152585743927635,0.14832988855222554,4.509386597783316,0.8112325078846154,24.841682364222866,0.01308439528846154,0.40067229619714295,0.010336672277884614,0.32877843130587436,0.023421067566346154,0.7294507275030173,0.0,0.0,0.0,0.0,0.0,0.0,2.8851659999999995,2.8851659999999995,1.0196176644,1.0196176644,0.1754996276340899,0.18397674134913217,0.0735,0.07350017183249999,0.44099999999999995,0.44100103099499993,1.7096172920340895,1.718095608576632,0.0,0.00017523848599548578,0.0,0.047617092163923826,0.0,0.2139931022183429,0.0,0.0018296898781175624,0.0,0.003920041339054477,0.0,0.005709121285838287,0.0,9.109991932457146e-05,False,True
