"xml_file","exchange_number","exchange_name","general_comment","unit","mean_value","min_value","max_value","max_to_abs_mean_ratio","flags"
"product_ovine_live_strategy_9.xml","15","Methane","kgCH4_livestock_total_per_1kg_product","kg","0.185348095128478","0.185348095128478","0.185348095128478","1",""
"product_donkey_live_strategy_9.xml","16","Ammonia","kgNH3_manure_mgmt_total_per_1kg_product + kgNH3_manure_housing_storage_yard_per_1kg_product + kgNH3_grazing_per_1kg_product","kg","0.160555555555555","0.160555555555555","0.160555555555555","1",""
"product_swine_live_strategy_9.xml","15","Methane","kgCH4_livestock_total_per_1kg_product","kg","0.157501060384518","0.157501060384518","0.157501060384518","1",""
"product_mule_live_strategy_9.xml","6","tap water {PE}| market for tap water | Cut-off, U","Water_l_per_1kg_product","kg","0.1","0.0333333333333333","0.1","1",""
"product_donkey_live_strategy_9.xml","6","tap water {PE}| market for tap water | Cut-off, U","Water_l_per_1kg_product","kg","0.1","0.1","0.1","1",""
"product_ovine_live_strategy_9.xml","16","Ammonia","kgNH3_manure_mgmt_total_per_1kg_product + kgNH3_manure_housing_storage_yard_per_1kg_product + kgNH3_grazing_per_1kg_product","kg","0.0935171064368542","0.0935171064368542","0.0935171064368542","1",""
"product_horse_live_strategy_9.xml","16","Ammonia","kgNH3_manure_mgmt_total_per_1kg_product + kgNH3_manure_housing_storage_yard_per_1kg_product + kgNH3_grazing_per_1kg_product","kg","0.092628205128205","0.092628205128205","0.092628205128205","1",""
"product_mule_live_strategy_9.xml","16","Ammonia","kgNH3_manure_mgmt_total_per_1kg_product + kgNH3_manure_housing_storage_yard_per_1kg_product + kgNH3_grazing_per_1kg_product","kg","0.0825714285714285","0.0825714285714285","0.0825714285714285","1",""
"product_horse_live_strategy_9.xml","15","Methane","kgCH4_livestock_total_per_1kg_product","kg","0.0628354384615384","0.0628354384615384","0.0628354384615384","1",""
"product_donkey_live_strategy_9.xml","15","Methane","kgCH4_livestock_total_per_1kg_product","kg","0.0594730275555555","0.0594730275555555","0.0594730275555555","1",""
"product_mule_live_strategy_9.xml","15","Methane","kgCH4_livestock_total_per_1kg_product","kg","0.0305861284571428","0.0305861284571428","0.0305861284571428","1",""
"product_meat_poultry_strategy_9.xml","17","Nitrogen dioxide","kgNOx_manure_mgmt_as_NO2_per_1kg_product","kg","0.018","0.018","0.018","1",""
"product_meat_poultry_strategy_9.xml","15","Methane","kgCH4_livestock_total_per_1kg_product","kg","0.00584","0.00584","0.00584","1",""
"product_swine_live_strategy_9.xml","18","Dinitrogen monoxide","kgN2O_manure_mgmt_total_per_1kg_product","kg","0.0035394836786236","0.0035394836786236","0.0035394836786236","1",""
